Name:				229_n100_m200_bt3_10545
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		3456.27
Calculation_Time:		210.71
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		86
No_of_Items:			176
Customer_Sequence:		34 84 31 26 37 89 8 28 5 50 43 77 55 57 45 35 47 40 17 61 64 79 18 68 36 15 56 20 22 39 23 58 75 62 60 13 38 67 85 9 21 69 1 80 30 49 70 41 27 81 14 72 53 73 25 51 78 52 33 71 6 16 46 42 76 24 66 3 48 4 10 11 29 19 74 7 2 63 87 59 65 12 83 86 54 44 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
44	90	3	0	0	0	0	10	3	5	62.60	1		2.641948
54	110	2	0	0	3	0	15	4	3	90.29	0		25.200705
54	111	2	0	0	7	0	15	4	3	90.29	0		25.200705
54	109	1	0	0	11	0	7	3	6	234.58	0		39.219102
86	174	1	0	0	14	0	7	3	6	234.58	0		39.219102
83	168	1	0	0	17	0	7	3	6	234.58	0		39.219102
83	169	3	0	0	20	0	10	3	5	62.60	1		2.641948
12	24	2	0	0	3	3	15	4	3	90.29	0		25.200705
12	23	1	0	0	7	3	7	3	6	234.58	0		39.219102
12	25	3	0	0	0	5	10	3	5	62.60	1		2.641948
65	131	3	0	0	20	5	10	3	5	62.60	1		2.641948
65	132	3	0	0	3	6	10	3	5	62.60	1		2.641948
59	119	3	0	0	0	10	10	3	5	62.60	1		2.641948
87	175	1	0	0	11	6	7	3	6	234.58	0		39.219102
63	127	1	0	0	14	6	7	3	6	234.58	0		39.219102
63	128	3	0	0	20	10	10	3	5	62.60	1		2.641948
63	129	3	0	0	3	11	10	3	5	62.60	1		2.641948
2	2	1	0	0	17	6	7	3	6	234.58	0		39.219102
2	3	1	0	0	7	9	7	3	6	234.58	0		39.219102
7	12	2	0	7	11	0	15	4	3	90.29	0		25.200705
7	13	3	0	0	0	15	10	3	5	62.60	1		2.641948
7	14	3	0	0	20	15	10	3	5	62.60	1		2.641948
74	149	3	0	0	3	16	10	3	5	62.60	1		2.641948
19	35	1	0	0	11	12	7	3	6	234.58	0		39.219102
19	36	1	0	0	14	12	7	3	6	234.58	0		39.219102
19	37	1	0	0	17	12	7	3	6	234.58	0		39.219102
29	58	2	0	7	15	0	15	4	3	90.29	0		25.200705
29	59	3	0	0	0	20	10	3	5	62.60	1		2.641948
11	22	2	0	7	11	3	15	4	3	90.29	0		25.200705
11	21	1	0	0	7	15	7	3	6	234.58	0		39.219102
10	19	1	0	0	11	18	7	3	6	234.58	0		39.219102
10	20	1	0	0	14	18	7	3	6	234.58	0		39.219102
4	5	2	0	7	15	3	15	4	3	90.29	0		25.200705
4	6	2	0	7	11	6	15	4	3	90.29	0		25.200705
4	7	3	0	0	20	20	10	3	5	62.60	1		2.641948
48	98	2	0	7	15	6	15	4	3	90.29	0		25.200705
48	99	3	0	0	3	21	10	3	5	62.60	1		2.641948
3	4	1	0	0	17	18	7	3	6	234.58	0		39.219102
66	133	2	0	7	11	9	15	4	3	90.29	0		25.200705
24	47	3	0	0	0	25	10	3	5	62.60	1		2.641948
76	153	1	0	0	7	21	7	3	6	234.58	0		39.219102
42	87	1	0	0	11	24	7	3	6	234.58	0		39.219102
46	94	1	0	0	14	24	7	3	6	234.58	0		39.219102
46	95	3	0	0	20	25	10	3	5	62.60	1		2.641948
16	30	2	0	7	15	9	15	4	3	90.29	0		25.200705
6	11	3	0	7	7	3	10	3	5	62.60	1		2.641948
71	143	2	0	7	11	12	15	4	3	90.29	0		25.200705
71	144	3	0	7	7	8	10	3	5	62.60	1		2.641948
33	65	1	0	0	17	24	7	3	6	234.58	0		39.219102
33	66	1	0	7	15	12	7	3	6	234.58	0		39.219102
33	67	3	0	7	7	13	10	3	5	62.60	1		2.641948
52	106	2	0	7	11	15	15	4	3	90.29	0		25.200705
52	107	3	0	7	7	18	10	3	5	62.60	1		2.641948
78	159	2	0	7	10	18	15	4	3	90.29	0		25.200705
78	157	1	0	7	14	18	7	3	6	234.58	0		39.219102
78	158	1	0	7	10	21	7	3	6	234.58	0		39.219102
51	105	3	0	7	7	23	10	3	5	62.60	1		2.641948
25	48	3	0	10	0	0	10	3	5	62.60	1		2.641948
25	49	3	0	10	20	0	10	3	5	62.60	1		2.641948
73	147	2	0	15	3	0	15	4	3	90.29	0		25.200705
73	148	2	0	15	3	3	15	4	3	90.29	0		25.200705
73	146	1	0	7	14	24	7	3	6	234.58	0		39.219102
53	108	1	0	10	3	6	7	3	6	234.58	0		39.219102
72	145	2	0	17	3	6	15	4	3	90.29	0		25.200705
14	27	1	0	10	3	12	7	3	6	234.58	0		39.219102
81	164	2	0	17	3	9	15	4	3	90.29	0		25.200705
81	165	2	0	17	3	12	15	4	3	90.29	0		25.200705
81	166	3	0	10	0	5	10	3	5	62.60	1		2.641948
27	53	2	0	17	3	15	15	4	3	90.29	0		25.200705
27	54	2	0	10	3	18	15	4	3	90.29	0		25.200705
41	84	2	0	10	3	21	15	4	3	90.29	0		25.200705
41	85	2	0	10	3	24	15	4	3	90.29	0		25.200705
41	86	3	0	10	20	5	10	3	5	62.60	1		2.641948
70	140	2	0	10	3	27	15	4	3	90.29	0		25.200705
70	141	3	0	10	0	10	10	3	5	62.60	1		2.641948
70	142	3	0	10	20	10	10	3	5	62.60	1		2.641948
49	100	2	0	20	20	0	15	4	3	90.29	0		25.200705
49	101	2	0	20	20	3	15	4	3	90.29	0		25.200705
49	102	3	0	10	0	15	10	3	5	62.60	1		2.641948
30	60	3	0	10	20	15	10	3	5	62.60	1		2.641948
80	162	2	0	20	20	6	15	4	3	90.29	0		25.200705
80	163	2	0	20	20	9	15	4	3	90.29	0		25.200705
1	1	1	0	14	15	12	7	3	6	234.58	0		39.219102
69	139	3	0	10	0	20	10	3	5	62.60	1		2.641948
21	40	3	0	10	20	20	10	3	5	62.60	1		2.641948
21	41	3	0	10	0	25	10	3	5	62.60	1		2.641948
9	18	2	0	20	20	12	15	4	3	90.29	0		25.200705
85	172	1	0	14	14	18	7	3	6	234.58	0		39.219102
85	173	3	0	10	20	25	10	3	5	62.60	1		2.641948
67	134	1	0	14	10	21	7	3	6	234.58	0		39.219102
67	135	1	0	14	14	24	7	3	6	234.58	0		39.219102
67	136	1	0	20	0	0	7	3	6	234.58	0		39.219102
38	77	2	0	20	20	15	15	4	3	90.29	0		25.200705
13	26	3	0	20	20	18	10	3	5	62.60	1		2.641948
60	120	2	0	22	11	0	15	4	3	90.29	0		25.200705
60	121	2	0	22	15	0	15	4	3	90.29	0		25.200705
60	122	2	0	22	11	3	15	4	3	90.29	0		25.200705
62	126	1	0	20	0	6	7	3	6	234.58	0		39.219102
75	151	2	0	22	15	3	15	4	3	90.29	0		25.200705
75	150	1	0	20	0	12	7	3	6	234.58	0		39.219102
75	152	3	0	20	20	23	10	3	5	62.60	1		2.641948
58	118	2	0	22	11	6	15	4	3	90.29	0		25.200705
58	117	1	0	20	0	18	7	3	6	234.58	0		39.219102
23	45	1	0	20	0	24	7	3	6	234.58	0		39.219102
23	46	3	0	22	15	6	10	3	5	62.60	1		2.641948
39	78	1	0	22	11	9	7	3	6	234.58	0		39.219102
39	79	1	0	22	11	15	7	3	6	234.58	0		39.219102
39	80	1	0	22	11	21	7	3	6	234.58	0		39.219102
22	43	2	0	35	20	0	15	4	3	90.29	0		25.200705
22	44	2	0	35	20	3	15	4	3	90.29	0		25.200705
22	42	1	0	25	3	18	7	3	6	234.58	0		39.219102
20	38	3	0	22	15	11	10	3	5	62.60	1		2.641948
20	39	3	0	22	15	16	10	3	5	62.60	1		2.641948
56	113	2	0	35	20	6	15	4	3	90.29	0		25.200705
56	114	2	0	35	20	9	15	4	3	90.29	0		25.200705
15	29	2	0	35	20	12	15	4	3	90.29	0		25.200705
15	28	1	0	25	3	24	7	3	6	234.58	0		39.219102
36	72	3	0	22	15	21	10	3	5	62.60	1		2.641948
36	73	3	0	27	0	0	10	3	5	62.60	1		2.641948
68	137	2	0	35	20	15	15	4	3	90.29	0		25.200705
68	138	2	0	30	20	18	15	4	3	90.29	0		25.200705
18	33	2	0	30	20	21	15	4	3	90.29	0		25.200705
18	34	2	0	30	20	24	15	4	3	90.29	0		25.200705
18	32	1	0	29	11	9	7	3	6	234.58	0		39.219102
79	160	1	0	29	11	15	7	3	6	234.58	0		39.219102
57	116	2	0	30	20	27	15	4	3	90.29	0		25.200705
64	130	3	0	27	0	5	10	3	5	62.60	1		2.641948
61	123	2	0	37	0	0	15	4	3	90.29	0		25.200705
61	124	2	0	37	4	0	15	4	3	90.29	0		25.200705
61	125	3	0	27	0	10	10	3	5	62.60	1		2.641948
17	31	1	0	29	11	21	7	3	6	234.58	0		39.219102
40	82	2	0	37	8	0	15	4	3	90.29	0		25.200705
40	83	2	0	37	12	0	15	4	3	90.29	0		25.200705
40	81	1	0	37	16	0	7	3	6	234.58	0		39.219102
47	96	1	0	32	15	6	7	3	6	234.58	0		39.219102
47	97	3	0	27	0	15	10	3	5	62.60	1		2.641948
35	71	3	0	27	0	20	10	3	5	62.60	1		2.641948
45	91	2	0	37	0	3	15	4	3	90.29	0		25.200705
45	92	2	0	37	4	3	15	4	3	90.29	0		25.200705
45	93	3	0	27	0	25	10	3	5	62.60	1		2.641948
79	161	1	0	50	20	0	7	3	6	234.58	0		39.219102
57	115	1	0	32	15	12	7	3	6	234.58	0		39.219102
55	112	2	0	37	8	3	15	4	3	90.29	0		25.200705
77	154	2	0	37	0	6	15	4	3	90.29	0		25.200705
77	155	3	0	37	12	3	10	3	5	62.60	1		2.641948
77	156	3	0	37	4	6	10	3	5	62.60	1		2.641948
43	89	2	0	37	7	6	15	4	3	90.29	0		25.200705
43	88	1	0	32	15	18	7	3	6	234.58	0		39.219102
50	103	3	0	37	12	8	10	3	5	62.60	1		2.641948
50	104	3	0	37	0	9	10	3	5	62.60	1		2.641948
5	8	2	0	37	7	9	15	4	3	90.29	0		25.200705
5	9	3	0	37	4	11	10	3	5	62.60	1		2.641948
5	10	3	0	37	7	12	10	3	5	62.60	1		2.641948
28	55	2	0	44	16	0	15	4	3	90.29	0		25.200705
28	56	3	0	37	12	13	10	3	5	62.60	1		2.641948
28	57	3	0	37	0	14	10	3	5	62.60	1		2.641948
8	16	2	0	44	16	3	15	4	3	90.29	0		25.200705
8	15	1	0	32	15	24	7	3	6	234.58	0		39.219102
8	17	3	0	37	4	16	10	3	5	62.60	1		2.641948
89	179	2	0	39	15	6	15	4	3	90.29	0		25.200705
89	180	3	0	37	7	17	10	3	5	62.60	1		2.641948
89	181	3	0	37	12	18	10	3	5	62.60	1		2.641948
37	74	2	0	39	15	9	15	4	3	90.29	0		25.200705
37	75	3	0	37	0	19	10	3	5	62.60	1		2.641948
37	76	3	0	37	4	21	10	3	5	62.60	1		2.641948
26	50	1	0	39	15	12	7	3	6	234.58	0		39.219102
26	51	1	0	39	15	18	7	3	6	234.58	0		39.219102
26	52	3	0	37	7	22	10	3	5	62.60	1		2.641948
31	61	2	1	52	0	0	15	4	3	90.29	0		25.200705
31	62	2	1	52	0	3	15	4	3	90.29	0		25.200705
31	63	3	0	37	12	23	10	3	5	62.60	1		2.641948
84	170	1	0	39	15	24	7	3	6	234.58	0		39.219102
84	171	3	0	37	0	24	10	3	5	62.60	1		2.641948
34	69	2	1	52	0	6	15	4	3	90.29	0		25.200705
34	68	1	0	46	15	12	7	3	6	234.58	0		39.219102
34	70	3	0	47	0	9	10	3	5	62.60	1		2.641948


