Name:				286_n100_m200_bt3_12613
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2442.19
Calculation_Time:		19.57
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		62
No_of_Items:			116
Customer_Sequence:		55 36 17 62 4 28 3 44 9 7 59 66 47 26 39 32 27 60 45 18 56 31 43 8 63 42 40 48 1 25 46 38 15 29 61 57 10 52 53 11 20 12 21 49 23 50 41 30 2 19 51 14 6 54 13 5 34 24 35 37 58 16 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
16	30	2	0	0	0	0	12	5	6	508.82	0		219.455570
16	31	2	0	0	5	0	12	5	6	508.82	0		219.455570
16	29	1	0	0	10	0	11	3	8	252.38	0		15.462339
58	101	2	0	0	13	0	12	5	6	508.82	0		219.455570
58	102	2	0	0	18	0	12	5	6	508.82	0		219.455570
58	100	1	0	0	0	6	11	3	8	252.38	0		15.462339
37	65	3	0	0	3	6	7	3	3	52.69	1		10.165339
35	62	3	0	0	6	6	7	3	3	52.69	1		10.165339
24	46	2	0	0	13	6	12	5	6	508.82	0		219.455570
34	61	1	0	0	18	6	11	3	8	252.38	0		15.462339
5	10	3	0	0	10	8	7	3	3	52.69	1		10.165339
13	24	3	0	0	3	9	7	3	3	52.69	1		10.165339
13	25	3	0	0	6	9	7	3	3	52.69	1		10.165339
54	93	1	0	0	13	12	11	3	8	252.38	0		15.462339
6	11	2	0	12	0	0	12	5	6	508.82	0		219.455570
14	26	1	0	0	0	14	11	3	8	252.38	0		15.462339
51	89	2	0	11	0	6	12	5	6	508.82	0		219.455570
19	35	2	0	11	0	12	12	5	6	508.82	0		219.455570
19	36	2	0	11	0	18	12	5	6	508.82	0		219.455570
19	37	3	0	0	10	11	7	3	3	52.69	1		10.165339
2	4	2	0	11	0	24	12	5	6	508.82	0		219.455570
2	5	3	0	0	6	12	7	3	3	52.69	1		10.165339
30	55	2	0	12	5	0	12	5	6	508.82	0		219.455570
30	56	2	0	11	5	6	12	5	6	508.82	0		219.455570
30	57	3	0	0	10	14	7	3	3	52.69	1		10.165339
41	71	2	0	11	5	12	12	5	6	508.82	0		219.455570
41	70	1	0	0	18	14	11	3	8	252.38	0		15.462339
50	87	1	0	0	13	20	11	3	8	252.38	0		15.462339
50	88	3	0	0	10	17	7	3	3	52.69	1		10.165339
23	45	2	0	11	5	18	12	5	6	508.82	0		219.455570
23	43	1	0	0	18	22	11	3	8	252.38	0		15.462339
23	44	1	0	11	10	0	11	3	8	252.38	0		15.462339
49	86	1	0	7	10	8	11	3	8	252.38	0		15.462339
21	39	2	0	11	5	24	12	5	6	508.82	0		219.455570
21	40	2	0	12	13	0	12	5	6	508.82	0		219.455570
21	41	3	0	0	10	20	7	3	3	52.69	1		10.165339
12	23	3	0	0	10	23	7	3	3	52.69	1		10.165339
20	38	3	0	0	10	26	7	3	3	52.69	1		10.165339
11	20	1	0	7	10	16	11	3	8	252.38	0		15.462339
11	21	1	0	12	18	0	11	3	8	252.38	0		15.462339
11	22	3	0	7	10	24	7	3	3	52.69	1		10.165339
53	91	3	0	7	10	27	7	3	3	52.69	1		10.165339
53	92	3	0	12	21	0	7	3	3	52.69	1		10.165339
52	90	2	0	12	13	6	12	5	6	508.82	0		219.455570
10	19	3	0	11	13	12	7	3	3	52.69	1		10.165339
57	99	2	0	23	18	0	12	5	6	508.82	0		219.455570
57	98	1	0	12	18	8	11	3	8	252.38	0		15.462339
61	110	2	0	23	18	6	12	5	6	508.82	0		219.455570
61	111	2	0	23	18	12	12	5	6	508.82	0		219.455570
61	109	1	0	12	18	16	11	3	8	252.38	0		15.462339
29	54	2	0	23	18	18	12	5	6	508.82	0		219.455570
15	27	1	0	22	10	0	11	3	8	252.38	0		15.462339
15	28	3	0	11	13	15	7	3	3	52.69	1		10.165339
38	66	2	0	23	18	24	12	5	6	508.82	0		219.455570
46	81	1	0	18	10	8	11	3	8	252.38	0		15.462339
46	82	3	0	11	13	18	7	3	3	52.69	1		10.165339
25	47	1	0	18	10	16	11	3	8	252.38	0		15.462339
1	2	2	0	24	0	0	12	5	6	508.82	0		219.455570
1	1	1	0	23	0	6	11	3	8	252.38	0		15.462339
1	3	3	0	11	13	21	7	3	3	52.69	1		10.165339
48	85	1	0	23	0	14	11	3	8	252.38	0		15.462339
40	69	2	0	24	5	0	12	5	6	508.82	0		219.455570
42	72	1	0	23	3	6	11	3	8	252.38	0		15.462339
42	73	3	0	11	13	24	7	3	3	52.69	1		10.165339
42	74	3	0	11	13	27	7	3	3	52.69	1		10.165339
63	115	3	0	14	10	24	7	3	3	52.69	1		10.165339
63	116	3	0	14	10	27	7	3	3	52.69	1		10.165339
8	15	2	0	24	13	0	12	5	6	508.82	0		219.455570
8	16	2	0	24	13	6	12	5	6	508.82	0		219.455570
