Name:				289_n100_m200_bt3_12871
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1807.30
Calculation_Time:		11.56
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		48
No_of_Items:			94
Customer_Sequence:		18 35 43 15 49 38 34 29 8 7 21 5 50 17 44 14 6 42 47 46 39 16 48 9 40 30 27 2 24 13 23 28 41 1 32 12 11 25 26 22 10 4 3 37 19 20 33 45 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
45	86	3	0	0	0	0	8	3	8	82.75	0		24.770523
45	85	2	0	0	3	0	17	3	7	110.96	1		2.731464
33	59	1	0	0	6	0	10	7	4	245.01	0		18.421572
20	39	3	0	0	13	0	8	3	8	82.75	0		24.770523
20	38	2	0	0	16	0	17	3	7	110.96	1		2.731464
19	37	3	0	0	19	0	8	3	8	82.75	0		24.770523
19	36	2	0	0	22	0	17	3	7	110.96	1		2.731464
37	66	3	0	0	6	4	8	3	8	82.75	0		24.770523
3	3	3	0	0	9	4	8	3	8	82.75	0		24.770523
4	4	1	0	10	6	0	10	7	4	245.01	0		18.421572
4	5	2	0	0	3	7	17	3	7	110.96	1		2.731464
4	6	2	0	0	16	7	17	3	7	110.96	1		2.731464
10	17	3	0	0	0	8	8	3	8	82.75	0		24.770523
10	16	2	0	0	22	7	17	3	7	110.96	1		2.731464
22	42	3	0	0	13	8	8	3	8	82.75	0		24.770523
26	49	1	0	8	6	4	10	7	4	245.01	0		18.421572
26	50	3	0	0	19	8	8	3	8	82.75	0		24.770523
25	47	3	0	0	6	12	8	3	8	82.75	0		24.770523
25	48	3	0	0	9	12	8	3	8	82.75	0		24.770523
11	18	1	0	8	6	8	10	7	4	245.01	0		18.421572
11	19	2	0	0	3	14	17	3	7	110.96	1		2.731464
11	20	2	0	0	16	14	17	3	7	110.96	1		2.731464
12	21	2	0	0	22	14	17	3	7	110.96	1		2.731464
12	22	2	0	0	3	21	17	3	7	110.96	1		2.731464
32	58	3	0	0	0	16	8	3	8	82.75	0		24.770523
1	1	3	0	0	13	16	8	3	8	82.75	0		24.770523
41	74	1	0	8	6	12	10	7	4	245.01	0		18.421572
41	76	3	0	0	19	16	8	3	8	82.75	0		24.770523
41	75	2	0	0	16	21	17	3	7	110.96	1		2.731464
28	53	3	0	0	6	20	8	3	8	82.75	0		24.770523
28	52	2	0	0	22	21	17	3	7	110.96	1		2.731464
23	43	1	0	8	6	16	10	7	4	245.01	0		18.421572
13	24	3	0	0	9	20	8	3	8	82.75	0		24.770523
13	23	2	0	8	0	0	17	3	7	110.96	1		2.731464
24	46	3	0	8	13	0	8	3	8	82.75	0		24.770523
24	44	2	0	8	19	0	17	3	7	110.96	1		2.731464
24	45	2	0	8	0	7	17	3	7	110.96	1		2.731464
2	2	1	0	8	6	20	10	7	4	245.01	0		18.421572
27	51	1	0	8	6	24	10	7	4	245.01	0		18.421572
30	56	3	0	8	13	8	8	3	8	82.75	0		24.770523
30	55	2	0	8	19	7	17	3	7	110.96	1		2.731464
40	71	1	0	20	6	0	10	7	4	245.01	0		18.421572
40	72	1	0	18	6	4	10	7	4	245.01	0		18.421572
40	73	3	0	8	13	16	8	3	8	82.75	0		24.770523
9	13	1	0	18	6	8	10	7	4	245.01	0		18.421572
9	15	3	0	16	13	0	8	3	8	82.75	0		24.770523
9	14	2	0	8	0	14	17	3	7	110.96	1		2.731464
48	93	3	0	16	13	8	8	3	8	82.75	0		24.770523
48	92	2	0	8	19	14	17	3	7	110.96	1		2.731464
16	29	1	0	18	6	12	10	7	4	245.01	0		18.421572
16	30	2	0	8	0	21	17	3	7	110.96	1		2.731464
16	31	2	0	8	19	21	17	3	7	110.96	1		2.731464
39	70	2	0	17	3	0	17	3	7	110.96	1		2.731464
46	87	1	0	18	6	16	10	7	4	245.01	0		18.421572
46	89	3	0	16	13	16	8	3	8	82.75	0		24.770523
46	88	2	0	17	16	0	17	3	7	110.96	1		2.731464
47	90	2	0	17	22	0	17	3	7	110.96	1		2.731464
47	91	2	0	17	3	7	17	3	7	110.96	1		2.731464
42	79	3	0	18	6	20	8	3	8	82.75	0		24.770523
42	77	2	0	17	16	7	17	3	7	110.96	1		2.731464
42	78	2	0	17	22	7	17	3	7	110.96	1		2.731464
6	8	2	0	17	3	14	17	3	7	110.96	1		2.731464
6	9	2	0	17	16	14	17	3	7	110.96	1		2.731464
14	25	2	0	17	22	14	17	3	7	110.96	1		2.731464
44	82	1	0	30	6	0	10	7	4	245.01	0		18.421572
44	83	1	0	28	6	4	10	7	4	245.01	0		18.421572
44	84	2	0	17	3	21	17	3	7	110.96	1		2.731464
17	32	3	0	18	9	20	8	3	8	82.75	0		24.770523
50	96	1	0	28	6	8	10	7	4	245.01	0		18.421572
