Name:				290_n100_m200_bt3_12996
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		3212.22
Calculation_Time:		28.96
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		78
No_of_Items:			158
Customer_Sequence:		34 3 4 58 31 32 18 11 17 45 47 35 19 62 77 21 29 16 36 7 71 22 75 65 53 38 55 23 66 43 52 48 61 81 39 15 6 59 79 10 76 64 46 56 14 50 8 9 51 13 67 40 80 20 1 49 30 12 33 74 27 37 25 60 5 54 72 44 2 68 26 57 42 24 63 70 73 28 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
28	56	3	0	0	0	0	15	4	6	174.76	0		14.551836
73	144	1	0	0	4	0	14	2	3	54.35	1		1.792966
70	139	3	0	0	6	0	15	4	6	174.76	0		14.551836
70	140	3	0	0	10	0	15	4	6	174.76	0		14.551836
63	127	2	0	0	14	0	6	4	4	45.15	0		50.239351
63	126	1	0	0	18	0	14	2	3	54.35	1		1.792966
24	49	3	0	0	20	0	15	4	6	174.76	0		14.551836
24	48	1	0	0	4	3	14	2	3	54.35	1		1.792966
42	81	3	0	0	0	6	15	4	6	174.76	0		14.551836
57	113	1	0	0	18	3	14	2	3	54.35	1		1.792966
57	114	1	0	0	4	6	14	2	3	54.35	1		1.792966
26	54	3	0	0	6	6	15	4	6	174.76	0		14.551836
26	53	1	0	0	10	6	14	2	3	54.35	1		1.792966
68	136	2	0	0	14	4	6	4	4	45.15	0		50.239351
68	137	2	0	0	20	6	6	4	4	45.15	0		50.239351
68	135	1	0	0	12	6	14	2	3	54.35	1		1.792966
2	4	3	0	0	0	12	15	4	6	174.76	0		14.551836
2	3	2	0	0	14	8	6	4	4	45.15	0		50.239351
2	2	1	0	0	18	6	14	2	3	54.35	1		1.792966
44	84	2	0	0	20	10	6	4	4	45.15	0		50.239351
44	85	2	0	0	6	12	6	4	4	45.15	0		50.239351
72	143	2	0	0	14	12	6	4	4	45.15	0		50.239351
72	142	1	0	0	4	9	14	2	3	54.35	1		1.792966
54	108	3	0	0	0	18	15	4	6	174.76	0		14.551836
54	107	2	0	0	20	14	6	4	4	45.15	0		50.239351
54	106	1	0	0	10	9	14	2	3	54.35	1		1.792966
5	10	3	0	0	0	24	15	4	6	174.76	0		14.551836
5	9	2	0	0	6	16	6	4	4	45.15	0		50.239351
60	120	2	0	0	14	16	6	4	4	45.15	0		50.239351
60	121	2	0	0	20	18	6	4	4	45.15	0		50.239351
60	119	1	0	0	12	9	14	2	3	54.35	1		1.792966
25	52	3	0	6	14	0	15	4	6	174.76	0		14.551836
25	51	2	0	0	6	20	6	4	4	45.15	0		50.239351
25	50	1	0	0	18	9	14	2	3	54.35	1		1.792966
37	73	3	0	6	14	6	15	4	6	174.76	0		14.551836
27	55	1	0	0	4	12	14	2	3	54.35	1		1.792966
74	145	2	0	0	14	20	6	4	4	45.15	0		50.239351
74	146	2	0	0	20	22	6	4	4	45.15	0		50.239351
33	65	3	0	6	14	12	15	4	6	174.76	0		14.551836
33	64	2	0	0	6	24	6	4	4	45.15	0		50.239351
12	25	3	0	6	14	18	15	4	6	174.76	0		14.551836
12	26	3	0	0	14	24	15	4	6	174.76	0		14.551836
12	24	2	0	0	20	26	6	4	4	45.15	0		50.239351
30	60	2	0	6	20	6	6	4	4	45.15	0		50.239351
30	61	2	0	6	20	10	6	4	4	45.15	0		50.239351
49	99	3	0	15	0	0	15	4	6	174.76	0		14.551836
49	98	2	0	6	6	12	6	4	4	45.15	0		50.239351
49	97	1	0	0	10	12	14	2	3	54.35	1		1.792966
1	1	3	0	15	4	0	15	4	6	174.76	0		14.551836
20	39	2	0	6	20	14	6	4	4	45.15	0		50.239351
20	40	2	0	6	6	16	6	4	4	45.15	0		50.239351
20	38	1	0	0	12	12	14	2	3	54.35	1		1.792966
80	159	3	0	15	8	0	15	4	6	174.76	0		14.551836
80	160	3	0	15	20	0	15	4	6	174.76	0		14.551836
80	158	2	0	6	20	18	6	4	4	45.15	0		50.239351
40	77	2	0	6	6	20	6	4	4	45.15	0		50.239351
40	78	2	0	6	20	22	6	4	4	45.15	0		50.239351
67	134	2	0	6	6	24	6	4	4	45.15	0		50.239351
13	28	2	0	6	20	26	6	4	4	45.15	0		50.239351
13	27	1	0	0	18	12	14	2	3	54.35	1		1.792966
51	101	3	0	12	20	6	15	4	6	174.76	0		14.551836
9	18	3	0	12	20	12	15	4	6	174.76	0		14.551836
9	17	2	0	12	20	18	6	4	4	45.15	0		50.239351
9	16	1	0	0	4	15	14	2	3	54.35	1		1.792966
8	15	3	0	15	0	6	15	4	6	174.76	0		14.551836
50	100	2	0	12	20	22	6	4	4	45.15	0		50.239351
14	29	3	0	15	4	6	15	4	6	174.76	0		14.551836
56	111	2	0	12	6	12	6	4	4	45.15	0		50.239351
56	112	2	0	12	6	16	6	4	4	45.15	0		50.239351
56	110	1	0	0	10	15	14	2	3	54.35	1		1.792966
46	90	3	0	15	0	12	15	4	6	174.76	0		14.551836
46	91	3	0	15	0	18	15	4	6	174.76	0		14.551836
46	89	1	0	0	12	15	14	2	3	54.35	1		1.792966
64	129	3	0	15	0	24	15	4	6	174.76	0		14.551836
64	130	3	0	21	14	0	15	4	6	174.76	0		14.551836
64	128	2	0	12	6	20	6	4	4	45.15	0		50.239351
76	149	2	0	12	6	24	6	4	4	45.15	0		50.239351
76	150	2	0	12	20	26	6	4	4	45.15	0		50.239351
76	148	1	0	0	18	15	14	2	3	54.35	1		1.792966
10	20	3	0	21	14	6	15	4	6	174.76	0		14.551836
10	19	1	0	0	4	18	14	2	3	54.35	1		1.792966
79	157	3	0	21	14	12	15	4	6	174.76	0		14.551836
79	156	2	0	15	14	24	6	4	4	45.15	0		50.239351
79	155	1	0	0	10	18	14	2	3	54.35	1		1.792966
59	118	3	0	21	14	18	15	4	6	174.76	0		14.551836
59	117	2	0	18	20	18	6	4	4	45.15	0		50.239351
59	116	1	0	0	12	18	14	2	3	54.35	1		1.792966
6	13	2	0	18	20	22	6	4	4	45.15	0		50.239351
6	11	1	0	0	18	18	14	2	3	54.35	1		1.792966
6	12	1	0	0	4	21	14	2	3	54.35	1		1.792966
15	30	3	0	21	14	24	15	4	6	174.76	0		14.551836
15	31	3	0	30	0	0	15	4	6	174.76	0		14.551836
39	76	2	0	18	20	26	6	4	4	45.15	0		50.239351
81	161	3	0	30	4	0	15	4	6	174.76	0		14.551836
81	162	3	0	30	8	0	15	4	6	174.76	0		14.551836
61	123	2	0	30	20	0	6	4	4	45.15	0		50.239351
61	122	1	0	0	10	21	14	2	3	54.35	1		1.792966
48	96	3	0	30	0	6	15	4	6	174.76	0		14.551836
48	95	2	0	30	20	4	6	4	4	45.15	0		50.239351
48	94	1	0	0	12	21	14	2	3	54.35	1		1.792966
52	103	3	0	30	4	6	15	4	6	174.76	0		14.551836
52	102	1	0	0	18	21	14	2	3	54.35	1		1.792966
43	82	1	0	0	4	24	14	2	3	54.35	1		1.792966
43	83	1	0	0	10	24	14	2	3	54.35	1		1.792966
66	132	1	0	0	12	24	14	2	3	54.35	1		1.792966
66	133	1	0	0	18	24	14	2	3	54.35	1		1.792966
23	47	3	0	30	8	6	15	4	6	174.76	0		14.551836
23	45	1	0	0	4	27	14	2	3	54.35	1		1.792966
23	46	1	0	0	10	27	14	2	3	54.35	1		1.792966
55	109	1	0	0	12	27	14	2	3	54.35	1		1.792966
38	75	3	0	30	0	12	15	4	6	174.76	0		14.551836
38	74	1	0	0	18	27	14	2	3	54.35	1		1.792966
53	104	1	0	14	18	0	14	2	3	54.35	1		1.792966
53	105	1	0	14	18	3	14	2	3	54.35	1		1.792966
65	131	3	0	30	4	12	15	4	6	174.76	0		14.551836
75	147	1	0	14	18	6	14	2	3	54.35	1		1.792966
22	42	3	0	30	8	12	15	4	6	174.76	0		14.551836
22	43	3	0	30	0	18	15	4	6	174.76	0		14.551836
22	44	3	0	30	4	18	15	4	6	174.76	0		14.551836
71	141	3	0	30	8	18	15	4	6	174.76	0		14.551836
7	14	2	0	30	20	8	6	4	4	45.15	0		50.239351
36	72	3	0	30	0	24	15	4	6	174.76	0		14.551836
36	71	1	0	14	18	9	14	2	3	54.35	1		1.792966
16	32	2	0	30	20	12	6	4	4	45.15	0		50.239351
29	59	2	0	30	20	16	6	4	4	45.15	0		50.239351
29	57	1	0	14	18	12	14	2	3	54.35	1		1.792966
29	58	1	0	14	18	15	14	2	3	54.35	1		1.792966
21	41	2	0	30	20	20	6	4	4	45.15	0		50.239351
77	153	3	0	30	4	24	15	4	6	174.76	0		14.551836
77	151	1	0	14	18	18	14	2	3	54.35	1		1.792966
77	152	1	0	14	18	21	14	2	3	54.35	1		1.792966
62	125	3	0	30	8	24	15	4	6	174.76	0		14.551836
62	124	1	0	14	18	24	14	2	3	54.35	1		1.792966
19	35	1	0	14	18	27	14	2	3	54.35	1		1.792966
19	36	1	0	15	12	0	14	2	3	54.35	1		1.792966
19	37	1	0	15	12	3	14	2	3	54.35	1		1.792966
35	69	2	0	30	20	24	6	4	4	45.15	0		50.239351
35	70	2	0	36	14	0	6	4	4	45.15	0		50.239351
47	93	3	0	36	18	0	15	4	6	174.76	0		14.551836
47	92	2	0	36	14	4	6	4	4	45.15	0		50.239351
45	87	2	0	36	18	6	6	4	4	45.15	0		50.239351
45	88	2	0	36	14	8	6	4	4	45.15	0		50.239351
45	86	1	0	14	12	6	14	2	3	54.35	1		1.792966
17	33	2	0	36	18	10	6	4	4	45.15	0		50.239351
11	22	3	0	42	14	0	15	4	6	174.76	0		14.551836
11	23	3	0	42	14	6	15	4	6	174.76	0		14.551836
11	21	2	0	36	14	12	6	4	4	45.15	0		50.239351
18	34	1	0	14	12	9	14	2	3	54.35	1		1.792966
32	63	1	0	14	12	12	14	2	3	54.35	1		1.792966
31	62	2	0	36	18	14	6	4	4	45.15	0		50.239351
58	115	1	0	14	12	15	14	2	3	54.35	1		1.792966
4	7	2	0	36	14	16	6	4	4	45.15	0		50.239351
4	8	2	0	36	18	18	6	4	4	45.15	0		50.239351
3	5	1	0	14	12	18	14	2	3	54.35	1		1.792966
3	6	1	0	14	12	21	14	2	3	54.35	1		1.792966
34	66	1	0	14	12	24	14	2	3	54.35	1		1.792966
34	67	1	0	14	12	27	14	2	3	54.35	1		1.792966
34	68	1	0	29	12	0	14	2	3	54.35	1		1.792966


