Name:				376_n060_m400_bt3_18633
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		783.91
Calculation_Time:		164.93
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		20
No_of_Items:			135
Customer_Sequence:		18 10 9 19 22 23 4 2 5 11 7 13 24 8 1 14 20 16 17 12 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
12	74	3	0	0	0	0	14	6	3	232.72	0		11.538916
12	75	3	0	0	6	0	14	6	3	232.72	0		11.538916
12	76	3	0	0	12	0	14	6	3	232.72	0		11.538916
12	71	2	0	0	18	0	10	5	4	70.21	0		7.015734
12	72	2	0	0	0	3	10	5	4	70.21	0		7.015734
14	89	3	0	0	5	3	14	6	3	232.72	0		11.538916
17	104	3	0	0	11	3	14	6	3	232.72	0		11.538916
17	105	3	0	0	11	6	14	6	3	232.72	0		11.538916
17	101	2	0	0	18	4	10	5	4	70.21	0		7.015734
17	102	2	0	0	0	7	10	5	4	70.21	0		7.015734
17	103	2	0	0	18	8	10	5	4	70.21	0		7.015734
17	99	1	0	0	11	9	15	3	3	113.99	1		4.448209
17	100	1	0	0	14	9	15	3	3	113.99	1		4.448209
16	96	3	0	10	18	0	14	6	3	232.72	0		11.538916
16	97	3	0	10	18	3	14	6	3	232.72	0		11.538916
16	98	3	0	10	18	6	14	6	3	232.72	0		11.538916
16	94	2	0	0	0	11	10	5	4	70.21	0		7.015734
16	95	2	0	0	18	12	10	5	4	70.21	0		7.015734
16	93	1	0	0	11	12	15	3	3	113.99	1		4.448209
20	129	2	0	0	0	15	10	5	4	70.21	0		7.015734
20	131	3	0	10	18	9	14	6	3	232.72	0		11.538916
20	128	2	0	0	18	16	10	5	4	70.21	0		7.015734
20	130	3	0	10	18	12	14	6	3	232.72	0		11.538916
20	124	1	0	0	14	12	15	3	3	113.99	1		4.448209
20	125	1	0	0	11	15	15	3	3	113.99	1		4.448209
20	126	1	0	0	14	15	15	3	3	113.99	1		4.448209
20	127	1	0	0	11	18	15	3	3	113.99	1		4.448209
14	85	3	0	0	5	6	14	6	3	232.72	0		11.538916
14	86	3	0	0	5	9	14	6	3	232.72	0		11.538916
14	87	3	0	0	5	12	14	6	3	232.72	0		11.538916
14	88	3	0	0	5	15	14	6	3	232.72	0		11.538916
12	73	2	0	14	0	0	10	5	4	70.21	0		7.015734
14	84	2	0	0	5	18	10	5	4	70.21	0		7.015734
14	83	1	0	0	14	18	15	3	3	113.99	1		4.448209
1	4	3	0	10	18	15	14	6	3	232.72	0		11.538916
1	3	2	0	0	0	19	10	5	4	70.21	0		7.015734
1	1	1	0	0	11	21	15	3	3	113.99	1		4.448209
1	2	1	0	0	14	21	15	3	3	113.99	1		4.448209
8	47	3	0	10	18	18	14	6	3	232.72	0		11.538916
8	48	3	0	10	18	21	14	6	3	232.72	0		11.538916
8	49	3	0	10	18	24	14	6	3	232.72	0		11.538916
8	50	3	0	10	18	27	14	6	3	232.72	0		11.538916
8	43	1	0	0	11	24	15	3	3	113.99	1		4.448209
8	44	1	0	0	14	24	15	3	3	113.99	1		4.448209
8	45	1	0	0	11	27	15	3	3	113.99	1		4.448209
8	46	1	0	0	14	27	15	3	3	113.99	1		4.448209
13	77	1	0	14	5	0	15	3	3	113.99	1		4.448209
24	154	3	0	24	18	0	14	6	3	232.72	0		11.538916
24	155	3	0	24	18	3	14	6	3	232.72	0		11.538916
11	69	3	0	24	18	6	14	6	3	232.72	0		11.538916
24	150	2	0	0	5	22	10	5	4	70.21	0		7.015734
24	151	2	0	0	0	23	10	5	4	70.21	0		7.015734
24	152	2	0	0	5	26	10	5	4	70.21	0		7.015734
13	82	3	0	29	5	0	14	6	3	232.72	0		11.538916
13	81	2	0	14	0	4	10	5	4	70.21	0		7.015734
24	153	3	0	29	11	0	14	6	3	232.72	0		11.538916
