Name:				378_n060_m400_bt3_18818
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		966.73
Calculation_Time:		40.85
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		25
No_of_Items:			169
Customer_Sequence:		18 8 10 15 21 6 28 20 2 7 24 12 22 9 30 29 16 11 17 13 1 4 19 25 5 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
5	25	2	0	0	0	0	9	2	5	66.38	0		32.591833
5	20	1	0	0	2	0	12	2	7	141.30	1		4.535025
5	21	1	0	0	4	0	12	2	7	141.30	1		4.535025
5	22	1	0	0	6	0	12	2	7	141.30	1		4.535025
5	23	1	0	0	8	0	12	2	7	141.30	1		4.535025
5	24	1	0	0	10	0	12	2	7	141.30	1		4.535025
25	160	3	0	0	12	0	11	5	4	195.71	0		44.920238
25	161	3	0	0	17	0	11	5	4	195.71	0		44.920238
25	158	2	0	0	22	0	9	2	5	66.38	0		32.591833
25	159	2	0	0	12	4	9	2	5	66.38	0		32.591833
25	154	1	0	0	14	4	12	2	7	141.30	1		4.535025
25	155	1	0	0	16	4	12	2	7	141.30	1		4.535025
25	156	1	0	0	18	4	12	2	7	141.30	1		4.535025
25	157	1	0	0	20	4	12	2	7	141.30	1		4.535025
19	123	3	0	12	2	0	11	5	4	195.71	0		44.920238
19	124	3	0	12	7	0	11	5	4	195.71	0		44.920238
19	120	2	0	0	0	5	9	2	5	66.38	0		32.591833
19	121	2	0	0	22	5	9	2	5	66.38	0		32.591833
19	122	2	0	0	12	9	9	2	5	66.38	0		32.591833
19	119	1	0	0	2	7	12	2	7	141.30	1		4.535025
4	19	3	0	12	12	0	11	5	4	195.71	0		44.920238
4	18	2	0	0	0	10	9	2	5	66.38	0		32.591833
4	14	1	0	0	4	7	12	2	7	141.30	1		4.535025
4	15	1	0	0	6	7	12	2	7	141.30	1		4.535025
4	16	1	0	0	8	7	12	2	7	141.30	1		4.535025
4	17	1	0	0	10	7	12	2	7	141.30	1		4.535025
1	4	2	0	0	22	10	9	2	5	66.38	0		32.591833
1	1	1	0	0	14	11	12	2	7	141.30	1		4.535025
1	2	1	0	0	16	11	12	2	7	141.30	1		4.535025
1	3	1	0	0	18	11	12	2	7	141.30	1		4.535025
13	82	3	0	12	17	0	11	5	4	195.71	0		44.920238
13	83	3	0	12	2	4	11	5	4	195.71	0		44.920238
13	81	2	0	0	12	14	9	2	5	66.38	0		32.591833
13	78	1	0	0	20	11	12	2	7	141.30	1		4.535025
13	79	1	0	0	2	14	12	2	7	141.30	1		4.535025
13	80	1	0	0	4	14	12	2	7	141.30	1		4.535025
17	109	3	0	12	7	4	11	5	4	195.71	0		44.920238
17	104	2	0	0	0	15	9	2	5	66.38	0		32.591833
17	105	2	0	0	22	15	9	2	5	66.38	0		32.591833
17	106	2	0	0	12	19	9	2	5	66.38	0		32.591833
17	107	2	0	0	0	20	9	2	5	66.38	0		32.591833
17	108	2	0	0	22	20	9	2	5	66.38	0		32.591833
17	101	1	0	0	6	14	12	2	7	141.30	1		4.535025
17	102	1	0	0	8	14	12	2	7	141.30	1		4.535025
17	103	1	0	0	10	14	12	2	7	141.30	1		4.535025
11	69	3	0	12	12	4	11	5	4	195.71	0		44.920238
11	70	3	0	12	17	4	11	5	4	195.71	0		44.920238
11	65	2	0	0	12	24	9	2	5	66.38	0		32.591833
11	66	2	0	0	0	25	9	2	5	66.38	0		32.591833
11	67	2	0	0	22	25	9	2	5	66.38	0		32.591833
11	68	2	0	9	0	0	9	2	5	66.38	0		32.591833
16	100	3	0	12	2	8	11	5	4	195.71	0		44.920238
16	99	2	0	9	22	0	9	2	5	66.38	0		32.591833
16	96	1	0	0	14	18	12	2	7	141.30	1		4.535025
16	97	1	0	0	16	18	12	2	7	141.30	1		4.535025
16	98	1	0	0	18	18	12	2	7	141.30	1		4.535025
29	185	3	0	12	7	8	11	5	4	195.71	0		44.920238
29	186	3	0	12	12	8	11	5	4	195.71	0		44.920238
29	187	3	0	12	17	8	11	5	4	195.71	0		44.920238
29	182	2	0	9	0	5	9	2	5	66.38	0		32.591833
29	183	2	0	9	22	5	9	2	5	66.38	0		32.591833
29	184	2	0	9	0	10	9	2	5	66.38	0		32.591833
29	181	1	0	0	20	18	12	2	7	141.30	1		4.535025
30	194	3	0	12	2	12	11	5	4	195.71	0		44.920238
30	195	3	0	12	7	12	11	5	4	195.71	0		44.920238
30	196	3	0	12	12	12	11	5	4	195.71	0		44.920238
30	191	2	0	9	22	10	9	2	5	66.38	0		32.591833
30	192	2	0	9	0	15	9	2	5	66.38	0		32.591833
30	193	2	0	9	22	15	9	2	5	66.38	0		32.591833
30	188	1	0	0	2	21	12	2	7	141.30	1		4.535025
30	189	1	0	0	4	21	12	2	7	141.30	1		4.535025
30	190	1	0	0	6	21	12	2	7	141.30	1		4.535025
9	53	3	0	12	17	12	11	5	4	195.71	0		44.920238
9	54	3	0	12	2	16	11	5	4	195.71	0		44.920238
9	55	3	0	12	7	16	11	5	4	195.71	0		44.920238
9	51	2	0	9	0	20	9	2	5	66.38	0		32.591833
9	52	2	0	9	22	20	9	2	5	66.38	0		32.591833
9	48	1	0	0	8	21	12	2	7	141.30	1		4.535025
9	49	1	0	0	10	21	12	2	7	141.30	1		4.535025
9	50	1	0	12	12	16	12	2	7	141.30	1		4.535025
22	141	3	0	12	14	16	11	5	4	195.71	0		44.920238
22	140	2	0	9	0	25	9	2	5	66.38	0		32.591833
22	138	1	0	12	19	16	12	2	7	141.30	1		4.535025
22	139	1	0	12	2	20	12	2	7	141.30	1		4.535025
12	76	3	0	12	4	20	11	5	4	195.71	0		44.920238
12	77	3	0	12	14	20	11	5	4	195.71	0		44.920238
12	74	2	0	9	22	25	9	2	5	66.38	0		32.591833
12	75	2	0	12	9	20	9	2	5	66.38	0		32.591833
12	71	1	0	12	12	23	12	2	7	141.30	1		4.535025
12	72	1	0	12	19	23	12	2	7	141.30	1		4.535025
12	73	1	0	18	0	0	12	2	7	141.30	1		4.535025
24	149	3	0	12	4	24	11	5	4	195.71	0		44.920238
24	150	3	0	12	14	24	11	5	4	195.71	0		44.920238
24	151	3	0	23	7	0	11	5	4	195.71	0		44.920238
24	152	3	0	23	7	4	11	5	4	195.71	0		44.920238
24	153	3	0	23	7	8	11	5	4	195.71	0		44.920238
24	148	2	0	12	9	25	9	2	5	66.38	0		32.591833
24	147	1	0	18	22	0	12	2	7	141.30	1		4.535025
7	36	3	0	23	7	12	11	5	4	195.71	0		44.920238
7	37	3	0	23	7	16	11	5	4	195.71	0		44.920238
7	38	3	0	23	7	20	11	5	4	195.71	0		44.920238
7	32	2	0	23	17	0	9	2	5	66.38	0		32.591833
7	33	2	0	23	17	5	9	2	5	66.38	0		32.591833
7	34	2	0	23	17	10	9	2	5	66.38	0		32.591833
7	35	2	0	23	17	15	9	2	5	66.38	0		32.591833
7	31	1	0	18	0	7	12	2	7	141.30	1		4.535025
2	8	3	0	23	7	24	11	5	4	195.71	0		44.920238
2	7	2	0	23	17	20	9	2	5	66.38	0		32.591833
2	5	1	0	18	22	7	12	2	7	141.30	1		4.535025
2	6	1	0	18	0	14	12	2	7	141.30	1		4.535025
20	129	3	0	30	0	0	11	5	4	195.71	0		44.920238
20	127	2	0	23	17	25	9	2	5	66.38	0		32.591833
20	128	2	0	30	5	0	9	2	5	66.38	0		32.591833
20	125	1	0	18	22	14	12	2	7	141.30	1		4.535025
20	126	1	0	18	0	21	12	2	7	141.30	1		4.535025
28	176	3	0	30	0	4	11	5	4	195.71	0		44.920238
28	177	3	0	30	0	8	11	5	4	195.71	0		44.920238
28	178	3	0	30	0	12	11	5	4	195.71	0		44.920238
28	179	3	0	30	0	16	11	5	4	195.71	0		44.920238
28	180	3	0	30	0	20	11	5	4	195.71	0		44.920238
28	175	2	0	30	22	0	9	2	5	66.38	0		32.591833
28	174	1	0	18	22	21	12	2	7	141.30	1		4.535025
