Name:				500_n100_m400_bt3_25524
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1632.50
Calculation_Time:		34.16
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		34
No_of_Items:			143
Customer_Sequence:		11 31 35 28 30 4 3 25 1 10 18 22 37 9 27 20 15 13 17 38 29 12 32 5 19 16 24 2 8 34 26 7 14 6 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
6	24	3	0	0	0	0	6	5	7	175.90	0		116.446761
6	20	1	0	0	5	0	8	4	4	87.56	0		5.532129
6	21	2	0	0	9	0	11	4	5	75.41	1		3.015603
6	22	2	0	0	13	0	11	4	5	75.41	1		3.015603
6	23	2	0	0	17	0	11	4	5	75.41	1		3.015603
14	56	1	0	0	21	0	8	4	4	87.56	0		5.532129
14	57	2	0	0	9	5	11	4	5	75.41	1		3.015603
14	58	2	0	0	13	5	11	4	5	75.41	1		3.015603
14	59	2	0	0	17	5	11	4	5	75.41	1		3.015603
7	26	3	0	0	0	7	6	5	7	175.90	0		116.446761
7	27	3	0	0	0	14	6	5	7	175.90	0		116.446761
7	28	3	0	0	0	21	6	5	7	175.90	0		116.446761
7	29	3	0	6	0	0	6	5	7	175.90	0		116.446761
7	25	2	0	0	9	10	11	4	5	75.41	1		3.015603
26	108	3	0	6	0	7	6	5	7	175.90	0		116.446761
26	107	1	0	0	5	4	8	4	4	87.56	0		5.532129
34	138	3	0	6	0	14	6	5	7	175.90	0		116.446761
34	139	3	0	6	0	21	6	5	7	175.90	0		116.446761
34	140	3	0	11	9	0	6	5	7	175.90	0		116.446761
34	135	1	0	0	21	4	8	4	4	87.56	0		5.532129
34	136	1	0	0	5	8	8	4	4	87.56	0		5.532129
34	137	1	0	0	21	8	8	4	4	87.56	0		5.532129
8	32	3	0	11	14	0	6	5	7	175.90	0		116.446761
8	33	3	0	11	19	0	6	5	7	175.90	0		116.446761
8	34	3	0	11	9	7	6	5	7	175.90	0		116.446761
8	30	1	0	0	5	12	8	4	4	87.56	0		5.532129
8	31	2	0	0	13	10	11	4	5	75.41	1		3.015603
2	4	1	0	0	21	12	8	4	4	87.56	0		5.532129
2	5	1	0	0	5	16	8	4	4	87.56	0		5.532129
2	6	2	0	0	17	10	11	4	5	75.41	1		3.015603
2	7	2	0	0	9	15	11	4	5	75.41	1		3.015603
2	8	2	0	0	13	15	11	4	5	75.41	1		3.015603
2	9	2	0	0	17	15	11	4	5	75.41	1		3.015603
24	102	3	0	11	14	7	6	5	7	175.90	0		116.446761
24	103	3	0	11	19	7	6	5	7	175.90	0		116.446761
24	99	1	0	0	21	16	8	4	4	87.56	0		5.532129
24	100	1	0	0	5	20	8	4	4	87.56	0		5.532129
24	101	2	0	0	9	20	11	4	5	75.41	1		3.015603
16	67	3	0	11	9	14	6	5	7	175.90	0		116.446761
16	68	3	0	11	14	14	6	5	7	175.90	0		116.446761
16	65	1	0	0	21	20	8	4	4	87.56	0		5.532129
16	66	1	0	0	5	24	8	4	4	87.56	0		5.532129
19	82	3	0	11	19	14	6	5	7	175.90	0		116.446761
19	83	3	0	11	9	21	6	5	7	175.90	0		116.446761
19	80	1	0	0	21	24	8	4	4	87.56	0		5.532129
19	81	2	0	0	9	25	11	4	5	75.41	1		3.015603
5	19	3	0	11	14	21	6	5	7	175.90	0		116.446761
5	16	1	0	8	5	0	8	4	4	87.56	0		5.532129
5	17	1	0	8	5	4	8	4	4	87.56	0		5.532129
5	18	1	0	8	5	8	8	4	4	87.56	0		5.532129
32	131	3	0	11	19	21	6	5	7	175.90	0		116.446761
32	130	1	0	8	5	12	8	4	4	87.56	0		5.532129
12	47	3	0	12	0	0	6	5	7	175.90	0		116.446761
12	48	3	0	12	0	7	6	5	7	175.90	0		116.446761
12	49	3	0	12	0	14	6	5	7	175.90	0		116.446761
12	45	2	0	16	5	0	11	4	5	75.41	1		3.015603
12	46	2	0	16	5	5	11	4	5	75.41	1		3.015603
29	120	3	0	12	0	21	6	5	7	175.90	0		116.446761
29	119	2	0	16	5	10	11	4	5	75.41	1		3.015603
38	153	3	0	17	9	0	6	5	7	175.90	0		116.446761
38	154	3	0	17	14	0	6	5	7	175.90	0		116.446761
38	152	2	0	16	5	15	11	4	5	75.41	1		3.015603
17	73	3	0	17	19	0	6	5	7	175.90	0		116.446761
17	69	1	0	17	9	7	8	4	4	87.56	0		5.532129
17	70	1	0	17	13	7	8	4	4	87.56	0		5.532129
17	71	1	0	17	17	7	8	4	4	87.56	0		5.532129
17	72	2	0	16	5	20	11	4	5	75.41	1		3.015603
13	54	3	0	17	9	11	6	5	7	175.90	0		116.446761
13	55	3	0	17	14	11	6	5	7	175.90	0		116.446761
13	50	1	0	17	9	18	8	4	4	87.56	0		5.532129
13	51	1	0	17	13	18	8	4	4	87.56	0		5.532129
13	52	2	0	16	5	25	11	4	5	75.41	1		3.015603
13	53	2	0	18	0	0	11	4	5	75.41	1		3.015603
15	61	3	0	17	9	22	6	5	7	175.90	0		116.446761
15	62	3	0	27	5	0	6	5	7	175.90	0		116.446761
15	63	3	0	27	10	0	6	5	7	175.90	0		116.446761
15	64	3	0	27	15	0	6	5	7	175.90	0		116.446761
15	60	1	0	17	14	22	8	4	4	87.56	0		5.532129
20	84	1	0	17	14	26	8	4	4	87.56	0		5.532129
20	85	1	0	25	9	7	8	4	4	87.56	0		5.532129
20	86	1	0	25	13	7	8	4	4	87.56	0		5.532129
20	87	2	0	18	0	5	11	4	5	75.41	1		3.015603
20	88	2	0	18	0	10	11	4	5	75.41	1		3.015603
27	111	3	0	25	9	11	6	5	7	175.90	0		116.446761
27	112	3	0	25	9	18	6	5	7	175.90	0		116.446761
27	109	2	0	18	0	15	11	4	5	75.41	1		3.015603
