Name:				503_n100_m400_bt10_25745
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		640.53
Calculation_Time:		421.14
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		15
No_of_Items:			67
Customer_Sequence:		18 13 14 8 12 4 3 1 7 10 15 9 2 6 20 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
20	85	10	0	0	0	0	15	7	8	695.12	0		77.228283
20	83	8	0	0	7	0	16	5	6	394.87	1		5.849847
20	84	8	0	0	12	0	16	5	6	394.87	1		5.849847
6	21	2	0	0	17	0	9	7	8	353.44	0		29.919339
6	20	1	0	0	0	8	17	3	5	411.14	0		48.043498
6	24	7	0	0	3	8	14	2	8	155.73	0		50.322788
10	44	6	0	0	7	6	15	3	5	153.26	1		15.977736
2	6	4	0	0	17	8	9	3	8	89.44	0		21.931731
6	23	6	0	0	10	6	15	3	5	153.26	1		15.977736
2	5	3	0	9	17	0	14	7	8	432.18	0		22.033122
2	7	6	0	0	13	6	15	3	5	153.26	1		15.977736
6	22	5	0	0	5	8	10	2	3	42.67	0		13.553287
2	9	9	0	9	17	8	8	7	4	151.84	0		17.596519
2	8	9	0	9	17	12	8	7	4	151.84	0		17.596519
9	40	10	0	23	17	0	15	7	8	695.12	0		77.228283
9	37	2	0	9	17	16	9	7	8	353.44	0		29.919339
15	61	5	0	0	5	11	10	2	3	42.67	0		13.553287
9	39	8	0	0	10	11	16	5	6	394.87	1		5.849847
9	38	6	0	0	0	13	15	3	5	153.26	1		15.977736
15	63	7	0	0	3	16	14	2	8	155.73	0		50.322788
9	36	1	0	16	7	0	17	3	5	411.14	0		48.043498
15	64	8	0	0	10	17	16	5	6	394.87	1		5.849847
15	62	6	0	0	0	18	15	3	5	153.26	1		15.977736
10	46	10	0	16	10	0	15	7	8	695.12	0		77.228283
10	42	3	0	16	10	8	14	7	8	432.18	0		22.033122
10	41	2	0	16	10	16	9	7	8	353.44	0		29.919339
10	45	9	0	9	17	24	8	7	4	151.84	0		17.596519
7	27	1	0	16	7	5	17	3	5	411.14	0		48.043498
6	25	9	0	15	0	0	8	7	4	151.84	0		17.596519
12	49	5	0	0	5	14	10	2	3	42.67	0		13.553287
7	28	2	0	23	0	0	9	7	8	353.44	0		29.919339
7	26	1	0	16	7	10	17	3	5	411.14	0		48.043498
10	43	5	0	0	3	24	10	2	3	42.67	0		13.553287
12	51	8	0	23	17	8	16	5	6	394.87	1		5.849847
3	11	5	0	0	3	27	10	2	3	42.67	0		13.553287
1	1	1	0	16	7	15	17	3	5	411.14	0		48.043498
3	10	3	0	31	10	0	14	7	8	432.18	0		22.033122
1	4	6	0	0	0	23	15	3	5	153.26	1		15.977736
1	3	5	0	16	7	20	10	2	3	42.67	0		13.553287
3	12	7	0	23	22	8	14	2	8	155.73	0		50.322788
3	13	9	0	16	10	24	8	7	4	151.84	0		17.596519
1	2	3	0	32	0	0	14	7	8	432.18	0		22.033122
4	14	10	0	30	10	8	15	7	8	695.12	0		77.228283
4	15	10	0	25	10	16	15	7	8	695.12	0		77.228283
8	34	10	0	23	0	8	15	7	8	695.12	0		77.228283
7	30	10	0	38	17	0	15	7	8	695.12	0		77.228283
18	77	5	0	0	5	17	10	2	3	42.67	0		13.553287
12	50	7	0	23	22	16	14	2	8	155.73	0		50.322788
12	52	8	0	23	17	14	16	5	6	394.87	1		5.849847
8	35	10	0	39	17	8	15	7	8	695.12	0		77.228283
8	31	3	0	39	17	16	14	7	8	432.18	0		22.033122
8	32	4	0	23	0	16	9	3	8	89.44	0		21.931731
8	33	8	0	23	17	20	16	5	6	394.87	1		5.849847
14	60	10	0	45	10	0	15	7	8	695.12	0		77.228283
14	56	3	0	45	10	8	14	7	8	432.18	0		22.033122
14	59	9	0	24	10	24	8	7	4	151.84	0		17.596519
18	78	8	0	39	17	24	16	5	6	394.87	1		5.849847
14	57	4	0	26	7	20	9	3	8	89.44	0		21.931731
13	53	3	0	40	10	16	14	7	8	432.18	0		22.033122
13	54	5	0	23	3	16	10	2	3	42.67	0		13.553287
13	55	6	0	32	10	24	15	3	5	153.26	1		15.977736
18	74	3	0	46	0	0	14	7	8	432.18	0		22.033122
18	73	2	0	38	0	8	9	7	8	353.44	0		29.919339
18	75	4	0	32	0	16	9	3	8	89.44	0		21.931731
18	76	4	0	33	3	16	9	3	8	89.44	0		21.931731
7	29	7	0	33	7	0	14	2	8	155.73	0		50.322788
14	58	5	0	16	7	23	10	2	3	42.67	0		13.553287


