Name:				587_n100_m400_bt3_29280
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		339.74
Calculation_Time:		28.88
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		10
No_of_Items:			53
Customer_Sequence:		8 9 3 18 6 10 14 5 12 4 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
4	15	3	0	0	0	0	15	5	8	251.22	0		46.285478
14	63	1	0	0	5	0	17	6	8	252.50	0		5.004958
4	17	3	0	0	11	0	15	5	8	251.22	0		46.285478
4	12	2	0	0	16	0	9	4	5	171	1		12.997083
4	13	2	0	0	20	0	9	4	5	171	1		12.997083
4	14	2	0	0	16	5	9	4	5	171	1		12.997083
12	54	1	0	9	16	0	17	6	8	252.50	0		5.004958
12	55	1	0	9	16	8	17	6	8	252.50	0		5.004958
12	57	3	0	0	0	8	15	5	8	251.22	0		46.285478
12	56	2	0	0	20	5	9	4	5	171	1		12.997083
5	20	3	0	0	11	8	15	5	8	251.22	0		46.285478
5	21	3	0	0	0	16	15	5	8	251.22	0		46.285478
5	22	3	0	0	11	16	15	5	8	251.22	0		46.285478
14	62	1	0	0	5	8	17	6	8	252.50	0		5.004958
5	18	2	0	0	0	24	9	4	5	171	1		12.997083
5	19	2	0	0	11	24	9	4	5	171	1		12.997083
10	44	2	0	0	5	16	9	4	5	171	1		12.997083
4	16	3	0	15	0	0	15	5	8	251.22	0		46.285478
14	66	3	0	9	16	16	15	5	8	251.22	0		46.285478
6	26	2	0	0	5	21	9	4	5	171	1		12.997083
14	64	2	1	9	11	24	9	4	5	171	1		12.997083
14	65	2	0	15	11	0	9	4	5	171	1		12.997083
10	43	1	0	17	5	0	17	6	8	252.50	0		5.004958
10	47	3	0	15	0	8	15	5	8	251.22	0		46.285478
5	23	3	0	26	16	0	15	5	8	251.22	0		46.285478
10	45	2	0	9	5	16	9	4	5	171	1		12.997083
10	46	2	0	15	11	5	9	4	5	171	1		12.997083
6	24	1	0	34	5	0	17	6	8	252.50	0		5.004958
6	28	3	0	15	0	16	15	5	8	251.22	0		46.285478
6	25	2	0	9	5	21	9	4	5	171	1		12.997083
3	8	1	0	34	5	8	17	6	8	252.50	0		5.004958
6	27	2	0	9	0	24	9	4	5	171	1		12.997083
18	77	1	0	41	16	0	17	6	8	252.50	0		5.004958
18	78	3	0	24	11	0	15	5	8	251.22	0		46.285478
18	79	3	0	24	11	8	15	5	8	251.22	0		46.285478
18	80	3	0	24	11	16	15	5	8	251.22	0		46.285478
18	81	3	0	26	16	8	15	5	8	251.22	0		46.285478
18	82	3	0	24	16	16	15	5	8	251.22	0		46.285478
14	67	3	0	30	0	0	15	5	8	251.22	0		46.285478
3	10	3	0	30	0	8	15	5	8	251.22	0		46.285478
3	11	3	0	30	0	16	15	5	8	251.22	0		46.285478
3	9	2	0	18	0	24	9	4	5	171	1		12.997083
9	40	3	0	34	5	16	15	5	8	251.22	0		46.285478
9	41	3	0	39	11	0	15	5	8	251.22	0		46.285478
9	42	3	0	39	11	8	15	5	8	251.22	0		46.285478
9	38	2	0	24	11	24	9	4	5	171	1		12.997083
9	39	2	0	24	15	24	9	4	5	171	1		12.997083
8	32	1	0	39	11	16	17	6	8	252.50	0		5.004958
8	33	1	0	41	16	8	17	6	8	252.50	0		5.004958
8	34	1	0	39	17	16	17	6	8	252.50	0		5.004958
8	35	3	0	45	0	0	15	5	8	251.22	0		46.285478
8	36	3	0	45	0	8	15	5	8	251.22	0		46.285478
8	37	3	0	45	0	16	15	5	8	251.22	0		46.285478


