Name:				198_n100_m200_bt3_4449
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2566.08
Calculation_Time:		25.83
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		68
No_of_Items:			134
Customer_Sequence:		60 45 1 32 69 66 59 37 36 6 19 44 63 39 40 35 12 52 3 8 15 46 23 31 64 41 53 10 34 17 70 65 67 16 4 61 42 21 5 27 18 50 20 26 51 48 28 38 56 62 30 22 14 13 33 54 55 7 47 49 43 2 24 25 29 57 71 11 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
11	19	2	0	0	0	0	10	3	7	160.97	0		65.527841
11	20	3	0	0	3	0	9	3	5	47.24	0		8.740837
71	136	2	0	0	6	0	10	3	7	160.97	0		65.527841
71	137	2	0	0	9	0	10	3	7	160.97	0		65.527841
71	138	2	0	0	12	0	10	3	7	160.97	0		65.527841
57	112	1	0	0	15	0	14	6	4	248.40	1		6.923214
29	56	2	0	0	21	0	10	3	7	160.97	0		65.527841
25	49	3	0	0	3	5	9	3	5	47.24	0		8.740837
25	47	1	0	0	15	4	14	6	4	248.40	1		6.923214
25	48	1	0	0	15	8	14	6	4	248.40	1		6.923214
24	45	2	0	0	0	7	10	3	7	160.97	0		65.527841
24	46	3	0	0	6	7	9	3	5	47.24	0		8.740837
2	2	2	0	0	9	7	10	3	7	160.97	0		65.527841
2	3	2	0	0	12	7	10	3	7	160.97	0		65.527841
2	4	3	0	0	21	7	9	3	5	47.24	0		8.740837
43	84	3	0	0	3	10	9	3	5	47.24	0		8.740837
49	97	2	0	0	6	12	10	3	7	160.97	0		65.527841
49	98	3	0	0	21	12	9	3	5	47.24	0		8.740837
49	96	1	0	0	15	12	14	6	4	248.40	1		6.923214
47	91	1	0	0	15	16	14	6	4	248.40	1		6.923214
47	92	1	0	0	15	20	14	6	4	248.40	1		6.923214
7	14	3	0	0	0	14	9	3	5	47.24	0		8.740837
7	13	1	0	0	15	24	14	6	4	248.40	1		6.923214
55	107	3	0	0	9	14	9	3	5	47.24	0		8.740837
