Name:				228_n100_m200_bt3_4979
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2152.54
Calculation_Time:		969.40
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		54
No_of_Items:			115
Customer_Sequence:		27 47 2 32 58 12 22 23 49 45 9 34 37 53 38 4 28 18 16 7 51 14 13 1 8 43 15 29 31 33 42 21 44 17 19 11 36 3 50 20 25 26 41 6 46 48 10 39 5 56 55 30 54 24 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
24	51	2	0	0	0	0	13	4	7	285.21	0		27.056142
54	108	3	0	0	4	0	17	4	4	241.58	0		77.087387
54	109	3	0	0	8	0	17	4	4	241.58	0		77.087387
30	63	2	0	0	12	0	13	4	7	285.21	0		27.056142
55	112	3	0	0	16	0	17	4	4	241.58	0		77.087387
55	110	1	0	0	20	0	6	3	8	222.38	1		11.925311
55	111	1	0	0	4	4	6	3	8	222.38	1		11.925311
56	114	3	0	0	7	4	17	4	4	241.58	0		77.087387
56	115	3	0	0	16	4	17	4	4	241.58	0		77.087387
56	113	1	0	0	0	7	6	3	8	222.38	1		11.925311
5	10	2	0	0	12	7	13	4	7	285.21	0		27.056142
5	8	1	0	0	7	8	6	3	8	222.38	1		11.925311
38	78	2	0	0	16	8	13	4	7	285.21	0		27.056142
39	81	2	0	0	12	14	13	4	7	285.21	0		27.056142
39	82	2	0	0	12	21	13	4	7	285.21	0		27.056142
39	80	1	0	0	20	8	6	3	8	222.38	1		11.925311
10	21	2	0	6	20	0	13	4	7	285.21	0		27.056142
10	22	2	0	6	20	7	13	4	7	285.21	0		27.056142
10	23	3	0	6	20	14	17	4	4	241.58	0		77.087387
48	100	3	0	6	20	18	17	4	4	241.58	0		77.087387
48	99	1	0	0	4	12	6	3	8	222.38	1		11.925311
46	93	2	0	6	7	8	13	4	7	285.21	0		27.056142
46	94	2	0	6	7	15	13	4	7	285.21	0		27.056142
46	95	3	0	6	7	22	17	4	4	241.58	0		77.087387
6	12	2	0	6	20	22	13	4	7	285.21	0		27.056142
6	11	1	0	0	0	15	6	3	8	222.38	1		11.925311
41	85	2	0	13	0	0	13	4	7	285.21	0		27.056142
41	84	1	0	0	4	20	6	3	8	222.38	1		11.925311
43	88	3	0	6	0	7	17	4	4	241.58	0		77.087387
26	54	2	0	13	12	0	13	4	7	285.21	0		27.056142
26	55	3	0	6	7	26	17	4	4	241.58	0		77.087387
25	52	3	0	13	12	7	17	4	4	241.58	0		77.087387
36	74	1	0	6	4	4	6	3	8	222.38	1		11.925311
20	44	3	0	13	12	11	17	4	4	241.58	0		77.087387
11	26	2	0	13	12	15	13	4	7	285.21	0		27.056142
3	5	2	0	17	16	0	13	4	7	285.21	0		27.056142
20	43	3	0	26	0	0	17	4	4	241.58	0		77.087387
50	102	3	0	26	4	0	17	4	4	241.58	0		77.087387
11	24	1	0	6	4	12	6	3	8	222.38	1		11.925311
11	25	1	0	6	4	20	6	3	8	222.38	1		11.925311
19	42	3	0	13	12	22	17	4	4	241.58	0		77.087387
38	77	1	0	0	16	15	6	3	8	222.38	1		11.925311
17	38	1	0	12	4	4	6	3	8	222.38	1		11.925311
17	39	1	0	12	4	12	6	3	8	222.38	1		11.925311
44	89	2	0	26	8	0	13	4	7	285.21	0		27.056142
44	90	3	0	13	12	26	17	4	4	241.58	0		77.087387
44	91	3	0	26	4	4	17	4	4	241.58	0		77.087387
21	45	2	0	26	8	7	13	4	7	285.21	0		27.056142
21	46	3	0	26	4	8	17	4	4	241.58	0		77.087387
42	87	2	0	26	4	12	13	4	7	285.21	0		27.056142
42	86	1	0	12	4	20	6	3	8	222.38	1		11.925311
33	69	2	0	26	8	14	13	4	7	285.21	0		27.056142
33	70	2	0	26	4	19	13	4	7	285.21	0		27.056142
33	68	1	0	26	8	21	6	3	8	222.38	1		11.925311
31	64	2	0	30	16	0	13	4	7	285.21	0		27.056142
31	65	3	0	26	4	26	17	4	4	241.58	0		77.087387
16	36	3	0	6	0	11	17	4	4	241.58	0		77.087387
