Name:				235_n100_m200_bt10_5136
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2279.80
Calculation_Time:		1771.77
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		63
No_of_Items:			121
Customer_Sequence:		43 14 59 51 58 46 44 35 20 53 63 56 12 5 50 13 52 36 17 57 67 47 31 49 1 24 21 32 4 19 2 6 40 64 37 28 7 42 65 15 11 23 54 34 30 48 45 55 33 61 41 8 60 9 3 62 22 39 26 25 10 38 29 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
29	49	6	0	0	0	0	17	5	3	81.72	0		11.179608
38	64	2	0	0	5	0	13	6	6	262.76	0		58.664146
38	65	5	0	0	11	0	17	5	4	317.59	0		16.544576
38	66	6	0	0	16	0	17	5	3	81.72	0		11.179608
10	16	5	0	0	0	3	17	5	4	317.59	0		16.544576
10	17	6	0	0	16	3	17	5	3	81.72	0		11.179608
10	15	1	0	0	21	0	6	4	6	72.90	0		8.997280
25	43	2	0	0	5	6	13	6	6	262.76	0		58.664146
26	44	9	0	0	11	4	8	4	8	160.79	1		25.465804
39	67	7	0	0	16	6	8	2	7	41.55	0		10.454082
22	39	4	0	0	18	6	6	3	4	27.70	1		4.527884
62	114	1	0	0	21	6	6	4	6	72.90	0		8.997280
62	115	6	0	0	0	7	17	5	3	81.72	0		11.179608
62	116	8	0	0	0	10	17	4	5	247.90	0		10.701245
3	3	2	0	0	5	12	13	6	6	262.76	0		58.664146
9	14	3	0	0	0	15	15	5	4	147.94	0		46.196444
60	111	2	0	0	5	18	13	6	6	262.76	0		58.664146
60	112	8	0	0	0	19	17	4	5	247.90	0		10.701245
60	110	1	0	0	21	12	6	4	6	72.90	0		8.997280
8	13	10	0	8	11	4	9	5	8	248.17	0		71.144329
8	11	1	0	0	21	18	6	4	6	72.90	0		8.997280
8	12	9	0	0	11	12	8	4	8	160.79	1		25.465804
41	70	8	0	0	0	24	17	4	5	247.90	0		10.701245
41	71	9	0	0	11	20	8	4	8	160.79	1		25.465804
61	113	4	0	0	18	10	6	3	4	27.70	1		4.527884
33	55	2	0	0	4	24	13	6	6	262.76	0		58.664146
55	101	3	0	13	5	0	15	5	4	147.94	0		46.196444
45	81	8	0	6	21	0	17	4	5	247.90	0		10.701245
45	80	7	0	0	16	13	8	2	7	41.55	0		10.454082
45	79	4	0	0	18	14	6	3	4	27.70	1		4.527884
48	87	3	0	13	5	4	15	5	4	147.94	0		46.196444
48	88	6	0	13	5	8	17	5	3	81.72	0		11.179608
48	89	7	0	0	16	20	8	2	7	41.55	0		10.454082
30	50	7	0	6	21	5	8	2	7	41.55	0		10.454082
34	56	5	0	13	5	11	17	5	4	317.59	0		16.544576
34	57	9	0	8	16	6	8	4	8	160.79	1		25.465804
54	100	10	0	8	11	12	9	5	8	248.17	0		71.144329
54	99	5	0	13	5	15	17	5	4	317.59	0		16.544576
23	40	1	0	0	21	24	6	4	6	72.90	0		8.997280
11	20	9	0	8	16	14	8	4	8	160.79	1		25.465804
11	18	4	0	0	18	18	6	3	4	27.70	1		4.527884
11	19	4	0	0	18	22	6	3	4	27.70	1		4.527884
15	26	8	0	13	5	19	17	4	5	247.90	0		10.701245
21	38	9	0	8	11	20	8	4	8	160.79	1		25.465804
65	121	1	0	13	4	24	6	4	6	72.90	0		8.997280
42	74	10	0	17	11	0	9	5	8	248.17	0		71.144329
42	72	6	0	17	16	0	17	5	3	81.72	0		11.179608
42	73	7	0	6	23	5	8	2	7	41.55	0		10.454082
7	10	3	0	17	16	3	15	5	4	147.94	0		46.196444
28	48	7	0	6	21	12	8	2	7	41.55	0		10.454082
28	46	4	0	0	18	26	6	3	4	27.70	1		4.527884
28	47	4	0	8	16	22	6	3	4	27.70	1		4.527884
64	120	9	0	14	21	5	8	4	8	160.79	1		25.465804
37	62	7	0	6	23	12	8	2	7	41.55	0		10.454082
37	63	7	0	6	21	19	8	2	7	41.55	0		10.454082
37	61	3	0	17	16	7	15	5	4	147.94	0		46.196444
40	68	7	0	6	23	19	8	2	7	41.55	0		10.454082
40	69	9	0	14	21	13	8	4	8	160.79	1		25.465804
6	9	8	0	17	0	0	17	4	5	247.90	0		10.701245
2	2	5	0	17	16	11	17	5	4	317.59	0		16.544576
19	34	10	0	17	11	8	9	5	8	248.17	0		71.144329
57	106	10	0	17	16	15	9	5	8	248.17	0		71.144329
19	33	9	0	14	21	21	8	4	8	160.79	1		25.465804
4	4	2	0	34	0	0	13	6	6	262.76	0		58.664146
17	28	9	0	17	11	16	8	4	8	160.79	1		25.465804
4	5	4	0	8	16	26	6	3	4	27.70	1		4.527884
32	54	10	0	26	11	0	9	5	8	248.17	0		71.144329
57	104	4	0	17	16	23	6	3	4	27.70	1		4.527884
65	122	10	0	34	6	0	9	5	8	248.17	0		71.144329
24	41	3	0	34	16	0	15	5	4	147.94	0		46.196444
49	90	6	0	34	16	4	17	5	3	81.72	0		11.179608
1	1	8	0	23	21	0	17	4	5	247.90	0		10.701245
49	91	8	0	22	21	5	17	4	5	247.90	0		10.701245
24	42	4	0	26	11	8	6	3	4	27.70	1		4.527884
31	52	10	0	34	0	6	9	5	8	248.17	0		71.144329
31	53	10	0	34	16	7	9	5	8	248.17	0		71.144329
31	51	8	0	22	21	10	17	4	5	247.90	0		10.701245
47	84	5	0	35	11	0	17	5	4	317.59	0		16.544576
47	85	5	0	35	11	4	17	5	4	317.59	0		16.544576
47	86	6	0	32	11	8	17	5	3	81.72	0		11.179608
56	102	6	0	26	16	15	17	5	3	81.72	0		11.179608
67	127	3	0	32	11	11	15	5	4	147.94	0		46.196444
17	29	10	0	32	11	15	9	5	8	248.17	0		71.144329
19	32	7	0	17	0	5	8	2	7	41.55	0		10.454082
4	6	5	0	43	6	0	17	5	4	317.59	0		16.544576
21	37	5	0	43	6	4	17	5	4	317.59	0		16.544576
67	128	9	0	22	21	15	8	4	8	160.79	1		25.465804
57	105	8	0	34	6	8	17	4	5	247.90	0		10.701245
52	96	9	0	30	21	15	8	4	8	160.79	1		25.465804
36	60	4	0	17	11	24	6	3	4	27.70	1		4.527884
36	59	2	0	47	0	0	13	6	6	262.76	0		58.664146
13	23	4	0	22	21	23	6	3	4	27.70	1		4.527884
13	24	4	0	28	21	23	6	3	4	27.70	1		4.527884
50	93	8	0	34	6	13	17	4	5	247.90	0		10.701245
50	92	7	0	17	19	23	8	2	7	41.55	0		10.454082
53	97	3	0	26	16	18	15	5	4	147.94	0		46.196444
5	7	3	0	34	6	18	15	5	4	147.94	0		46.196444
12	22	8	0	34	6	22	17	4	5	247.90	0		10.701245
12	21	1	0	19	4	24	6	4	6	72.90	0		8.997280
67	126	2	1	52	11	0	13	6	6	262.76	0		58.664146
5	8	10	0	34	0	14	9	5	8	248.17	0		71.144329
63	118	8	0	43	0	6	17	4	5	247.90	0		10.701245
63	119	8	0	43	0	11	17	4	5	247.90	0		10.701245
51	95	10	0	26	16	22	9	5	8	248.17	0		71.144329
56	103	9	0	34	0	22	8	4	8	160.79	1		25.465804
53	98	6	0	34	6	27	17	5	3	81.72	0		11.179608
20	35	2	1	52	11	6	13	6	6	262.76	0		58.664146
20	36	4	0	32	11	23	6	3	4	27.70	1		4.527884
35	58	6	0	43	0	16	17	5	3	81.72	0		11.179608
44	78	9	0	41	11	15	8	4	8	160.79	1		25.465804
58	107	2	0	43	0	19	13	6	6	262.76	0		58.664146
46	83	10	0	51	6	8	9	5	8	248.17	0		71.144329
46	82	10	0	51	6	16	9	5	8	248.17	0		71.144329
58	108	2	1	52	11	12	13	6	6	262.76	0		58.664146
63	117	1	0	43	16	7	6	4	6	72.90	0		8.997280
51	94	5	0	43	0	25	17	5	4	317.59	0		16.544576
59	109	7	0	32	14	23	8	2	7	41.55	0		10.454082
14	25	4	0	35	16	22	6	3	4	27.70	1		4.527884
43	77	10	1	52	11	18	9	5	8	248.17	0		71.144329
43	76	7	0	35	19	22	8	2	7	41.55	0		10.454082
43	75	4	0	35	16	26	6	3	4	27.70	1		4.527884


