Name:				289_n100_m200_bt3_6116
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2128.13
Calculation_Time:		54.07
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		56
No_of_Items:			112
Customer_Sequence:		5 33 46 28 35 50 44 19 3 14 29 40 57 25 15 20 9 51 31 4 54 11 24 55 52 56 39 23 12 2 34 58 47 30 36 32 48 18 7 49 22 8 42 21 38 53 1 43 10 6 16 41 26 27 13 45 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
45	86	3	0	0	0	0	8	3	8	82.75	0		24.770523
45	85	2	0	0	3	0	17	3	7	110.96	1		2.731464
13	24	3	0	0	6	0	8	3	8	82.75	0		24.770523
13	23	2	0	0	9	0	17	3	7	110.96	1		2.731464
27	51	1	0	0	12	0	10	7	4	245.01	0		18.421572
26	49	1	0	0	12	4	10	7	4	245.01	0		18.421572
26	50	3	0	0	19	0	8	3	8	82.75	0		24.770523
41	74	1	0	0	12	8	10	7	4	245.01	0		18.421572
41	76	3	0	0	22	0	8	3	8	82.75	0		24.770523
41	75	2	0	0	3	7	17	3	7	110.96	1		2.731464
16	29	1	0	0	12	12	10	7	4	245.01	0		18.421572
16	30	2	0	0	9	7	17	3	7	110.96	1		2.731464
16	31	2	0	0	3	14	17	3	7	110.96	1		2.731464
6	8	2	0	0	9	14	17	3	7	110.96	1		2.731464
6	9	2	0	0	3	21	17	3	7	110.96	1		2.731464
10	17	3	0	0	0	8	8	3	8	82.75	0		24.770523
10	16	2	0	0	9	21	17	3	7	110.96	1		2.731464
43	81	3	0	0	6	8	8	3	8	82.75	0		24.770523
43	80	2	0	8	0	0	17	3	7	110.96	1		2.731464
1	1	3	0	0	19	8	8	3	8	82.75	0		24.770523
53	101	1	0	0	12	16	10	7	4	245.01	0		18.421572
53	102	1	0	0	12	20	10	7	4	245.01	0		18.421572
53	103	3	0	0	22	8	8	3	8	82.75	0		24.770523
38	67	1	0	0	12	24	10	7	4	245.01	0		18.421572
38	69	3	0	0	0	16	8	3	8	82.75	0		24.770523
38	68	2	0	8	6	0	17	3	7	110.96	1		2.731464
21	40	1	0	10	12	0	10	7	4	245.01	0		18.421572
48	93	3	0	0	6	16	8	3	8	82.75	0		24.770523
42	79	3	0	0	19	16	8	3	8	82.75	0		24.770523
42	77	2	0	8	19	0	17	3	7	110.96	1		2.731464
42	78	2	0	8	22	0	17	3	7	110.96	1		2.731464
8	12	2	0	8	0	7	17	3	7	110.96	1		2.731464
22	42	3	0	0	22	16	8	3	8	82.75	0		24.770523
49	94	1	0	10	12	4	10	7	4	245.01	0		18.421572
49	95	2	0	8	6	7	17	3	7	110.96	1		2.731464
7	10	1	0	10	12	8	10	7	4	245.01	0		18.421572
7	11	2	0	8	19	7	17	3	7	110.96	1		2.731464
18	33	1	0	10	12	12	10	7	4	245.01	0		18.421572
18	35	3	0	10	12	16	8	3	8	82.75	0		24.770523
18	34	2	0	8	22	7	17	3	7	110.96	1		2.731464
21	41	2	0	17	3	0	17	3	7	110.96	1		2.731464
48	92	2	0	8	0	14	17	3	7	110.96	1		2.731464
32	58	3	0	10	15	16	8	3	8	82.75	0		24.770523
36	64	1	0	20	12	0	10	7	4	245.01	0		18.421572
36	65	3	0	17	9	0	8	3	8	82.75	0		24.770523
30	56	3	0	17	9	8	8	3	8	82.75	0		24.770523
30	55	2	0	8	6	14	17	3	7	110.96	1		2.731464
47	90	2	0	8	19	14	17	3	7	110.96	1		2.731464
47	91	2	0	8	22	14	17	3	7	110.96	1		2.731464
58	112	1	0	20	12	4	10	7	4	245.01	0		18.421572
58	113	1	0	20	12	8	10	7	4	245.01	0		18.421572
58	114	3	0	17	9	16	8	3	8	82.75	0		24.770523
34	60	1	0	20	12	12	10	7	4	245.01	0		18.421572
34	62	3	0	18	12	16	8	3	8	82.75	0		24.770523
34	61	2	0	8	0	21	17	3	7	110.96	1		2.731464
2	2	1	0	10	12	24	10	7	4	245.01	0		18.421572
12	21	2	0	8	6	21	17	3	7	110.96	1		2.731464
12	22	2	0	8	19	21	17	3	7	110.96	1		2.731464
23	43	1	0	30	12	0	10	7	4	245.01	0		18.421572
39	70	2	0	8	22	21	17	3	7	110.96	1		2.731464
56	108	2	0	17	3	7	17	3	7	110.96	1		2.731464
56	109	2	0	17	3	14	17	3	7	110.96	1		2.731464
52	99	1	0	30	12	4	10	7	4	245.01	0		18.421572
52	100	3	0	25	0	0	8	3	8	82.75	0		24.770523
55	105	1	0	30	12	8	10	7	4	245.01	0		18.421572
55	106	1	0	30	12	12	10	7	4	245.01	0		18.421572
55	107	1	0	26	12	16	10	7	4	245.01	0		18.421572
24	46	3	0	25	6	0	8	3	8	82.75	0		24.770523
24	44	2	0	17	3	21	17	3	7	110.96	1		2.731464
