Name:				310_n020_m400_bt10_6925
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		265.79
Calculation_Time:		20.16
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		5
No_of_Items:			101
Customer_Sequence:		4 3 5 11 1 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
1	3	3	0	0	0	0	16	7	6	107.41	0		8.055076
1	4	3	0	0	7	0	16	7	6	107.41	0		8.055076
1	5	3	0	0	14	0	16	7	6	107.41	0		8.055076
1	2	2	0	0	0	6	10	5	8	66.50	0		6.560611
1	10	7	0	0	21	0	14	4	7	65.17	0		5.835611
1	9	6	0	0	5	6	13	5	6	83.33	0		4.126139
1	15	9	0	0	10	6	9	5	4	41.03	0		10.336386
1	16	9	0	0	15	6	9	5	4	41.03	0		10.336386
1	17	9	0	0	10	10	9	5	4	41.03	0		10.336386
1	7	5	0	0	15	10	6	5	5	24.76	0		4.175824
1	8	5	0	0	5	12	6	5	5	24.76	0		4.175824
1	11	8	0	9	10	6	7	6	3	20.40	0		15.571704
1	12	8	0	9	10	9	7	6	3	20.40	0		15.571704
1	13	8	0	9	10	12	7	6	3	20.40	0		15.571704
1	14	8	0	9	10	15	7	6	3	20.40	0		15.571704
1	1	1	0	0	21	7	15	4	7	52.78	1		1.648576
1	6	4	0	0	0	14	6	2	7	17.23	1		1.545034
11	206	3	0	16	0	0	16	7	6	107.41	0		8.055076
11	207	3	0	16	7	0	16	7	6	107.41	0		8.055076
11	208	3	0	16	14	0	16	7	6	107.41	0		8.055076
11	209	3	0	16	0	6	16	7	6	107.41	0		8.055076
11	210	3	0	16	7	6	16	7	6	107.41	0		8.055076
11	204	2	0	9	16	6	10	5	8	66.50	0		6.560611
11	205	2	0	9	16	14	10	5	8	66.50	0		6.560611
11	219	7	0	6	5	12	14	4	7	65.17	0		5.835611
11	220	7	0	6	5	19	14	4	7	65.17	0		5.835611
11	221	7	0	16	21	0	14	4	7	65.17	0		5.835611
11	216	6	0	9	16	22	13	5	6	83.33	0		4.126139
11	217	6	0	16	0	12	13	5	6	83.33	0		4.126139
11	222	8	0	9	10	18	7	6	3	20.40	0		15.571704
11	223	9	0	6	5	26	9	5	4	41.03	0		10.336386
11	224	9	0	9	10	21	9	5	4	41.03	0		10.336386
11	225	9	0	9	10	25	9	5	4	41.03	0		10.336386
11	226	9	0	16	10	12	9	5	4	41.03	0		10.336386
11	215	5	0	0	5	17	6	5	5	24.76	0		4.175824
11	214	5	0	0	5	22	6	5	5	24.76	0		4.175824
11	213	5	0	10	0	6	6	5	5	24.76	0		4.175824
11	218	6	0	16	0	18	13	5	6	83.33	0		4.126139
11	203	1	0	0	21	14	15	4	7	52.78	1		1.648576
11	212	4	0	0	2	14	6	2	7	17.23	1		1.545034
11	211	4	0	0	0	21	6	2	7	17.23	1		1.545034
5	77	3	0	32	0	0	16	7	6	107.41	0		8.055076
5	78	3	0	32	7	0	16	7	6	107.41	0		8.055076
5	79	3	0	32	14	0	16	7	6	107.41	0		8.055076
5	89	7	0	15	21	7	14	4	7	65.17	0		5.835611
5	91	7	0	15	21	14	14	4	7	65.17	0		5.835611
5	90	7	0	15	21	21	14	4	7	65.17	0		5.835611
5	88	7	0	20	5	12	14	4	7	65.17	0		5.835611
5	84	6	0	16	0	24	13	5	6	83.33	0		4.126139
5	85	6	0	20	5	19	13	5	6	83.33	0		4.126139
5	86	6	0	32	0	6	13	5	6	83.33	0		4.126139
5	87	6	0	29	0	12	13	5	6	83.33	0		4.126139
5	101	9	0	20	5	25	9	5	4	41.03	0		10.336386
5	100	9	0	29	0	18	9	5	4	41.03	0		10.336386
5	82	5	0	25	10	12	6	5	5	24.76	0		4.175824
5	83	5	0	25	10	17	6	5	5	24.76	0		4.175824
5	92	8	0	32	5	6	7	6	3	20.40	0		15.571704
5	93	8	0	32	11	6	7	6	3	20.40	0		15.571704
5	94	8	0	32	5	9	7	6	3	20.40	0		15.571704
5	95	8	0	32	11	9	7	6	3	20.40	0		15.571704
5	96	8	0	31	10	12	7	6	3	20.40	0		15.571704
5	97	8	0	31	10	15	7	6	3	20.40	0		15.571704
5	98	8	0	31	10	18	7	6	3	20.40	0		15.571704
5	99	8	0	31	10	21	7	6	3	20.40	0		15.571704
5	76	1	0	0	21	21	15	4	7	52.78	1		1.648576
5	81	4	0	25	10	22	6	2	7	17.23	1		1.545034
5	80	4	0	25	12	22	6	2	7	17.23	1		1.545034
3	43	3	1	39	5	6	16	7	6	107.41	0		8.055076
3	42	2	0	29	0	22	10	5	8	66.50	0		6.560611
3	54	7	0	30	21	0	14	4	7	65.17	0		5.835611
3	53	7	0	29	21	7	14	4	7	65.17	0		5.835611
3	52	6	0	34	5	12	13	5	6	83.33	0		4.126139
3	51	6	0	34	5	18	13	5	6	83.33	0		4.126139
3	58	10	0	29	21	14	13	4	7	145.06	0		13.239944
3	57	10	0	29	21	21	13	4	7	145.06	0		13.239944
3	56	10	0	44	21	0	13	4	7	145.06	0		13.239944
3	55	10	0	43	21	7	13	4	7	145.06	0		13.239944
3	50	5	0	31	10	24	6	5	5	24.76	0		4.175824
3	49	5	0	34	5	24	6	5	5	24.76	0		4.175824
3	48	5	0	38	10	12	6	5	5	24.76	0		4.175824
3	47	4	0	32	17	6	6	2	7	17.23	1		1.545034
3	46	4	0	32	19	6	6	2	7	17.23	1		1.545034
3	45	4	0	32	17	13	6	2	7	17.23	1		1.545034
3	44	4	0	32	19	13	6	2	7	17.23	1		1.545034
4	64	3	1	48	0	0	16	7	6	107.41	0		8.055076
4	65	3	1	48	0	6	16	7	6	107.41	0		8.055076
4	61	2	0	44	10	12	10	5	8	66.50	0		6.560611
4	62	2	0	44	10	20	10	5	8	66.50	0		6.560611
4	63	2	0	48	16	0	10	5	8	66.50	0		6.560611
4	70	7	0	42	21	14	14	4	7	65.17	0		5.835611
4	68	7	0	42	21	21	14	4	7	65.17	0		5.835611
4	69	7	1	55	0	0	14	4	7	65.17	0		5.835611
4	67	6	0	42	0	12	13	5	6	83.33	0		4.126139
4	75	10	0	42	0	18	13	4	7	145.06	0		13.239944
4	74	10	1	55	0	7	13	4	7	145.06	0		13.239944
4	72	9	0	38	15	12	9	5	4	41.03	0		10.336386
4	73	9	0	38	15	16	9	5	4	41.03	0		10.336386
4	66	5	0	38	10	17	6	5	5	24.76	0		4.175824
4	71	8	0	38	15	20	7	6	3	20.40	0		15.571704
4	60	1	1	55	0	14	15	4	7	52.78	1		1.648576
4	59	1	1	55	0	21	15	4	7	52.78	1		1.648576


