Name:				139_n060_m200_bt3_888
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1046.21
Calculation_Time:		296.84
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		28
No_of_Items:			100
Customer_Sequence:		26 22 4 21 10 32 6 7 30 14 11 27 31 3 29 19 15 20 16 2 13 24 23 5 1 8 28 12 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
12	38	3	0	0	0	0	14	5	8	457.16	0		114.202121
12	39	3	0	0	5	0	14	5	8	457.16	0		114.202121
12	40	3	0	0	10	0	14	5	8	457.16	0		114.202121
12	36	1	0	0	15	0	6	5	6	88.01	0		5.931288
12	37	1	0	0	20	0	6	5	6	88.01	0		5.931288
28	94	3	0	0	0	8	14	5	8	457.16	0		114.202121
28	91	1	0	0	15	6	6	5	6	88.01	0		5.931288
28	92	2	0	0	5	8	10	5	5	136.27	1		9.464272
28	93	2	0	0	10	8	10	5	5	136.27	1		9.464272
16	54	3	0	0	0	16	14	5	8	457.16	0		114.202121
8	23	1	0	0	20	6	6	5	6	88.01	0		5.931288
8	27	3	0	6	15	0	14	5	8	457.16	0		114.202121
8	24	2	1	0	15	12	10	5	5	136.27	1		9.464272
8	26	3	0	6	20	0	14	5	8	457.16	0		114.202121
1	1	2	0	0	5	13	10	5	5	136.27	1		9.464272
1	2	2	0	0	10	13	10	5	5	136.27	1		9.464272
1	3	2	1	0	15	17	10	5	5	136.27	1		9.464272
1	4	2	0	0	5	18	10	5	5	136.27	1		9.464272
5	14	3	0	6	15	8	14	5	8	457.16	0		114.202121
5	15	3	0	6	20	8	14	5	8	457.16	0		114.202121
5	13	1	0	6	15	16	6	5	6	88.01	0		5.931288
23	73	1	0	6	20	16	6	5	6	88.01	0		5.931288
23	74	1	0	6	15	22	6	5	6	88.01	0		5.931288
23	75	2	0	0	10	18	10	5	5	136.27	1		9.464272
24	77	3	0	14	0	0	14	5	8	457.16	0		114.202121
24	78	3	0	14	5	0	14	5	8	457.16	0		114.202121
24	76	2	0	0	5	23	10	5	5	136.27	1		9.464272
13	41	1	0	6	20	22	6	5	6	88.01	0		5.931288
15	49	3	0	10	5	8	14	5	8	457.16	0		114.202121
13	43	1	0	12	15	16	6	5	6	88.01	0		5.931288
13	44	1	0	12	20	16	6	5	6	88.01	0		5.931288
13	45	2	0	0	10	23	10	5	5	136.27	1		9.464272
2	7	3	0	14	10	0	14	5	8	457.16	0		114.202121
2	8	3	0	10	10	8	14	5	8	457.16	0		114.202121
2	5	2	0	10	10	16	10	5	5	136.27	1		9.464272
2	6	2	0	10	10	21	10	5	5	136.27	1		9.464272
8	25	2	0	20	15	0	10	5	5	136.27	1		9.464272
16	52	1	0	0	0	24	6	5	6	88.01	0		5.931288
16	53	1	0	6	0	24	6	5	6	88.01	0		5.931288
20	65	3	0	14	0	8	14	5	8	457.16	0		114.202121
20	62	1	0	12	15	22	6	5	6	88.01	0		5.931288
20	63	1	0	12	20	22	6	5	6	88.01	0		5.931288
20	64	2	0	14	0	16	10	5	5	136.27	1		9.464272
13	42	1	0	20	20	0	6	5	6	88.01	0		5.931288
15	50	3	0	10	5	16	14	5	8	457.16	0		114.202121
15	51	3	0	26	20	0	14	5	8	457.16	0		114.202121
15	48	1	0	10	5	24	6	5	6	88.01	0		5.931288
30	101	3	0	26	20	8	14	5	8	457.16	0		114.202121
19	61	3	0	28	0	0	14	5	8	457.16	0		114.202121
29	96	3	0	28	5	0	14	5	8	457.16	0		114.202121
29	97	3	0	24	5	8	14	5	8	457.16	0		114.202121
31	102	2	0	14	0	21	10	5	5	136.27	1		9.464272
29	99	3	0	24	5	16	14	5	8	457.16	0		114.202121
29	95	1	0	16	5	24	6	5	6	88.01	0		5.931288
3	10	3	0	28	10	0	14	5	8	457.16	0		114.202121
3	9	2	0	20	15	5	10	5	5	136.27	1		9.464272
31	104	3	0	24	10	8	14	5	8	457.16	0		114.202121
29	98	3	0	28	0	8	14	5	8	457.16	0		114.202121
31	103	2	0	20	15	10	10	5	5	136.27	1		9.464272
27	90	3	0	20	10	16	14	5	8	457.16	0		114.202121
27	86	1	0	20	10	24	6	5	6	88.01	0		5.931288
27	87	1	0	22	5	24	6	5	6	88.01	0		5.931288
