Name:				006_n020_m200_bt10_510
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		256.98
Calculation_Time:		1.75
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		5
No_of_Items:			55
Customer_Sequence:		8 11 3 4 9 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
9	92	8	0	0	0	0	11	6	7	71.77	0		1.922265
9	93	8	0	0	6	0	11	6	7	71.77	0		1.922265
9	87	5	0	0	12	0	10	7	5	165.98	0		12.518781
9	95	10	0	0	19	0	12	3	8	111.41	0		21.374749
9	86	3	0	0	22	0	16	3	5	73.68	0		26.352504
9	84	2	0	0	12	5	8	5	5	51.83	0		7.257565
9	85	2	0	0	0	7	8	5	5	51.83	0		7.257565
9	88	6	0	0	22	5	15	2	4	42.97	0		25.234732
9	89	6	0	0	19	8	15	2	4	42.97	0		25.234732
9	94	9	0	0	5	7	12	7	6	245.06	1		3.416736
9	90	7	0	0	5	13	11	4	7	121.83	1		8.411719
9	91	7	0	0	9	13	11	4	7	121.83	1		8.411719
4	40	8	0	12	0	0	11	6	7	71.77	0		1.922265
4	41	8	0	12	6	0	11	6	7	71.77	0		1.922265
4	42	10	0	8	0	7	12	3	8	111.41	0		21.374749
4	43	10	0	8	0	15	12	3	8	111.41	0		21.374749
4	36	3	0	8	0	23	16	3	5	73.68	0		26.352504
4	38	6	0	0	22	9	15	2	4	42.97	0		25.234732
4	33	1	0	0	17	5	10	2	5	73.06	0		9.235474
4	34	1	0	0	13	10	10	2	5	73.06	0		9.235474
4	35	1	0	0	15	10	10	2	5	73.06	0		9.235474
4	37	4	0	0	0	12	6	5	3	48.54	0		34.772963
4	39	7	0	0	13	15	11	4	7	121.83	1		8.411719
3	29	5	0	11	12	0	10	7	5	165.98	0		12.518781
3	32	10	0	11	12	5	12	3	8	111.41	0		21.374749
3	26	3	0	11	12	13	16	3	5	73.68	0		26.352504
3	24	2	0	12	5	7	8	5	5	51.83	0		7.257565
3	25	2	0	12	5	12	8	5	5	51.83	0		7.257565
3	30	6	0	0	19	12	15	2	4	42.97	0		25.234732
3	22	1	0	0	17	10	10	2	5	73.06	0		9.235474
3	23	1	0	0	22	13	10	2	5	73.06	0		9.235474
3	27	4	0	12	5	17	6	5	3	48.54	0		34.772963
3	28	4	0	12	5	20	6	5	3	48.54	0		34.772963
3	31	7	0	0	5	20	11	4	7	121.83	1		8.411719
11	113	8	0	23	3	0	11	6	7	71.77	0		1.922265
11	114	8	0	20	3	7	11	6	7	71.77	0		1.922265
11	115	8	0	20	3	14	11	6	7	71.77	0		1.922265
11	110	5	0	20	3	21	10	7	5	165.98	0		12.518781
11	111	5	0	34	0	0	10	7	5	165.98	0		12.518781
11	108	3	0	11	12	18	16	3	5	73.68	0		26.352504
11	107	2	0	12	5	23	8	5	5	51.83	0		7.257565
11	109	4	0	20	3	26	6	5	3	48.54	0		34.772963
11	116	9	0	27	10	0	12	7	6	245.06	1		3.416736
11	112	7	0	0	13	22	11	4	7	121.83	1		8.411719
8	82	8	0	21	17	0	11	6	7	71.77	0		1.922265
8	83	10	0	21	17	7	12	3	8	111.41	0		21.374749
8	78	6	0	0	19	16	15	2	4	42.97	0		25.234732
8	79	6	0	0	19	20	15	2	4	42.97	0		25.234732
8	80	6	0	0	19	24	15	2	4	42.97	0		25.234732
8	73	1	0	0	17	15	10	2	5	73.06	0		9.235474
8	74	1	0	0	22	18	10	2	5	73.06	0		9.235474
8	75	1	0	0	17	20	10	2	5	73.06	0		9.235474
8	76	4	1	26	3	26	6	5	3	48.54	0		34.772963
8	77	4	0	32	17	0	6	5	3	48.54	0		34.772963
8	81	7	0	11	12	23	11	4	7	121.83	1		8.411719


