Name:				007_n020_m200_bt10_592
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		149.41
Calculation_Time:		0.45
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		3
No_of_Items:			37
Customer_Sequence:		7 17 14 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
14	137	7	0	0	0	0	16	6	8	104.26	0		5.795266
14	135	6	0	0	6	0	16	5	8	83.88	0		1.994467
14	136	6	0	0	11	0	16	5	8	83.88	0		1.994467
14	133	4	0	0	16	0	12	6	8	248.82	0		44.782376
14	138	8	0	0	0	8	14	5	8	193.52	0		9.067769
14	139	8	0	0	5	8	14	5	8	193.52	0		9.067769
14	140	8	0	0	10	8	14	5	8	193.52	0		9.067769
14	141	8	0	0	15	8	14	5	8	193.52	0		9.067769
14	143	10	0	0	0	16	17	5	5	56.96	0		5.406398
14	144	10	0	0	5	16	17	5	5	56.96	0		5.406398
14	134	5	0	0	22	0	10	3	5	63.83	0		18.846743
14	142	9	0	0	22	5	8	2	7	44.60	0		13.818678
14	130	1	0	0	10	16	10	3	4	62.06	1		6.858617
14	131	3	0	0	20	8	7	2	4	12.33	1		2.145841
14	132	3	0	0	20	12	7	2	4	12.33	1		2.145841
17	165	4	0	0	13	16	12	6	8	248.82	0		44.782376
17	166	4	0	0	0	21	12	6	8	248.82	0		44.782376
17	168	8	0	0	6	21	14	5	8	193.52	0		9.067769
17	170	10	0	16	11	0	17	5	5	56.96	0		5.406398
17	167	5	0	0	13	24	10	3	5	63.83	0		18.846743
17	159	2	0	0	16	24	6	4	5	84.15	0		26.858839
17	160	2	0	6	16	24	6	4	5	84.15	0		26.858839
17	169	9	0	0	22	12	8	2	7	44.60	0		13.818678
17	161	3	0	0	19	16	7	2	4	12.33	1		2.145841
17	162	3	0	0	22	19	7	2	4	12.33	1		2.145841
17	163	3	0	0	11	20	7	2	4	12.33	1		2.145841
17	164	3	0	0	22	23	7	2	4	12.33	1		2.145841
7	66	7	0	14	16	0	16	6	8	104.26	0		5.795266
7	65	6	0	14	15	8	16	5	8	83.88	0		1.994467
7	62	4	0	14	15	16	12	6	8	248.82	0		44.782376
7	63	4	0	17	0	0	12	6	8	248.82	0		44.782376
7	64	4	0	17	0	8	12	6	8	248.82	0		44.782376
7	67	8	0	16	10	5	14	5	8	193.52	0		9.067769
7	68	8	0	14	10	13	14	5	8	193.52	0		9.067769
7	60	2	0	12	0	21	6	4	5	84.15	0		26.858839
7	59	1	0	10	22	0	10	3	4	62.06	1		6.858617
7	61	3	0	0	11	24	7	2	4	12.33	1		2.145841


