Name:				102_Manual_n200_m300_bt10_2
Problem:			3L-VRPTW
Number_of_used_Vehicles:	6
Total_Travel_Distance:		171.006
Total_Unloading_Effort:		42.162
Total_Travel_Time:		1229.15
Calculation_Time:			3600
Total_Iterations:		34
ConstraintSet:			P22

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		37
No_of_Items:			53
Customer_Sequence:		182 64 92 75 67 100 187 37 88 191 57 126 141 96 185 188 129 117 47 178 142 110 143 172 13 11 113 107 27 85 122 111 40 8 4 20 80 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
80	121	2	0	0	0	0	34	26	21	1.56	0		0.008800
20	33	7	0	0	26	0	39	45	32	1.86	0		0.005300
4	8	6	0	0	71	0	21	47	33	2.89	0		0.014600
8	13	7	0	0	118	0	39	45	32	1.86	0		0.005300
8	14	9	0	0	0	21	36	21	32	1.62	0		0.010700
40	64	5	0	0	26	32	41	43	55	2.00	0		0.005700
111	164	3	0	41	0	0	116	60	60	20.64	0		0.014800
122	184	5	0	0	118	32	41	43	55	2.00	0		0.005700
85	127	1	0	0	26	87	26	50	30	2.18	0		0.008400
85	128	4	0	0	118	87	53	44	38	4.79	1		0.002100
27	45	3	0	41	0	60	116	60	60	20.64	0		0.014800
107	160	7	0	41	60	0	39	45	32	1.86	0		0.005300
113	167	10	0	41	0	120	104	60	60	20.56	0		0.016500
113	166	9	1	0	76	33	36	21	32	1.62	0		0.010700
11	17	4	0	0	118	125	53	44	38	4.79	1		0.002100
13	20	6	0	41	60	32	21	47	33	2.89	0		0.014600
13	21	9	1	0	76	65	36	21	32	1.62	0		0.010700
172	259	10	0	80	60	0	104	60	60	20.56	0		0.016500
172	258	9	1	0	76	97	36	21	32	1.62	0		0.010700
143	214	3	0	62	60	60	116	60	60	20.64	0		0.014800
110	163	1	0	53	120	0	26	50	30	2.18	0		0.008400
142	213	8	0	53	60	120	51	56	34	2.66	0		0.004700
142	212	6	0	53	120	30	21	47	33	2.89	0		0.014600
142	210	2	1	0	76	129	34	26	21	1.56	0		0.008800
142	211	4	0	79	120	0	53	44	38	4.79	1		0.002100
178	268	6	0	53	120	63	21	47	33	2.89	0		0.014600
47	73	9	1	53	120	96	36	21	32	1.62	0		0.010700
47	72	4	0	74	120	38	53	44	38	4.79	1		0.002100
117	175	3	0	157	0	0	116	60	60	20.64	0		0.014800
117	176	8	0	53	60	154	51	56	34	2.66	0		0.004700
129	193	8	0	104	60	120	51	56	34	2.66	0		0.004700
188	281	7	0	104	60	154	39	45	32	1.86	0		0.005300
188	280	6	0	53	116	128	21	47	33	2.89	0		0.014600
185	277	10	0	157	0	60	104	60	60	20.56	0		0.016500
185	276	1	0	132	120	0	26	50	30	2.18	0		0.008400
96	145	8	0	145	0	120	51	56	34	2.66	0		0.004700
141	209	10	0	184	60	0	104	60	60	20.56	0		0.016500
141	208	8	0	145	0	154	51	56	34	2.66	0		0.004700
126	189	4	0	74	120	76	53	44	38	4.79	1		0.002100
57	87	5	0	158	120	0	41	43	55	2.00	0		0.005700
57	86	1	0	132	120	30	26	50	30	2.18	0		0.008400
191	284	4	0	74	120	114	53	44	38	4.79	1		0.002100
88	131	4	0	74	116	152	53	44	38	4.79	1		0.002100
88	132	4	0	158	120	55	53	44	38	4.79	1		0.002100
37	60	7	0	178	60	60	39	45	32	1.86	0		0.005300
187	279	9	1	155	60	120	36	21	32	1.62	0		0.010700
100	150	5	0	178	60	92	41	43	55	2.00	0		0.005700
67	103	2	1	155	60	152	34	26	21	1.56	0		0.008800
75	115	8	0	196	0	120	51	56	34	2.66	0		0.004700
92	139	1	0	181	56	147	26	50	30	2.18	0		0.008400
92	140	2	0	196	0	154	34	26	21	1.56	0		0.008800
64	100	6	1	196	26	154	21	47	33	2.89	0		0.014600
182	273	1	0	211	120	0	26	50	30	2.18	0		0.008400


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		38
No_of_Items:			64
Customer_Sequence:		19 55 176 196 51 179 32 61 125 189 45 87 140 2 116 86 145 56 124 149 168 130 89 106 59 71 200 164 17 6 181 190 16 101 146 10 83 193 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
193	289	10	0	0	0	0	104	60	60	20.56	0		0.016500
193	288	8	0	0	60	0	51	56	34	2.66	0		0.004700
193	287	2	0	0	116	0	34	26	21	1.56	0		0.008800
83	124	7	0	0	60	34	39	45	32	1.86	0		0.005300
10	16	1	1	0	142	0	26	50	30	2.18	0		0.008400
