Name:				114_Manual_n200_m400_bt10_4
Problem:			3L-VRPTW
Number_of_used_Vehicles:	6
Total_Travel_Distance:		161.021
Total_Unloading_Effort:		50.97
Total_Travel_Time:		1234.48
Calculation_Time:			3600
Total_Iterations:		23
ConstraintSet:			P22

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		31
No_of_Items:			65
Customer_Sequence:		155 134 82 114 45 76 162 113 1 37 181 55 51 68 170 81 119 64 102 175 63 133 166 135 118 171 111 32 121 26 125 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
125	256	10	0	0	0	0	42	42	37	3.90	0		0.011000
125	254	4	0	0	42	0	40	27	40	4.69	0		0.021700
125	255	9	0	0	69	0	26	37	26	1.61	1		0.001700
26	55	3	0	0	106	0	109	60	60	7.22	0		0.005500
26	56	9	0	0	69	26	26	37	26	1.61	1		0.001700
26	57	9	0	0	0	37	26	37	26	1.61	1		0.001700
121	245	2	0	0	106	60	34	46	57	1.22	0		0.003900
121	246	4	0	0	42	40	40	27	40	4.69	0		0.021700
121	247	9	0	0	69	52	26	37	26	1.61	1		0.001700
32	66	9	0	0	0	63	26	37	26	1.61	1		0.001700
111	218	3	0	40	42	0	109	60	60	7.22	0		0.005500
111	220	7	0	0	106	117	25	59	36	1.89	0		0.006400
111	219	4	0	0	42	80	40	27	40	4.69	0		0.021700
171	340	4	0	0	42	120	40	27	40	4.69	0		0.021700
118	238	10	0	34	106	60	42	42	37	3.90	0		0.011000
118	237	1	0	0	106	153	21	48	25	2.80	0		0.013900
135	276	3	0	40	42	60	109	60	60	7.22	0		0.005500
135	277	3	0	40	42	120	109	60	60	7.22	0		0.005500
135	278	6	0	34	102	97	35	47	42	2.23	0		0.006800
166	331	6	0	34	102	139	35	47	42	2.23	0		0.006800
166	332	10	0	42	0	0	42	42	37	3.90	0		0.011000
133	271	7	1	26	0	37	25	59	36	1.89	0		0.006400
63	129	2	0	76	106	60	34	46	57	1.22	0		0.003900
175	345	10	0	76	106	117	42	42	37	3.90	0		0.011000
102	200	1	1	26	0	73	21	48	25	2.80	0		0.013900
102	201	9	0	0	0	89	26	37	26	1.61	1		0.001700
64	131	3	0	118	102	0	109	60	60	7.22	0		0.005500
64	130	2	1	85	0	0	34	46	57	1.22	0		0.003900
64	132	5	0	26	0	98	48	22	20	4.05	0		0.019200
64	133	5	0	26	0	118	48	22	20	4.05	0		0.019200
119	239	6	1	85	0	57	35	47	42	2.23	0		0.006800
81	166	10	0	85	0	99	42	42	37	3.90	0		0.011000
81	165	1	1	26	0	138	21	48	25	2.80	0		0.013900
170	339	6	1	74	0	136	35	47	42	2.23	0		0.006800
68	138	10	0	118	102	60	42	42	37	3.90	0		0.011000
68	137	4	0	118	102	97	40	27	40	4.69	0		0.021700
51	100	10	0	132	0	0	42	42	37	3.90	0		0.011000
55	112	6	1	132	0	37	35	47	42	2.23	0		0.006800
55	113	7	1	132	0	79	25	59	36	1.89	0		0.006400
55	111	5	0	76	106	154	48	22	20	4.05	0		0.019200
55	114	8	0	149	42	0	52	42	45	3.21	1		0.001500
181	356	6	0	160	102	60	35	47	42	2.23	0		0.006800
37	77	7	1	127	0	115	25	59	36	1.89	0		0.006400
1	1	2	0	160	102	102	34	46	57	1.22	0		0.003900
