Name:				15_Manual_n50_m200_bt10_5
Problem:			3L-VRPTW
Number_of_used_Vehicles:	3
Total_Travel_Distance:		78.5897
Total_Unloading_Effort:		26.724
Total_Travel_Time:		370.409
Calculation_Time:			3600
Total_Iterations:		581
ConstraintSet:			P22

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		19
No_of_Items:			74
Customer_Sequence:		43 33 28 38 24 19 37 1 12 42 48 44 27 20 2 21 10 7 14 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
14	50	1	0	0	0	0	97	60	60	14.59	0		0.012500
14	54	7	0	0	60	0	44	29	32	4.04	0		0.015800
14	51	2	0	0	89	0	22	53	23	3.69	0		0.015800
14	53	6	0	0	142	0	22	22	21	3.49	0		0.036100
14	52	3	1	0	89	23	52	27	32	3.46	1		0.002500
7	23	8	0	0	0	60	99	60	60	2.19	0		0.001800
7	22	6	0	0	142	21	22	22	21	3.49	0		0.036100
7	21	3	0	0	60	32	52	27	32	3.46	1		0.002500
10	36	7	0	0	0	120	44	29	32	4.04	0		0.015800
10	31	2	1	0	29	120	22	53	23	3.69	0		0.015800
10	32	2	1	0	29	143	22	53	23	3.69	0		0.015800
10	35	6	0	0	141	42	22	22	21	3.49	0		0.036100
10	33	3	1	0	89	55	52	27	32	3.46	1		0.002500
10	34	3	0	0	60	64	52	27	32	3.46	1		0.002500
21	80	4	0	27	89	0	53	60	43	4.71	0		0.007400
21	81	4	0	27	87	43	53	60	43	4.71	0		0.007400
21	83	9	1	22	149	0	24	58	59	2.43	0		0.008700
21	82	5	0	27	87	86	42	34	31	3.13	0		0.011000
21	79	2	1	0	0	152	22	53	23	3.69	0		0.015800
2	3	2	1	0	29	166	22	53	23	3.69	0		0.015800
20	78	7	0	27	121	86	44	29	32	4.04	0		0.015800
20	75	2	1	22	147	59	22	53	23	3.69	0		0.015800
20	77	6	0	27	87	117	22	22	21	3.49	0		0.036100
20	76	3	0	0	60	96	52	27	32	3.46	1		0.002500
27	114	8	0	80	60	0	99	60	60	2.19	0		0.001800
27	113	1	0	80	60	60	97	60	60	14.59	0		0.012500
44	170	4	0	53	0	120	53	60	43	4.71	0		0.007400
44	171	9	1	27	121	118	24	58	59	2.43	0		0.008700
48	188	7	0	80	60	120	44	29	32	4.04	0		0.015800
48	189	7	0	80	89	120	44	29	32	4.04	0		0.015800
48	190	10	0	80	149	0	47	20	30	4.37	0		0.023300
48	187	6	0	27	87	138	22	22	21	3.49	0		0.036100
42	166	8	0	106	0	0	99	60	60	2.19	0		0.001800
42	167	8	0	106	0	60	99	60	60	2.19	0		0.001800
12	40	8	0	106	0	120	99	60	60	2.19	0		0.001800
12	41	8	0	179	60	0	99	60	60	2.19	0		0.001800
12	42	9	1	85	120	0	24	58	59	2.43	0		0.008700
12	39	2	0	53	0	163	22	53	23	3.69	0		0.015800
1	1	6	0	27	87	159	22	22	21	3.49	0		0.036100
1	2	6	0	80	145	30	22	22	21	3.49	0		0.036100
37	149	8	0	177	60	60	99	60	60	2.19	0		0.001800
37	147	1	0	124	60	120	97	60	60	14.59	0		0.012500
37	150	9	1	85	120	59	24	58	59	2.43	0		0.008700
37	148	3	1	80	60	152	52	27	32	3.46	1		0.002500
19	71	1	0	205	0	0	97	60	60	14.59	0		0.012500
19	74	9	1	85	120	118	24	58	59	2.43	0		0.008700
19	72	2	1	127	149	0	22	53	23	3.69	0		0.015800
19	73	6	0	80	145	51	22	22	21	3.49	0		0.036100
24	101	8	0	205	0	60	99	60	60	2.19	0		0.001800
24	93	1	0	205	0	120	97	60	60	14.59	0		0.012500
24	102	9	1	127	149	23	24	58	59	2.43	0		0.008700
24	103	9	1	127	149	82	24	58	59	2.43	0		0.008700
24	104	9	1	143	120	0	24	58	59	2.43	0		0.008700
24	97	5	0	201	120	0	42	34	31	3.13	0		0.011000
24	100	7	0	143	120	59	44	29	32	4.04	0		0.015800
24	94	2	1	127	149	141	22	53	23	3.69	0		0.015800
24	95	2	1	127	149	164	22	53	23	3.69	0		0.015800
24	96	2	1	143	120	91	22	53	23	3.69	0		0.015800
24	98	6	0	80	145	72	22	22	21	3.49	0		0.036100
24	99	6	0	80	145	93	22	22	21	3.49	0		0.036100
38	153	4	0	221	60	120	53	60	43	4.71	0		0.007400
38	154	5	0	201	120	31	42	34	31	3.13	0		0.011000
38	156	10	0	143	120	114	47	20	30	4.37	0		0.023300
38	151	2	1	143	120	144	22	53	23	3.69	0		0.015800
38	152	2	1	143	120	167	22	53	23	3.69	0		0.015800
38	155	6	0	201	120	62	22	22	21	3.49	0		0.036100
28	115	4	1	243	120	0	53	60	43	4.71	0		0.007400
28	116	5	0	243	120	43	42	34	31	3.13	0		0.011000
28	117	10	0	185	154	0	47	20	30	4.37	0		0.023300
33	135	9	0	278	60	0	24	58	59	2.43	0		0.008700
33	134	7	0	243	120	74	44	29	32	4.04	0		0.015800
33	133	2	0	221	60	163	22	53	23	3.69	0		0.015800
43	169	7	0	243	120	106	44	29	32	4.04	0		0.015800
43	168	2	1	243	120	138	22	53	23	3.69	0		0.015800


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		12
No_of_Items:			56
Customer_Sequence:		3 5 8 36 50 16 47 35 29 39 46 25 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
25	105	1	0	0	0	0	97	60	60	14.59	0		0.012500
25	106	4	0	0	60	0	53	60	43	4.71	0		0.007400
25	107	7	0	0	120	0	44	29	32	4.04	0		0.015800
25	108	10	0	0	149	0	47	20	30	4.37	0		0.023300
46	179	8	0	0	0	60	99	60	60	2.19	0		0.001800
46	175	1	0	0	0	120	97	60	60	14.59	0		0.012500
46	178	4	0	0	60	43	53	60	43	4.71	0		0.007400
46	176	3	0	0	120	32	52	27	32	3.46	1		0.002500
46	177	3	0	0	120	64	52	27	32	3.46	1		0.002500
39	157	1	0	53	60	0	97	60	60	14.59	0		0.012500
39	158	1	0	53	60	60	97	60	60	14.59	0		0.012500
39	160	4	0	0	60	86	53	60	43	4.71	0		0.007400
39	163	10	0	0	149	30	47	20	30	4.37	0		0.023300
39	161	6	0	0	147	60	22	22	21	3.49	0		0.036100
39	162	6	0	0	147	81	22	22	21	3.49	0		0.036100
39	159	3	0	0	120	96	52	27	32	3.46	1		0.002500
29	122	8	0	53	60	120	99	60	60	2.19	0		0.001800
29	118	4	0	0	60	129	53	60	43	4.71	0		0.007400
29	121	7	0	52	120	0	44	29	32	4.04	0		0.015800
29	123	10	0	47	149	0	47	20	30	4.37	0		0.023300
29	119	6	0	0	147	102	22	22	21	3.49	0		0.036100
29	120	6	0	0	147	123	22	22	21	3.49	0		0.036100
35	142	8	0	99	0	0	99	60	60	2.19	0		0.001800
35	140	1	0	99	0	60	97	60	60	14.59	0		0.012500
35	141	7	0	52	120	32	44	29	32	4.04	0		0.015800
47	183	9	1	52	120	64	24	58	59	2.43	0		0.008700
47	184	9	1	52	120	123	24	58	59	2.43	0		0.008700
47	181	5	0	96	120	0	42	34	31	3.13	0		0.011000
47	182	5	0	96	120	31	42	34	31	3.13	0		0.011000
47	185	10	0	47	149	30	47	20	30	4.37	0		0.023300
47	186	10	0	22	149	60	47	20	30	4.37	0		0.023300
47	180	2	1	22	147	90	22	53	23	3.69	0		0.015800
16	65	8	0	97	0	120	99	60	60	2.19	0		0.001800
16	62	2	1	22	147	113	22	53	23	3.69	0		0.015800
