Name:				21_Manual_n50_m300_bt10_1
Problem:			3L-VRPTW
Number_of_used_Vehicles:	4
Total_Travel_Distance:		102.285
Total_Unloading_Effort:		37.95
Total_Travel_Time:		411.544
Calculation_Time:			3600
Total_Iterations:		117
ConstraintSet:			P22

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		12
No_of_Items:			76
Customer_Sequence:		1 5 7 45 47 26 21 31 42 50 13 39 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
39	211	1	0	0	0	0	57	31	42	2.45	0		0.006900
39	214	5	0	0	31	0	31	45	52	4.08	0		0.014600
39	212	4	0	0	76	0	20	39	51	4.16	0		0.026600
39	213	4	0	0	115	0	20	39	51	4.16	0		0.026600
39	215	7	0	0	0	42	37	31	25	2.68	0		0.011700
39	216	9	0	20	76	0	60	45	51	2.94	1		0.001100
13	57	8	0	20	121	0	49	47	31	4.57	0		0.009900
13	58	8	0	20	121	31	49	47	31	4.57	0		0.009900
13	59	8	0	20	121	62	49	47	31	4.57	0		0.009900
13	60	8	0	20	121	93	49	47	31	4.57	0		0.009900
13	55	4	0	0	76	51	20	39	51	4.16	0		0.026600
13	56	7	0	0	31	52	37	31	25	2.68	0		0.011700
13	61	9	0	20	76	51	60	45	51	2.94	1		0.001100
50	297	3	0	20	121	124	55	48	55	3.29	0		0.006200
50	298	3	0	57	0	0	55	48	55	3.29	0		0.006200
50	296	2	0	37	48	0	51	22	27	1.66	0		0.007400
50	299	7	0	0	0	67	37	31	25	2.68	0		0.011700
50	300	9	0	0	76	102	60	45	51	2.94	1		0.001100
42	239	3	0	57	0	55	55	48	55	3.29	0		0.006200
42	237	1	0	57	0	110	57	31	42	2.45	0		0.006900
42	241	10	0	0	31	77	40	30	57	2.99	0		0.012500
42	242	10	0	0	0	92	40	30	57	2.99	0		0.012500
42	238	2	0	0	31	134	51	22	27	1.66	0		0.007400
42	240	7	0	0	0	149	37	31	25	2.68	0		0.011700
31	159	3	0	75	121	0	55	48	55	3.29	0		0.006200
31	160	3	0	75	121	55	55	48	55	3.29	0		0.006200
31	162	5	0	75	121	110	31	45	52	4.08	0		0.014600
31	164	10	0	80	76	0	40	30	57	2.99	0		0.012500
31	161	4	1	57	31	110	20	39	51	4.16	0		0.026600
31	163	9	0	114	0	0	60	45	51	2.94	1		0.001100
21	99	3	0	130	121	0	55	48	55	3.29	0		0.006200
21	102	8	0	130	121	55	49	47	31	4.57	0		0.009900
21	103	8	0	130	121	86	49	47	31	4.57	0		0.009900
21	100	4	0	80	76	57	20	39	51	4.16	0		0.026600
21	101	4	0	80	76	108	20	39	51	4.16	0		0.026600
21	98	2	0	0	31	161	51	22	27	1.66	0		0.007400
21	104	9	0	114	0	51	60	45	51	2.94	1		0.001100
26	131	8	0	130	121	117	49	47	31	4.57	0		0.009900
26	132	8	0	130	121	148	49	47	31	4.57	0		0.009900
26	133	8	0	174	0	0	49	47	31	4.57	0		0.009900
26	134	8	0	120	47	0	49	47	31	4.57	0		0.009900
