Name:				31_Manual_n50_m400_bt10_1
Problem:			3L-VRPTW
Number_of_used_Vehicles:	4
Total_Travel_Distance:		76.1483
Total_Unloading_Effort:		52.29
Total_Travel_Time:		415.655
Calculation_Time:			3600
Total_Iterations:		103
ConstraintSet:			P22

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		14
No_of_Items:			107
Customer_Sequence:		48 42 19 5 28 6 2 24 41 38 44 15 10 9 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
9	68	4	0	0	0	0	49	54	35	3.49	0		0.006600
9	69	4	0	0	54	0	49	54	35	3.49	0		0.006600
9	70	4	0	0	108	0	49	54	35	3.49	0		0.006600
9	71	4	0	0	0	35	49	54	35	3.49	0		0.006600
9	73	7	0	0	54	35	53	41	29	2.22	0		0.005100
9	74	7	0	0	95	35	53	41	29	2.22	0		0.005100
9	72	6	0	0	136	35	44	20	27	3.49	0		0.019800
10	78	8	0	0	54	64	29	27	56	4.40	0		0.028100
10	75	1	1	0	136	62	21	27	54	2.27	0		0.020100
10	76	1	0	0	81	64	21	27	54	2.27	0		0.020100
10	77	5	0	0	108	64	25	28	27	2.33	0		0.016600
15	113	2	1	0	0	70	27	60	49	4.30	0		0.013300
15	112	1	0	0	27	70	21	27	54	2.27	0		0.020100
15	117	6	0	0	0	119	44	20	27	3.49	0		0.019800
15	118	6	0	0	0	146	44	20	27	3.49	0		0.019800
15	115	5	0	0	108	91	25	28	27	2.33	0		0.016600
15	116	5	0	0	136	116	25	28	27	2.33	0		0.016600
15	114	3	0	0	81	118	21	29	31	1.95	0		0.016000
44	339	2	0	29	54	64	27	60	49	4.30	0		0.013300
44	341	7	0	56	27	0	53	41	29	2.22	0		0.005100
44	342	7	0	56	68	0	53	41	29	2.22	0		0.005100
44	343	8	0	0	54	120	29	27	56	4.40	0		0.028100
44	340	5	1	0	110	118	25	28	27	2.33	0		0.016600
38	295	7	0	56	109	0	53	41	29	2.22	0		0.005100
38	296	8	0	21	27	70	29	27	56	4.40	0		0.028100
38	289	1	0	0	27	124	21	27	54	2.27	0		0.020100
38	290	1	0	21	27	126	21	27	54	2.27	0		0.020100
38	293	5	0	0	136	143	25	28	27	2.33	0		0.016600
38	294	5	1	0	110	145	25	28	27	2.33	0		0.016600
38	291	3	0	0	81	149	21	29	31	1.95	0		0.016000
38	292	3	0	29	114	64	21	29	31	1.95	0		0.016000
38	297	9	0	29	114	95	22	28	29	4.23	0		0.034300
38	298	9	0	29	54	113	22	28	29	4.23	0		0.034300
38	299	9	0	28	82	113	22	28	29	4.23	0		0.034300
41	320	10	0	56	27	29	35	55	55	1.65	0		0.004300
41	313	2	0	56	82	29	27	60	49	4.30	0		0.013300
41	316	7	1	56	27	84	53	41	29	2.22	0		0.005100
41	317	7	0	51	27	113	53	41	29	2.22	0		0.005100
41	318	8	0	29	114	124	29	27	56	4.40	0		0.028100
41	319	8	0	56	82	78	29	27	56	4.40	0		0.028100
41	315	6	0	29	54	142	44	20	27	3.49	0		0.019800
41	314	5	0	28	82	142	25	28	27	2.33	0		0.016600
24	196	10	0	109	0	0	35	55	55	1.65	0		0.004300
24	189	2	0	85	82	29	27	60	49	4.30	0		0.013300
24	190	2	0	85	82	78	27	60	49	4.30	0		0.013300
24	187	1	0	44	0	119	21	27	54	2.27	0		0.020100
24	188	1	1	49	150	0	21	27	54	2.27	0		0.020100
24	192	5	0	56	82	134	25	28	27	2.33	0		0.016600
24	193	5	0	56	82	161	25	28	27	2.33	0		0.016600
24	191	3	1	49	150	54	21	29	31	1.95	0		0.016000
24	194	9	1	49	150	85	22	28	29	4.23	0		0.034300
24	195	9	1	49	150	114	22	28	29	4.23	0		0.034300
2	18	7	1	109	0	55	53	41	29	2.22	0		0.005100
2	19	7	0	109	0	84	53	41	29	2.22	0		0.005100
2	14	1	1	78	150	0	21	27	54	2.27	0		0.020100
2	15	1	1	78	150	54	21	27	54	2.27	0		0.020100
2	17	6	1	85	82	127	44	20	27	3.49	0		0.019800
2	16	3	1	49	150	143	21	29	31	1.95	0		0.016000
2	20	9	1	78	150	108	22	28	29	4.23	0		0.034300
6	52	10	1	104	0	113	35	55	55	1.65	0		0.004300
6	49	2	1	109	55	0	27	60	49	4.30	0		0.013300
6	50	7	0	162	0	0	53	41	29	2.22	0		0.005100
6	51	8	0	109	55	49	29	27	56	4.40	0		0.028100
6	48	1	1	85	126	127	21	27	54	2.27	0		0.020100
28	222	7	0	112	82	0	53	41	29	2.22	0		0.005100
28	219	1	1	106	150	0	21	27	54	2.27	0		0.020100
28	220	6	1	85	82	154	44	20	27	3.49	0		0.019800
28	221	6	0	112	123	0	44	20	27	3.49	0		0.019800
5	39	4	0	112	82	29	49	54	35	3.49	0		0.006600
5	40	4	0	112	82	64	49	54	35	3.49	0		0.006600
5	41	4	0	112	82	99	49	54	35	3.49	0		0.006600
5	34	2	0	112	82	134	27	60	49	4.30	0		0.013300
5	35	2	1	162	0	29	27	60	49	4.30	0		0.013300
5	36	2	1	162	0	78	27	60	49	4.30	0		0.013300
5	45	7	0	156	123	0	53	41	29	2.22	0		0.005100
5	46	7	0	165	82	0	53	41	29	2.22	0		0.005100
5	47	8	0	109	55	105	29	27	56	4.40	0		0.028100
5	32	1	1	106	150	54	21	27	54	2.27	0		0.020100
5	33	1	0	106	147	108	21	27	54	2.27	0		0.020100
5	44	6	1	139	82	134	44	20	27	3.49	0		0.019800
5	42	5	1	106	147	162	25	28	27	2.33	0		0.016600
5	43	5	1	109	55	161	25	28	27	2.33	0		0.016600
5	37	3	1	138	55	49	21	29	31	1.95	0		0.016000
5	38	3	1	138	53	80	21	29	31	1.95	0		0.016000
19	153	10	0	161	82	29	35	55	55	1.65	0		0.004300
19	150	4	1	209	123	0	49	54	35	3.49	0		0.006600
19	147	2	1	159	0	127	27	60	49	4.30	0		0.013300
19	148	3	1	138	53	111	21	29	31	1.95	0		0.016000
19	149	3	1	138	53	142	21	29	31	1.95	0		0.016000
19	151	9	0	139	82	161	22	28	29	4.23	0		0.034300
19	152	9	0	161	137	29	22	28	29	4.23	0		0.034300
42	324	7	1	161	82	84	53	41	29	2.22	0		0.005100
42	321	1	0	161	137	58	21	27	54	2.27	0		0.020100
42	322	1	0	161	137	112	21	27	54	2.27	0		0.020100
42	323	3	0	161	82	113	21	29	31	1.95	0		0.016000
48	382	10	1	209	123	35	35	55	55	1.65	0		0.004300
