Name:				4_Manual_n50_m100_bt10_4
Problem:			3L-VRPTW
Number_of_used_Vehicles:	2
Total_Travel_Distance:		68.7789
Total_Unloading_Effort:		13.512
Total_Travel_Time:		332.781
Calculation_Time:			3600
Total_Iterations:		971
ConstraintSet:			P22

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		20
No_of_Items:			44
Customer_Sequence:		38 28 16 2 20 26 44 8 40 21 11 23 43 3 49 29 39 35 18 17 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
17	31	6	0	0	0	0	54	40	55	2.83	0		0.006500
17	32	6	0	0	40	0	54	40	55	2.83	0		0.006500
18	33	3	0	0	80	0	106	60	60	6.42	0		0.005000
18	35	10	0	0	0	55	59	57	44	1.83	0		0.002700
18	34	5	0	0	140	0	50	32	49	2.43	0		0.007600
35	62	3	0	0	80	60	106	60	60	6.42	0		0.005000
35	63	4	1	0	140	49	26	52	40	3.18	0		0.011800
35	64	8	1	0	140	89	24	50	42	4.80	1		0.004000
39	71	3	0	0	80	120	106	60	60	6.42	0		0.005000
39	73	10	0	0	0	99	59	57	44	1.83	0		0.002700
39	72	7	1	0	140	131	24	56	26	1.59	1		0.001200
29	52	5	0	56	140	0	50	32	49	2.43	0		0.007600
49	98	1	1	56	140	49	30	38	53	4.15	0		0.018200
3	4	10	0	0	0	143	59	57	44	1.83	0		0.002700
3	3	2	0	0	57	55	26	20	30	1.62	0		0.015600
43	85	9	0	59	0	0	64	60	60	8.25	1		0.002100
43	84	7	1	0	140	157	24	56	26	1.59	1		0.001200
23	44	3	0	106	80	0	106	60	60	6.42	0		0.005000
23	45	3	0	106	80	60	106	60	60	6.42	0		0.005000
23	43	2	0	0	57	85	26	20	30	1.62	0		0.015600
11	18	3	0	106	80	120	106	60	60	6.42	0		0.005000
11	17	1	1	56	140	102	30	38	53	4.15	0		0.018200
11	19	7	0	59	0	60	24	56	26	1.59	1		0.001200
21	38	1	1	106	140	0	30	38	53	4.15	0		0.018200
21	39	4	0	123	0	0	26	52	40	3.18	0		0.011800
21	40	8	0	59	0	86	24	50	42	4.80	1		0.004000
40	75	5	1	123	0	40	50	32	49	2.43	0		0.007600
40	74	4	1	123	52	0	26	52	40	3.18	0		0.011800
40	77	9	0	175	0	0	64	60	60	8.25	1		0.002100
40	76	7	0	59	0	128	24	56	26	1.59	1		0.001200
8	12	1	1	106	140	53	30	38	53	4.15	0		0.018200
8	13	9	0	175	0	60	64	60	60	8.25	1		0.002100
44	87	3	1	239	0	0	106	60	60	6.42	0		0.005000
44	88	5	0	144	140	0	50	32	49	2.43	0		0.007600
44	86	1	1	106	140	106	30	38	53	4.15	0		0.018200
44	89	7	0	59	0	154	24	56	26	1.59	1		0.001200
26	48	5	0	144	140	49	50	32	49	2.43	0		0.007600
20	37	3	1	239	0	60	106	60	60	6.42	0		0.005000
2	2	9	0	175	0	120	64	60	60	8.25	1		0.002100
16	29	5	0	144	140	98	50	32	49	2.43	0		0.007600
16	28	1	1	194	140	0	30	38	53	4.15	0		0.018200
16	30	8	1	144	140	147	24	50	42	4.80	1		0.004000
28	51	7	1	212	106	0	24	56	26	1.59	1		0.001200
38	70	3	1	239	0	120	106	60	60	6.42	0		0.005000


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		30
No_of_Items:			56
Customer_Sequence:		48 15 41 6 33 14 46 13 24 5 10 32 25 30 31 22 12 42 7 37 4 50 1 47 36 45 34 27 19 9 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
9	15	10	0	0	0	0	59	57	44	1.83	0		0.002700
9	14	8	0	0	57	0	24	50	42	4.80	1		0.004000
19	36	7	0	0	107	0	24	56	26	1.59	1		0.001200
27	49	6	0	0	0	44	54	40	55	2.83	0		0.006500
27	50	7	0	0	107	26	24	56	26	1.59	1		0.001200
34	61	7	0	0	107	52	24	56	26	1.59	1		0.001200
45	91	5	0	0	0	99	50	32	49	2.43	0		0.007600
45	90	1	0	24	57	0	30	38	53	4.15	0		0.018200
36	66	9	0	24	95	0	64	60	60	8.25	1		0.002100
36	65	7	0	0	107	78	24	56	26	1.59	1		0.001200
47	94	10	0	59	0	0	59	57	44	1.83	0		0.002700
47	95	10	0	54	0	44	59	57	44	1.83	0		0.002700
47	96	10	0	54	0	88	59	57	44	1.83	0		0.002700
47	93	5	0	50	0	132	50	32	49	2.43	0		0.007600
1	1	7	0	0	107	104	24	56	26	1.59	1		0.001200
50	100	6	0	88	95	0	54	40	55	2.83	0		0.006500
50	99	4	1	50	32	132	26	52	40	3.18	0		0.011800
4	6	10	0	118	0	0	59	57	44	1.83	0		0.002700
4	5	4	1	88	135	0	26	52	40	3.18	0		0.011800
37	69	10	0	113	0	44	59	57	44	1.83	0		0.002700
37	67	4	1	88	135	40	26	52	40	3.18	0		0.011800
37	68	7	0	0	107	130	24	56	26	1.59	1		0.001200
7	11	6	0	88	95	55	54	40	55	2.83	0		0.006500
7	9	1	1	24	58	53	30	38	53	4.15	0		0.018200
7	10	1	1	24	58	106	30	38	53	4.15	0		0.018200
42	81	4	1	62	58	0	26	52	40	3.18	0		0.011800
42	82	4	1	62	58	40	26	52	40	3.18	0		0.011800
42	83	8	1	62	58	80	24	50	42	4.80	1		0.004000
12	22	10	0	113	0	88	59	57	44	1.83	0		0.002700
12	21	6	0	88	95	110	54	40	55	2.83	0		0.006500
12	20	2	0	24	58	159	26	20	30	1.62	0		0.015600
22	42	3	0	142	57	0	106	60	60	6.42	0		0.005000
22	41	1	1	88	135	80	30	38	53	4.15	0		0.018200
31	56	3	0	142	57	60	106	60	60	6.42	0		0.005000
31	55	2	0	88	135	133	26	20	30	1.62	0		0.015600
30	53	4	1	100	0	132	26	52	40	3.18	0		0.011800
30	54	4	1	102	32	132	26	52	40	3.18	0		0.011800
25	47	5	0	140	135	0	50	32	49	2.43	0		0.007600
32	58	5	0	140	135	49	50	32	49	2.43	0		0.007600
32	57	1	0	140	135	98	30	38	53	4.15	0		0.018200
10	16	2	0	140	135	151	26	20	30	1.62	0		0.015600
5	7	5	0	177	0	0	50	32	49	2.43	0		0.007600
24	46	8	1	62	58	122	24	50	42	4.80	1		0.004000
13	23	1	1	172	0	49	30	38	53	4.15	0		0.018200
13	24	4	0	190	117	0	26	52	40	3.18	0		0.011800
46	92	1	0	172	0	102	30	38	53	4.15	0		0.018200
14	25	3	1	248	0	0	106	60	60	6.42	0		0.005000
14	26	8	0	190	117	40	24	50	42	4.80	1		0.004000
33	60	9	0	248	106	0	64	60	60	8.25	1		0.002100
33	59	7	1	50	58	164	24	56	26	1.59	1		0.001200
6	8	6	0	248	0	60	54	40	55	2.83	0		0.006500
41	80	10	0	248	40	60	59	57	44	1.83	0		0.002700
41	79	9	0	248	97	60	64	60	60	8.25	1		0.002100
41	78	7	0	170	57	120	24	56	26	1.59	1		0.001200
15	27	2	0	172	0	155	26	20	30	1.62	0		0.015600
48	97	5	0	194	57	120	50	32	49	2.43	0		0.007600


