Name:				5_Manual_n50_m100_bt10_5
Problem:			3L-VRPTW
Number_of_used_Vehicles:	2
Total_Travel_Distance:		69.4153
Total_Unloading_Effort:		14.064
Total_Travel_Time:		345.106
Calculation_Time:			1535.73
Total_Iterations:		9789
ConstraintSet:			P22

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		37
No_of_Items:			75
Customer_Sequence:		41 6 31 49 33 38 20 35 12 15 37 46 50 17 48 24 43 23 11 2 34 26 30 19 42 7 39 28 29 44 36 10 21 9 4 40 45 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
45	89	3	0	0	0	0	52	23	35	1.43	0		0.006000
40	80	5	0	0	23	0	46	32	57	1.53	0		0.005200
40	77	3	0	0	55	0	52	23	35	1.43	0		0.006000
40	78	3	0	0	78	0	52	23	35	1.43	0		0.006000
40	79	3	0	0	101	0	52	23	35	1.43	0		0.006000
40	81	8	0	0	124	0	45	34	43	4.59	1		0.003000
4	6	2	0	0	55	35	25	51	29	1.19	0		0.004700
9	14	9	1	25	55	35	53	33	35	2.77	0		0.007900
9	15	10	1	0	23	57	30	33	48	4.47	0		0.022600
9	13	4	0	0	124	43	41	34	47	2.62	1		0.001900
21	42	5	1	25	55	70	46	32	57	1.53	0		0.005200
21	44	9	1	25	55	127	53	33	35	2.77	0		0.007900
21	43	6	0	0	0	35	50	21	37	1.70	0		0.008100
10	17	3	0	0	0	72	52	23	35	1.43	0		0.006000
10	16	2	1	0	0	107	25	51	29	1.19	0		0.004700
36	67	1	0	58	0	0	85	60	60	21.64	0		0.021200
36	68	2	1	0	0	136	25	51	29	1.19	0		0.004700
36	69	8	0	0	124	90	45	34	43	4.59	1		0.003000
36	70	8	0	0	124	133	45	34	43	4.59	1		0.003000
44	87	1	0	58	60	0	85	60	60	21.64	0		0.021200
44	88	10	1	0	25	105	30	33	48	4.47	0		0.022600
29	56	1	0	58	0	60	85	60	60	21.64	0		0.021200
29	57	6	0	45	124	0	50	21	37	1.70	0		0.008100
29	58	8	0	57	0	120	45	34	43	4.59	1		0.003000
28	55	2	1	45	145	0	25	51	29	1.19	0		0.004700
39	75	2	1	45	145	29	25	51	29	1.19	0		0.004700
39	76	4	0	58	60	60	41	34	47	2.62	1		0.001900
7	11	9	0	58	94	60	53	33	35	2.77	0		0.007900
7	10	8	0	58	94	95	45	34	43	4.59	1		0.003000
42	84	7	1	45	145	58	25	50	35	3.66	0		0.014700
42	83	2	1	45	145	93	25	51	29	1.19	0		0.004700
19	38	9	0	96	128	0	53	33	35	2.77	0		0.007900
30	59	4	0	58	60	107	41	34	47	2.62	1		0.001900
26	53	10	0	96	128	35	30	33	48	4.47	0		0.022600
26	52	3	0	45	145	122	52	23	35	1.43	0		0.006000
34	64	8	0	58	94	138	45	34	43	4.59	1		0.003000
2	2	5	0	99	60	60	46	32	57	1.53	0		0.005200
2	3	9	0	99	60	117	53	33	35	2.77	0		0.007900
11	19	9	0	99	60	152	53	33	35	2.77	0		0.007900
11	18	2	1	45	145	157	25	51	29	1.19	0		0.004700
23	48	9	0	102	0	120	53	33	35	2.77	0		0.007900
23	47	3	0	102	33	120	52	23	35	1.43	0		0.006000
43	86	6	0	149	128	0	50	21	37	1.70	0		0.008100
43	85	4	0	154	33	0	41	34	47	2.62	1		0.001900
24	50	7	0	102	0	155	25	50	35	3.66	0		0.014700
24	49	6	0	149	149	0	50	21	37	1.70	0		0.008100
48	92	3	1	127	0	155	52	23	35	1.43	0		0.006000
48	93	8	0	149	128	37	45	34	43	4.59	1		0.003000
17	35	2	0	152	67	0	25	51	29	1.19	0		0.004700
50	96	5	1	152	67	29	46	32	57	1.53	0		0.005200
50	97	5	1	152	67	86	46	32	57	1.53	0		0.005200
