Name:				72_Manual_n150_m200_bt10_2
Problem:			3L-VRPTW
Number_of_used_Vehicles:	4
Total_Travel_Distance:		121.488
Total_Unloading_Effort:		26.91
Total_Travel_Time:		906.187
Calculation_Time:			3600
Total_Iterations:		45
ConstraintSet:			P22

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		48
No_of_Items:			67
Customer_Sequence:		133 111 132 118 46 134 40 85 52 25 94 63 44 131 137 7 66 92 83 20 8 150 108 57 35 29 36 59 51 90 130 6 9 84 142 93 122 113 27 121 56 24 117 61 78 62 76 55 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
55	71	3	0	0	0	0	45	36	36	2.81	0		0.008700
55	72	3	0	0	36	0	45	36	36	2.81	0		0.008700
76	102	7	0	0	72	0	48	59	33	4.68	0		0.008300
62	82	4	0	0	131	0	30	39	36	3.77	0		0.016100
78	105	3	0	0	72	33	45	36	36	2.81	0		0.008700
78	106	6	0	0	0	36	26	26	41	4.82	1		0.007100
61	81	1	0	45	0	0	102	60	60	1.48	0		0.001200
117	158	6	0	0	131	36	26	26	41	4.82	1		0.007100
24	32	6	0	0	72	69	26	26	41	4.82	1		0.007100
56	73	1	0	26	0	60	102	60	60	1.48	0		0.001200
121	164	9	0	26	0	120	29	52	23	1.50	0		0.005000
27	35	9	0	26	0	143	29	52	23	1.50	0		0.005000
113	151	1	0	48	72	0	102	60	60	1.48	0		0.001200
113	152	4	0	30	132	0	30	39	36	3.77	0		0.016100
113	153	8	0	0	108	33	24	20	31	2.19	0		0.022800
122	165	7	0	48	72	60	48	59	33	4.68	0		0.008300
93	124	1	0	147	0	0	102	60	60	1.48	0		0.001200
93	125	5	0	48	72	93	58	39	34	4.54	0		0.010000
93	126	9	0	26	0	166	29	52	23	1.50	0		0.005000
142	191	9	0	48	72	127	29	52	23	1.50	0		0.005000
84	114	4	0	26	132	36	30	39	36	3.77	0		0.016100
9	11	1	0	128	0	60	102	60	60	1.48	0		0.001200
9	13	5	0	55	0	120	58	39	34	4.54	0		0.010000
9	12	3	1	48	72	150	45	36	36	2.81	0		0.008700
6	8	3	0	55	0	154	45	36	36	2.81	0		0.008700
130	178	8	0	26	131	72	24	20	31	2.19	0		0.022800
130	177	6	0	0	131	77	26	26	41	4.82	1		0.007100
90	121	10	0	113	0	120	90	60	60	7.44	0		0.006900
90	120	3	0	60	132	0	45	36	36	2.81	0		0.008700
51	65	1	0	150	72	0	102	60	60	1.48	0		0.001200
51	66	7	0	106	60	60	48	59	33	4.68	0		0.008300
59	78	4	0	56	132	36	30	39	36	3.77	0		0.016100
36	46	8	0	26	151	72	24	20	31	2.19	0		0.022800
29	38	3	0	50	131	72	45	36	36	2.81	0		0.008700
35	45	3	0	50	131	108	45	36	36	2.81	0		0.008700
57	74	7	0	106	60	93	48	59	33	4.68	0		0.008300
108	145	3	0	50	131	144	45	36	36	2.81	0		0.008700
150	200	2	0	105	132	0	49	29	31	2.69	0		0.009500
8	10	5	0	106	60	126	58	39	34	4.54	0		0.010000
20	27	5	0	154	132	0	58	39	34	4.54	0		0.010000
20	26	2	0	105	132	31	49	29	31	2.69	0		0.009500
83	112	1	1	252	0	0	102	60	60	1.48	0		0.001200
83	113	9	1	105	132	62	29	52	23	1.50	0		0.005000
92	123	6	0	105	132	85	26	26	41	4.82	1		0.007100
66	88	9	0	106	60	160	29	52	23	1.50	0		0.005000
66	89	9	0	135	60	160	29	52	23	1.50	0		0.005000
66	87	8	0	106	99	126	24	20	31	2.19	0		0.022800
7	9	9	1	157	132	34	29	52	23	1.50	0		0.005000
137	186	7	0	164	60	60	48	59	33	4.68	0		0.008300
137	185	2	0	157	132	57	49	29	31	2.69	0		0.009500
131	179	2	0	157	132	88	49	29	31	2.69	0		0.009500
44	55	6	0	105	132	126	26	26	41	4.82	1		0.007100
63	84	7	0	164	60	93	48	59	33	4.68	0		0.008300
63	83	6	0	157	132	119	26	26	41	4.82	1		0.007100
94	127	3	0	164	60	126	45	36	36	2.81	0		0.008700
25	33	10	1	230	0	60	90	60	60	7.44	0		0.006900
52	67	4	1	164	96	126	30	39	36	3.77	0		0.016100
85	115	6	0	183	132	119	26	26	41	4.82	1		0.007100
40	51	3	0	203	0	120	45	36	36	2.81	0		0.008700
134	182	7	0	248	0	120	48	59	33	4.68	0		0.008300
46	58	7	0	248	0	153	48	59	33	4.68	0		0.008300
46	57	2	0	212	132	0	49	29	31	2.69	0		0.009500
46	59	8	0	203	0	156	24	20	31	2.19	0		0.022800
118	159	4	1	212	132	31	30	39	36	3.77	0		0.016100
132	180	9	0	164	60	162	29	52	23	1.50	0		0.005000
111	149	2	0	212	90	60	49	29	31	2.69	0		0.009500
133	181	2	0	212	132	67	49	29	31	2.69	0		0.009500


