Name:				72_Manual_n150_m200_bt10_2
Problem:			3L-VRPTW
Number_of_used_Vehicles:	4
Total_Travel_Distance:		130.797
Total_Unloading_Effort:		27.18
Total_Travel_Time:		926.117
Calculation_Time:			3600
Total_Iterations:		69
ConstraintSet:			P22

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		52
No_of_Items:			72
Customer_Sequence:		28 48 53 82 139 102 67 140 26 29 35 36 59 51 90 57 130 6 83 9 84 142 93 92 122 113 27 121 56 24 25 52 85 94 46 40 134 63 44 131 66 7 137 20 108 8 150 124 68 33 3 146 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
146	195	9	0	0	0	0	29	52	23	1.50	0		0.005000
3	5	4	0	0	52	0	30	39	36	3.77	0		0.016100
33	43	8	0	0	91	0	24	20	31	2.19	0		0.022800
68	92	5	0	0	111	0	58	39	34	4.54	0		0.010000
68	91	4	0	0	0	23	30	39	36	3.77	0		0.016100
124	167	3	0	0	111	34	45	36	36	2.81	0		0.008700
124	168	4	0	0	52	36	30	39	36	3.77	0		0.016100
150	200	2	1	0	0	59	49	29	31	2.69	0		0.009500
8	10	5	0	30	0	0	58	39	34	4.54	0		0.010000
108	145	3	0	0	111	70	45	36	36	2.81	0		0.008700
20	27	5	0	30	39	0	58	39	34	4.54	0		0.010000
20	26	2	1	0	52	72	49	29	31	2.69	0		0.009500
137	186	7	0	30	0	34	48	59	33	4.68	0		0.008300
137	185	2	1	0	0	90	49	29	31	2.69	0		0.009500
7	9	9	0	0	52	103	29	52	23	1.50	0		0.005000
66	88	9	1	0	111	106	29	52	23	1.50	0		0.005000
66	89	9	0	0	0	121	29	52	23	1.50	0		0.005000
66	87	8	0	0	150	0	24	20	31	2.19	0		0.022800
131	179	2	1	0	52	126	49	29	31	2.69	0		0.009500
44	55	6	0	0	111	129	26	26	41	4.82	1		0.007100
63	84	7	0	30	0	67	48	59	33	4.68	0		0.008300
63	83	6	0	0	0	144	26	26	41	4.82	1		0.007100
134	182	7	0	29	0	100	48	59	33	4.68	0		0.008300
40	51	3	0	29	0	133	45	36	36	2.81	0		0.008700
46	58	7	0	58	111	0	48	59	33	4.68	0		0.008300
46	57	2	1	0	52	157	49	29	31	2.69	0		0.009500
46	59	8	0	0	150	31	24	20	31	2.19	0		0.022800
94	127	3	0	58	111	33	45	36	36	2.81	0		0.008700
85	115	6	0	26	111	129	26	26	41	4.82	1		0.007100
52	67	4	1	29	36	133	30	39	36	3.77	0		0.016100
25	33	10	0	88	0	0	90	60	60	7.44	0		0.006900
