Name:				91_Manual_n150_m400_bt10_1
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		140.214
Total_Unloading_Effort:		51.774
Total_Travel_Time:		962.944
Calculation_Time:			3600
Total_Iterations:		33
ConstraintSet:			P22

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		32
No_of_Items:			79
Customer_Sequence:		139 144 133 81 18 8 31 123 150 48 11 117 55 140 136 49 121 103 69 74 130 147 43 59 146 15 83 39 60 124 64 53 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
53	147	9	0	0	0	0	49	31	43	1.52	0		0.005000
53	146	8	0	0	31	0	36	37	43	1.70	0		0.006400
53	145	1	0	0	68	0	24	26	22	2.36	0		0.018900
64	174	9	0	0	94	0	49	31	43	1.52	0		0.005000
64	173	3	0	0	125	0	26	29	23	4.84	0		0.032100
124	336	9	0	0	0	43	49	31	43	1.52	0		0.005000
124	335	8	0	0	31	43	36	37	43	1.70	0		0.006400
124	334	4	0	0	125	23	33	28	47	4.58	0		0.024800
124	337	10	1	0	154	0	20	40	34	1.70	1		0.002100
60	162	2	1	0	94	43	20	51	40	4.78	0		0.023400
60	163	10	1	0	153	34	20	40	34	1.70	1		0.002100
39	103	6	0	0	0	86	57	54	60	3.45	0		0.005600
39	102	4	0	0	125	70	33	28	47	4.58	0		0.024800
39	100	2	1	0	94	83	20	51	40	4.78	0		0.023400
39	101	2	1	0	94	123	20	51	40	4.78	0		0.023400
83	222	7	0	51	54	0	91	60	60	11.44	0		0.010500
83	221	6	0	49	114	0	57	54	60	3.45	0		0.005600
83	220	1	0	0	68	22	24	26	22	2.36	0		0.018900
15	37	1	0	0	125	117	24	26	22	2.36	0		0.018900
146	392	6	0	40	114	60	57	54	60	3.45	0		0.005600
146	391	1	0	0	125	139	24	26	22	2.36	0		0.018900
59	161	4	0	40	114	120	33	28	47	4.58	0		0.024800
43	117	9	0	0	0	146	49	31	43	1.52	0		0.005000
43	116	4	0	40	142	120	33	28	47	4.58	0		0.024800
43	115	2	1	0	31	146	20	51	40	4.78	0		0.023400
147	394	5	0	51	54	60	58	24	36	1.31	0		0.004700
147	393	2	1	51	78	60	20	51	40	4.78	0		0.023400
130	350	8	0	57	0	0	36	37	43	1.70	0		0.006400
130	348	2	1	51	54	96	20	51	40	4.78	0		0.023400
130	349	3	0	40	114	167	26	29	23	4.84	0		0.032100
74	197	7	0	106	114	0	91	60	60	11.44	0		0.010500
74	196	4	0	57	0	43	33	28	47	4.58	0		0.024800
69	186	5	1	73	114	120	58	24	36	1.31	0		0.004700
69	185	4	0	57	0	90	33	28	47	4.58	0		0.024800
69	184	1	0	40	143	167	24	26	22	2.36	0		0.018900
103	279	7	0	97	98	60	91	60	60	11.44	0		0.010500
103	280	8	0	93	0	0	36	37	43	1.70	0		0.006400
103	278	3	1	51	78	100	26	29	23	4.84	0		0.032100
121	326	5	0	97	98	120	58	24	36	1.31	0		0.004700
121	325	4	0	51	74	123	33	28	47	4.58	0		0.024800
49	138	8	0	90	0	43	36	37	43	1.70	0		0.006400
136	365	4	0	57	0	137	33	28	47	4.58	0		0.024800
136	364	1	0	73	114	156	24	26	22	2.36	0		0.018900
140	379	7	0	142	0	0	91	60	60	11.44	0		0.010500
140	380	8	0	90	0	86	36	37	43	1.70	0		0.006400
55	152	4	0	90	0	129	33	28	47	4.58	0		0.024800
117	314	6	0	142	0	60	57	54	60	3.45	0		0.005600
117	315	8	0	97	122	120	36	37	43	1.70	0		0.006400
11	27	6	0	142	0	120	57	54	60	3.45	0		0.005600
11	28	9	0	133	122	120	49	31	43	1.52	0		0.005000
11	26	5	0	142	60	0	58	24	36	1.31	0		0.004700
11	25	1	1	97	98	156	24	26	22	2.36	0		0.018900
48	135	6	0	197	114	0	57	54	60	3.45	0		0.005600
48	136	8	0	109	54	60	36	37	43	1.70	0		0.006400
48	137	10	1	51	54	136	20	40	34	1.70	1		0.002100
150	400	8	0	102	54	103	36	37	43	1.70	0		0.006400
150	399	2	0	197	114	60	20	51	40	4.78	0		0.023400
123	331	6	0	200	60	0	57	54	60	3.45	0		0.005600
123	332	6	0	188	54	60	57	54	60	3.45	0		0.005600
123	333	9	0	182	54	120	49	31	43	1.52	0		0.005000
123	330	4	0	182	85	120	33	28	47	4.58	0		0.024800
31	82	9	1	199	0	60	49	31	43	1.52	0		0.005000
31	81	5	1	217	114	60	58	24	36	1.31	0		0.004700
31	80	4	0	199	0	103	33	28	47	4.58	0		0.024800
31	79	3	0	97	122	163	26	29	23	4.84	0		0.032100
8	19	6	0	233	0	0	57	54	60	3.45	0		0.005600
8	20	8	0	232	0	60	36	37	43	1.70	0		0.006400
8	18	2	0	197	114	100	20	51	40	4.78	0		0.023400
18	46	6	0	254	114	0	57	54	60	3.45	0		0.005600
18	47	9	1	217	114	96	49	31	43	1.52	0		0.005000
18	45	5	1	217	114	139	58	24	36	1.31	0		0.004700
81	217	3	0	182	54	163	26	29	23	4.84	0		0.032100
