Name:				9_Manual_n50_m100_bt100_4
Problem:			3L-VRPTW
Number_of_used_Vehicles:	2
Total_Travel_Distance:		66.1196
Total_Unloading_Effort:		13.836
Total_Travel_Time:		329.956
Calculation_Time:			3600
Total_Iterations:		2697
ConstraintSet:			P22

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		21
No_of_Items:			38
Customer_Sequence:		2 11 15 8 49 9 31 45 33 47 20 10 6 12 3 36 27 19 22 21 23 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
23	46	83	0	0	0	0	75	60	60	17.64	0		0.019600
23	45	24	0	0	60	0	34	33	20	1.11	0		0.004900
21	41	22	0	0	93	0	60	34	43	4.19	0		0.010300
21	42	100	0	0	127	0	59	25	50	3.18	1		0.002200
22	44	48	0	0	60	20	30	32	26	2.18	0		0.011400
22	43	23	1	0	93	43	30	36	22	2.27	0		0.010500
19	38	20	0	0	0	60	40	34	27	2.22	0		0.008200
27	53	28	1	0	152	0	20	54	43	1.98	0		0.009200
36	67	37	0	60	60	0	108	60	60	10.87	0		0.008400
3	4	4	0	60	60	60	81	60	60	8.46	0		0.008700
12	23	13	0	0	34	60	45	24	51	1.70	0		0.007800
12	24	45	1	59	127	0	43	48	22	4.27	0		0.010300
6	8	7	0	0	152	43	45	22	52	3.48	0		0.017600
10	16	4	0	60	60	120	81	60	60	8.46	0		0.008700
10	18	11	1	45	0	60	41	40	56	2.78	0		0.008500
10	17	6	1	0	0	87	23	44	32	2.48	0		0.012300
20	40	94	0	85	0	0	57	50	26	4.52	0		0.007900
20	39	21	0	45	0	116	40	38	39	3.39	0		0.011200
47	93	48	0	45	0	155	30	32	26	2.18	0		0.011400
33	62	94	0	85	0	26	57	50	26	4.52	0		0.007900
33	61	44	0	59	127	22	39	47	34	2.92	0		0.008000
33	59	12	1	0	152	95	22	52	28	4.55	0		0.019900
33	60	34	0	59	127	56	34	37	23	2.78	0		0.011100
45	89	46	0	85	0	52	41	48	37	3.28	0		0.008300
31	57	32	0	59	127	79	28	35	30	1.24	0		0.006300
9	15	86	0	142	0	0	107	60	60	11.58	0		0.009000
9	13	10	0	126	0	60	105	60	60	3.06	0		0.002400
9	14	10	0	126	0	120	105	60	60	3.06	0		0.002400
49	96	50	0	59	127	109	28	40	24	3.88	0		0.017300
8	11	9	0	107	120	0	58	53	33	4.72	0		0.007700
8	12	60	0	98	120	33	49	38	42	4.82	0		0.012900
15	30	58	0	168	60	0	74	60	60	5.82	0		0.006600
15	29	16	1	93	120	75	25	56	29	2.93	0		0.010500
11	19	12	1	87	120	104	22	52	28	4.55	0		0.019900
11	21	50	0	59	127	133	28	40	24	3.88	0		0.017300
11	22	95	0	59	127	157	24	24	26	1.77	0		0.015400
11	20	27	0	87	120	132	56	20	24	4.74	1		0.004200
2	3	3	0	141	60	60	24	58	46	1.99	0		0.007200


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		29
No_of_Items:			62
