Name:				102_Manual_n200_m300_bt10_2
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		145.481
Total_Unloading_Effort:		36.642
Total_Travel_Time:		1186.71
Calculation_Time:			3600
Total_Iterations:		225
ConstraintSet:			P22

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		45
No_of_Items:			70
Customer_Sequence:		139 160 182 55 176 196 51 11 85 122 4 111 113 40 56 140 2 116 86 145 124 149 168 130 200 71 59 106 89 164 17 6 83 54 193 121 10 101 16 190 181 8 19 20 80 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
59	90	3	0	0	0	0	116	60	60	20.64	0		0.014800
164	247	3	0	0	60	0	116	60	60	20.64	0		0.014800
111	164	3	0	0	0	60	116	60	60	20.64	0		0.014800
16	25	3	0	0	60	60	116	60	60	20.64	0		0.014800
56	83	3	0	0	0	120	116	60	60	20.64	0		0.014800
101	152	3	0	0	60	120	116	60	60	20.64	0		0.014800
59	91	10	0	116	0	0	104	60	60	20.56	0		0.016500
113	167	10	0	116	60	0	104	60	60	20.56	0		0.016500
181	272	10	0	116	0	60	104	60	60	20.56	0		0.016500
193	289	10	0	116	60	60	104	60	60	20.56	0		0.016500
145	217	8	1	0	120	0	51	56	34	2.66	0		0.004700
17	29	8	1	0	120	34	51	56	34	2.66	0		0.004700
149	225	8	1	0	120	68	51	56	34	2.66	0		0.004700
193	288	8	1	0	120	102	51	56	34	2.66	0		0.004700
19	32	8	1	0	120	136	51	56	34	2.66	0		0.004700
145	216	5	0	56	120	0	41	43	55	2.00	0		0.005700
40	64	5	0	56	120	55	41	43	55	2.00	0		0.005700
168	252	5	0	56	120	110	41	43	55	2.00	0		0.005700
17	28	5	0	97	120	0	41	43	55	2.00	0		0.005700
190	283	5	0	97	120	55	41	43	55	2.00	0		0.005700
122	184	5	0	97	120	110	41	43	55	2.00	0		0.005700
106	158	5	0	116	0	120	41	43	55	2.00	0		0.005700
20	33	7	0	116	43	120	39	45	32	1.86	0		0.005300
116	173	7	0	116	43	152	39	45	32	1.86	0		0.005300
2	3	7	0	138	120	0	39	45	32	1.86	0		0.005300
149	224	7	0	138	120	32	39	45	32	1.86	0		0.005300
200	300	7	0	138	120	64	39	45	32	1.86	0		0.005300
176	265	7	0	138	120	96	39	45	32	1.86	0		0.005300
106	159	7	0	138	120	128	39	45	32	1.86	0		0.005300
83	124	7	0	155	43	120	39	45	32	1.86	0		0.005300
8	13	7	0	155	43	152	39	45	32	1.86	0		0.005300
101	151	1	1	116	88	120	26	50	30	2.18	0		0.008400
200	298	1	1	116	88	150	26	50	30	2.18	0		0.008400
160	241	1	0	138	120	160	26	50	30	2.18	0		0.008400
182	273	1	1	157	0	120	26	50	30	2.18	0		0.008400
10	16	1	1	157	0	150	26	50	30	2.18	0		0.008400
121	183	1	1	166	88	120	26	50	30	2.18	0		0.008400
