Name:				102_Manual_n200_m300_bt10_2
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		139.614
Total_Unloading_Effort:		37.452
Total_Travel_Time:		1195.28
Calculation_Time:			3600
Total_Iterations:		183
ConstraintSet:			P22

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		40
No_of_Items:			59
Customer_Sequence:		41 132 9 169 137 36 173 43 105 76 197 165 175 128 167 112 123 156 3 192 58 174 95 77 135 93 157 102 159 94 26 118 49 138 150 90 21 186 154 166 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
95	144	3	0	0	0	0	116	60	60	20.64	0		0.014800
159	239	3	0	0	60	0	116	60	60	20.64	0		0.014800
157	236	3	0	0	0	60	116	60	60	20.64	0		0.014800
93	141	3	0	0	60	60	116	60	60	20.64	0		0.014800
49	75	3	0	0	0	120	116	60	60	20.64	0		0.014800
174	262	3	0	0	60	120	116	60	60	20.64	0		0.014800
3	4	3	0	116	0	0	116	60	60	20.64	0		0.014800
132	196	3	0	116	60	0	116	60	60	20.64	0		0.014800
186	278	3	0	116	0	60	116	60	60	20.64	0		0.014800
132	197	3	0	116	60	60	116	60	60	20.64	0		0.014800
112	165	10	0	116	0	120	104	60	60	20.56	0		0.016500
167	251	8	1	0	120	0	51	56	34	2.66	0		0.004700
166	250	8	1	0	120	34	51	56	34	2.66	0		0.004700
77	118	8	1	0	120	68	51	56	34	2.66	0		0.004700
77	117	8	1	0	120	102	51	56	34	2.66	0		0.004700
197	295	8	1	0	120	136	51	56	34	2.66	0		0.004700
102	153	8	1	56	120	0	51	56	34	2.66	0		0.004700
94	143	8	1	56	120	34	51	56	34	2.66	0		0.004700
118	179	8	1	56	120	68	51	56	34	2.66	0		0.004700
150	227	8	1	56	120	102	51	56	34	2.66	0		0.004700
43	67	5	0	112	120	0	41	43	55	2.00	0		0.005700
123	185	5	0	112	120	55	41	43	55	2.00	0		0.005700
3	5	5	0	112	120	110	41	43	55	2.00	0		0.005700
165	248	5	0	116	60	120	41	43	55	2.00	0		0.005700
137	204	5	0	153	120	0	41	43	55	2.00	0		0.005700
105	157	5	0	153	120	55	41	43	55	2.00	0		0.005700
36	59	7	0	56	120	136	39	45	32	1.86	0		0.005300
173	261	7	0	153	120	110	39	45	32	1.86	0		0.005300
90	136	7	0	153	120	142	39	45	32	1.86	0		0.005300
93	142	7	0	157	60	120	39	45	32	1.86	0		0.005300
175	264	7	0	157	60	152	39	45	32	1.86	0		0.005300
173	260	7	0	194	120	0	39	45	32	1.86	0		0.005300
3	7	7	0	194	120	32	39	45	32	1.86	0		0.005300
26	44	7	0	194	120	64	39	45	32	1.86	0		0.005300
197	294	1	0	194	120	96	26	50	30	2.18	0		0.008400
128	192	1	0	194	120	126	26	50	30	2.18	0		0.008400
169	255	1	0	194	120	156	26	50	30	2.18	0		0.008400
9	15	1	0	196	60	120	26	50	30	2.18	0		0.008400
58	88	1	0	196	60	150	26	50	30	2.18	0		0.008400
192	285	1	0	232	0	0	26	50	30	2.18	0		0.008400
135	201	1	0	232	50	0	26	50	30	2.18	0		0.008400
3	6	6	0	232	0	30	21	47	33	2.89	0		0.014600
192	286	6	0	232	47	30	21	47	33	2.89	0		0.014600
150	226	6	0	232	0	63	21	47	33	2.89	0		0.014600
166	249	6	0	232	47	63	21	47	33	2.89	0		0.014600
118	178	6	0	232	0	96	21	47	33	2.89	0		0.014600
159	240	9	1	232	47	96	36	21	32	1.62	0		0.010700
21	34	9	1	232	47	128	36	21	32	1.62	0		0.010700
156	235	9	1	232	0	129	36	21	32	1.62	0		0.010700
76	116	2	0	56	120	168	34	26	21	1.56	0		0.008800
154	233	2	0	112	120	165	34	26	21	1.56	0		0.008800
41	65	2	1	232	47	160	34	26	21	1.56	0		0.008800
135	202	4	0	233	120	0	53	44	38	4.79	1		0.002100
118	177	4	0	233	120	38	53	44	38	4.79	1		0.002100
138	205	4	0	233	120	76	53	44	38	4.79	1		0.002100
58	89	4	0	220	120	114	53	44	38	4.79	1		0.002100
90	135	4	0	220	110	152	53	44	38	4.79	1		0.002100
90	134	4	0	258	0	0	53	44	38	4.79	1		0.002100
175	263	4	0	253	0	38	53	44	38	4.79	1		0.002100


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		35
No_of_Items:			56
Customer_Sequence:		80 101 121 10 83 193 54 195 184 131 134 62 194 74 18 22 119 91 31 147 12 39 28 81 69 63 127 99 162 14 115 146 109 104 65 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
63	98	3	0	0	0	0	116	60	60	20.64	0		0.014800
101	152	3	0	0	60	0	116	60	60	20.64	0		0.014800
22	35	3	0	0	0	60	116	60	60	20.64	0		0.014800
31	51	3	0	0	60	60	116	60	60	20.64	0		0.014800
184	275	3	0	0	0	120	116	60	60	20.64	0		0.014800
99	148	3	0	0	60	120	116	60	60	20.64	0		0.014800
119	181	10	0	116	0	0	104	60	60	20.56	0		0.016500
193	289	10	0	116	60	0	104	60	60	20.56	0		0.016500
69	107	10	0	116	0	60	104	60	60	20.56	0		0.016500
28	46	10	0	116	60	60	104	60	60	20.56	0		0.016500
28	47	10	0	116	0	120	104	60	60	20.56	0		0.016500
39	63	10	0	116	60	120	104	60	60	20.56	0		0.016500
115	172	10	1	220	0	0	104	60	60	20.56	0		0.016500
146	221	10	1	220	0	60	104	60	60	20.56	0		0.016500
12	19	8	1	0	120	0	51	56	34	2.66	0		0.004700
22	36	8	1	0	120	34	51	56	34	2.66	0		0.004700
119	180	8	1	0	120	68	51	56	34	2.66	0		0.004700
193	288	8	1	0	120	102	51	56	34	2.66	0		0.004700
99	149	8	1	0	120	136	51	56	34	2.66	0		0.004700
162	244	8	1	56	120	0	51	56	34	2.66	0		0.004700
146	220	8	1	56	120	34	51	56	34	2.66	0		0.004700
104	156	8	1	56	120	68	51	56	34	2.66	0		0.004700
115	171	5	0	56	120	102	41	43	55	2.00	0		0.005700
146	219	5	0	112	120	0	41	43	55	2.00	0		0.005700
83	124	7	0	56	120	157	39	45	32	1.86	0		0.005300
74	113	7	0	112	120	55	39	45	32	1.86	0		0.005300
10	16	1	0	112	120	87	26	50	30	2.18	0		0.008400
121	183	1	0	112	120	117	26	50	30	2.18	0		0.008400
101	151	1	0	112	120	147	26	50	30	2.18	0		0.008400
74	112	1	0	153	120	0	26	50	30	2.18	0		0.008400
91	137	1	0	153	120	30	26	50	30	2.18	0		0.008400
63	97	1	0	151	120	60	26	50	30	2.18	0		0.008400
63	96	1	0	151	120	90	26	50	30	2.18	0		0.008400
14	22	1	0	151	120	120	26	50	30	2.18	0		0.008400
