Name:				102_Manual_n200_m300_bt10_2
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		144.4
Total_Unloading_Effort:		36.762
Total_Travel_Time:		1189.31
Calculation_Time:			3600
Total_Iterations:		241
ConstraintSet:			P22

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		39
No_of_Items:			61
Customer_Sequence:		115 14 109 146 162 12 62 194 74 18 134 131 184 195 54 193 121 10 83 59 71 200 6 17 164 89 106 130 168 8 181 190 16 101 80 104 65 186 154 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
186	278	3	0	0	0	0	116	60	60	20.64	0		0.014800
184	275	3	0	0	60	0	116	60	60	20.64	0		0.014800
101	152	3	0	0	0	60	116	60	60	20.64	0		0.014800
16	25	3	0	0	60	60	116	60	60	20.64	0		0.014800
59	90	3	0	0	0	120	116	60	60	20.64	0		0.014800
164	247	3	0	0	60	120	116	60	60	20.64	0		0.014800
115	172	10	0	116	0	0	104	60	60	20.56	0		0.016500
146	221	10	0	116	60	0	104	60	60	20.56	0		0.016500
193	289	10	0	116	0	60	104	60	60	20.56	0		0.016500
59	91	10	0	116	60	60	104	60	60	20.56	0		0.016500
181	272	10	0	116	0	120	104	60	60	20.56	0		0.016500
12	19	8	1	0	120	0	51	56	34	2.66	0		0.004700
162	244	8	1	0	120	34	51	56	34	2.66	0		0.004700
104	156	8	1	0	120	68	51	56	34	2.66	0		0.004700
146	220	8	1	0	120	102	51	56	34	2.66	0		0.004700
193	288	8	1	0	120	136	51	56	34	2.66	0		0.004700
17	29	8	1	56	120	0	51	56	34	2.66	0		0.004700
190	283	5	0	56	120	34	41	43	55	2.00	0		0.005700
146	219	5	0	56	120	89	41	43	55	2.00	0		0.005700
115	171	5	0	112	120	0	41	43	55	2.00	0		0.005700
17	28	5	0	112	120	55	41	43	55	2.00	0		0.005700
106	158	5	0	112	120	110	41	43	55	2.00	0		0.005700
168	252	5	0	116	60	120	41	43	55	2.00	0		0.005700
74	113	7	0	56	120	144	39	45	32	1.86	0		0.005300
106	159	7	0	153	120	0	39	45	32	1.86	0		0.005300
8	13	7	0	153	120	32	39	45	32	1.86	0		0.005300
200	300	7	0	153	120	64	39	45	32	1.86	0		0.005300
83	124	7	0	153	120	96	39	45	32	1.86	0		0.005300
10	16	1	0	153	120	128	26	50	30	2.18	0		0.008400
74	112	1	0	153	120	158	26	50	30	2.18	0		0.008400
121	183	1	0	157	60	120	26	50	30	2.18	0		0.008400
101	151	1	0	157	60	150	26	50	30	2.18	0		0.008400
14	22	1	0	183	60	120	26	50	30	2.18	0		0.008400
200	298	1	0	183	60	150	26	50	30	2.18	0		0.008400
71	109	6	0	192	120	0	21	47	33	2.89	0		0.014600
130	194	6	0	192	120	33	21	47	33	2.89	0		0.014600
109	162	6	0	192	120	66	21	47	33	2.89	0		0.014600
168	253	6	0	192	120	99	21	47	33	2.89	0		0.014600
12	18	6	0	192	120	132	21	47	33	2.89	0		0.014600
16	27	6	0	213	120	0	21	47	33	2.89	0		0.014600
134	200	6	0	213	120	33	21	47	33	2.89	0		0.014600
18	30	6	0	213	120	66	21	47	33	2.89	0		0.014600
18	31	6	0	213	120	99	21	47	33	2.89	0		0.014600
181	271	6	0	213	120	132	21	47	33	2.89	0		0.014600
168	254	9	0	220	0	0	36	21	32	1.62	0		0.010700
194	290	9	0	220	21	0	36	21	32	1.62	0		0.010700
74	114	9	0	220	42	0	36	21	32	1.62	0		0.010700
8	14	9	0	220	63	0	36	21	32	1.62	0		0.010700
54	81	9	0	220	84	0	36	21	32	1.62	0		0.010700
89	133	9	0	220	0	32	36	21	32	1.62	0		0.010700
6	11	9	0	220	21	32	36	21	32	1.62	0		0.010700
65	101	2	0	112	120	165	34	26	21	1.56	0		0.008800
154	233	2	0	192	120	165	34	26	21	1.56	0		0.008800
62	95	2	0	192	146	165	34	26	21	1.56	0		0.008800
195	291	2	0	220	42	32	34	26	21	1.56	0		0.008800
80	121	2	0	220	68	32	34	26	21	1.56	0		0.008800
193	287	2	0	220	42	53	34	26	21	1.56	0		0.008800
200	299	2	0	220	68	53	34	26	21	1.56	0		0.008800
164	246	2	0	220	0	64	34	26	21	1.56	0		0.008800
131	195	4	1	220	42	74	53	44	38	4.79	1		0.002100
16	26	4	0	220	42	112	53	44	38	4.79	1		0.002100


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		46
No_of_Items:			66
Customer_Sequence:		182 64 50 70 78 30 46 163 42 38 29 100 187 37 191 57 47 141 126 96 117 185 129 188 68 161 44 198 180 5 183 98 60 24 133 53 199 1 52 103 7 120 136 79 177 139 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
42	66	3	0	0	0	0	116	60	60	20.64	0		0.014800
117	175	3	0	0	60	0	116	60	60	20.64	0		0.014800
44	68	3	0	0	0	60	116	60	60	20.64	0		0.014800
60	92	3	0	0	60	60	116	60	60	20.64	0		0.014800
103	154	3	0	0	0	120	116	60	60	20.64	0		0.014800
1	1	3	0	0	60	120	116	60	60	20.64	0		0.014800
141	209	10	0	116	0	0	104	60	60	20.56	0		0.016500
68	106	10	0	116	60	0	104	60	60	20.56	0		0.016500
185	277	10	0	116	0	60	104	60	60	20.56	0		0.016500
24	42	10	0	116	60	60	104	60	60	20.56	0		0.016500
24	41	10	0	116	0	120	104	60	60	20.56	0		0.016500
1	2	10	0	116	60	120	104	60	60	20.56	0		0.016500
129	193	8	1	0	120	0	51	56	34	2.66	0		0.004700
24	40	8	1	0	120	34	51	56	34	2.66	0		0.004700
79	120	8	1	0	120	68	51	56	34	2.66	0		0.004700
141	208	8	1	0	120	102	51	56	34	2.66	0		0.004700
96	145	8	1	0	120	136	51	56	34	2.66	0		0.004700
117	176	8	1	56	120	0	51	56	34	2.66	0		0.004700
53	79	5	0	56	120	34	41	43	55	2.00	0		0.005700
57	87	5	0	56	120	89	41	43	55	2.00	0		0.005700
177	267	5	0	112	120	0	41	43	55	2.00	0		0.005700
133	199	5	0	112	120	55	41	43	55	2.00	0		0.005700
100	150	5	0	112	120	110	41	43	55	2.00	0		0.005700
38	61	5	0	153	120	0	41	43	55	2.00	0		0.005700
120	182	5	0	153	120	55	41	43	55	2.00	0		0.005700
188	281	7	0	56	120	144	39	45	32	1.86	0		0.005300
38	62	7	0	153	120	110	39	45	32	1.86	0		0.005300
180	270	7	0	153	120	142	39	45	32	1.86	0		0.005300
5	10	7	0	194	120	0	39	45	32	1.86	0		0.005300
98	147	7	0	194	120	32	39	45	32	1.86	0		0.005300
52	78	7	0	194	120	64	39	45	32	1.86	0		0.005300
37	60	7	0	194	120	96	39	45	32	1.86	0		0.005300
185	276	1	0	192	120	128	26	50	30	2.18	0		0.008400
182	273	1	0	192	120	158	26	50	30	2.18	0		0.008400
57	86	1	0	220	0	0	26	50	30	2.18	0		0.008400
161	242	1	0	220	50	0	26	50	30	2.18	0		0.008400
68	105	6	0	220	0	30	21	47	33	2.89	0		0.014600
188	280	6	0	220	47	30	21	47	33	2.89	0		0.014600
64	100	6	0	220	0	63	21	47	33	2.89	0		0.014600
5	9	6	0	220	47	63	21	47	33	2.89	0		0.014600
24	39	6	0	220	0	96	21	47	33	2.89	0		0.014600
103	155	6	0	220	47	96	21	47	33	2.89	0		0.014600
139	206	9	1	220	0	129	36	21	32	1.62	0		0.010700
46	71	9	1	220	36	129	36	21	32	1.62	0		0.010700
7	12	9	0	233	120	0	36	21	32	1.62	0		0.010700
29	49	9	0	233	141	0	36	21	32	1.62	0		0.010700
187	279	9	0	233	120	32	36	21	32	1.62	0		0.010700
199	297	9	0	233	141	32	36	21	32	1.62	0		0.010700
53	80	9	0	233	120	64	36	21	32	1.62	0		0.010700
47	73	9	0	233	141	64	36	21	32	1.62	0		0.010700
50	76	2	0	112	120	165	34	26	21	1.56	0		0.008800
70	108	2	1	220	0	161	34	26	21	1.56	0		0.008800
30	50	2	1	220	34	161	34	26	21	1.56	0		0.008800
177	266	2	0	233	120	96	34	26	21	1.56	0		0.008800
163	245	2	0	233	120	117	34	26	21	1.56	0		0.008800
68	104	4	0	246	0	0	53	44	38	4.79	1		0.002100
161	243	4	0	241	0	38	53	44	38	4.79	1		0.002100
78	119	4	0	241	0	76	53	44	38	4.79	1		0.002100
198	296	4	0	241	0	114	53	44	38	4.79	1		0.002100
136	203	4	0	246	44	0	53	44	38	4.79	1		0.002100
126	189	4	0	241	44	38	53	44	38	4.79	1		0.002100
183	274	4	0	241	44	76	53	44	38	4.79	1		0.002100
29	48	4	0	241	44	114	53	44	38	4.79	1		0.002100
47	72	4	1	269	120	0	53	44	38	4.79	1		0.002100
133	198	4	1	269	120	38	53	44	38	4.79	1		0.002100
191	284	4	1	269	120	76	53	44	38	4.79	1		0.002100


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			3
No_of_Customers:		40
No_of_Items:			59
Customer_Sequence:		152 15 75 13 88 172 143 178 142 110 125 61 32 107 189 45 87 2 116 86 145 124 149 40 56 140 113 4 111 27 85 122 179 11 51 196 176 19 20 55 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
143	214	3	0	0	0	0	116	60	60	20.64	0		0.014800
56	83	3	0	0	60	0	116	60	60	20.64	0		0.014800
27	45	3	0	0	0	60	116	60	60	20.64	0		0.014800
111	164	3	0	0	60	60	116	60	60	20.64	0		0.014800
113	167	10	0	0	0	120	104	60	60	20.56	0		0.016500
15	24	10	0	0	60	120	104	60	60	20.56	0		0.016500
172	259	10	0	116	0	0	104	60	60	20.56	0		0.016500
19	32	8	1	0	120	0	51	56	34	2.66	0		0.004700
75	115	8	1	0	120	34	51	56	34	2.66	0		0.004700
142	213	8	1	0	120	68	51	56	34	2.66	0		0.004700
145	217	8	1	0	120	102	51	56	34	2.66	0		0.004700
149	225	8	1	0	120	136	51	56	34	2.66	0		0.004700
40	64	5	0	56	120	0	41	43	55	2.00	0		0.005700
145	216	5	0	56	120	55	41	43	55	2.00	0		0.005700
122	184	5	0	56	120	110	41	43	55	2.00	0		0.005700
149	224	7	0	97	120	0	39	45	32	1.86	0		0.005300
2	3	7	0	97	120	32	39	45	32	1.86	0		0.005300
116	173	7	0	97	120	64	39	45	32	1.86	0		0.005300
20	33	7	0	97	120	96	39	45	32	1.86	0		0.005300
107	160	7	0	97	120	128	39	45	32	1.86	0		0.005300
61	94	7	0	116	60	0	39	45	32	1.86	0		0.005300
152	230	7	0	116	60	32	39	45	32	1.86	0		0.005300
176	265	7	0	116	0	60	39	45	32	1.86	0		0.005300
110	163	1	0	97	120	160	26	50	30	2.18	0		0.008400
125	188	1	0	116	60	64	26	50	30	2.18	0		0.008400
85	127	1	0	116	0	92	26	50	30	2.18	0		0.008400
87	130	1	0	116	60	94	26	50	30	2.18	0		0.008400
56	84	6	0	116	0	122	21	47	33	2.89	0		0.014600
178	268	6	0	116	60	124	21	47	33	2.89	0		0.014600
142	212	6	0	116	0	155	21	47	33	2.89	0		0.014600
13	20	6	0	116	60	157	21	47	33	2.89	0		0.014600
189	282	6	0	136	120	0	21	47	33	2.89	0		0.014600
45	70	6	0	136	110	33	21	47	33	2.89	0		0.014600
4	8	6	0	136	110	66	21	47	33	2.89	0		0.014600
13	21	9	1	136	110	99	36	21	32	1.62	0		0.010700
116	174	9	1	136	107	131	36	21	32	1.62	0		0.010700
86	129	9	0	155	60	0	36	21	32	1.62	0		0.010700
145	218	9	0	155	81	0	36	21	32	1.62	0		0.010700
196	293	9	0	155	60	32	36	21	32	1.62	0		0.010700
56	85	9	0	142	60	64	36	21	32	1.62	0		0.010700
113	166	9	0	142	60	96	36	21	32	1.62	0		0.010700
140	207	9	0	142	60	128	36	21	32	1.62	0		0.010700
172	258	9	0	155	81	32	36	21	32	1.62	0		0.010700
15	23	9	0	142	81	64	36	21	32	1.62	0		0.010700
196	292	2	0	56	120	165	34	26	21	1.56	0		0.008800
51	77	2	1	136	107	163	34	26	21	1.56	0		0.008800
179	269	2	0	142	81	96	34	26	21	1.56	0		0.008800
142	210	2	0	142	81	117	34	26	21	1.56	0		0.008800
61	93	2	0	137	81	138	34	26	21	1.56	0		0.008800
45	69	2	0	137	81	159	34	26	21	1.56	0		0.008800
124	187	2	0	155	0	60	34	26	21	1.56	0		0.008800
124	186	2	0	155	26	60	34	26	21	1.56	0		0.008800
11	17	4	1	155	0	81	53	44	38	4.79	1		0.002100
142	211	4	0	142	0	119	53	44	38	4.79	1		0.002100
88	131	4	0	157	120	0	53	44	38	4.79	1		0.002100
88	132	4	1	157	107	38	53	44	38	4.79	1		0.002100
32	53	4	0	157	107	76	53	44	38	4.79	1		0.002100
85	128	4	0	157	107	114	53	44	38	4.79	1		0.002100
55	82	4	0	191	60	0	53	44	38	4.79	1		0.002100


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			4
No_of_Customers:		46
No_of_Items:			64
Customer_Sequence:		166 132 137 9 170 169 97 82 76 197 35 48 25 144 34 84 171 23 114 165 175 128 167 112 192 3 58 174 156 123 43 173 36 105 151 66 158 148 155 72 73 153 108 67 92 160 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
132	197	3	0	0	0	0	116	60	60	20.64	0		0.014800
174	262	3	0	0	60	0	116	60	60	20.64	0		0.014800
3	4	3	0	0	0	60	116	60	60	20.64	0		0.014800
66	102	3	0	0	60	60	116	60	60	20.64	0		0.014800
35	57	3	0	0	0	120	116	60	60	20.64	0		0.014800
108	161	3	0	0	60	120	116	60	60	20.64	0		0.014800
132	196	3	0	116	0	0	116	60	60	20.64	0		0.014800
153	232	10	0	116	60	0	104	60	60	20.56	0		0.016500
84	126	10	0	116	0	60	104	60	60	20.56	0		0.016500
84	125	10	0	116	60	60	104	60	60	20.56	0		0.016500
