Name:				113_Manual_n200_m400_bt10_3
Problem:			3L-VRPTW
Number_of_used_Vehicles:	7
Total_Travel_Distance:		159.539
Total_Unloading_Effort:		50.094
Total_Travel_Time:		1234.42
Calculation_Time:			3600
Total_Iterations:		75
ConstraintSet:			P22

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		29
No_of_Items:			56
Customer_Sequence:		163 107 68 73 120 82 28 170 11 88 148 10 99 93 8 101 132 15 60 149 124 119 114 108 159 27 116 112 56 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
163	333	2	0	0	0	0	116	60	60	12.22	0		0.008800
11	21	2	0	0	60	0	116	60	60	12.22	0		0.008800
170	345	2	0	0	0	60	116	60	60	12.22	0		0.008800
15	30	2	0	0	60	60	116	60	60	12.22	0		0.008800
15	29	2	0	0	0	120	116	60	60	12.22	0		0.008800
124	255	2	0	0	60	120	116	60	60	12.22	0		0.008800
99	196	7	0	116	0	0	108	60	60	2.07	0		0.001600
107	221	7	0	116	60	0	108	60	60	2.07	0		0.001600
101	201	7	0	116	0	60	108	60	60	2.07	0		0.001600
159	327	7	0	116	60	60	108	60	60	2.07	0		0.001600
108	223	7	0	116	0	120	108	60	60	2.07	0		0.001600
73	143	7	0	116	60	120	108	60	60	2.07	0		0.001600
28	57	3	0	224	0	0	60	60	60	15.78	0		0.021900
88	174	3	0	224	60	0	60	60	60	15.78	0		0.021900
15	31	3	0	224	0	60	60	60	60	15.78	0		0.021900
107	219	3	0	224	60	60	60	60	60	15.78	0		0.021900
116	239	3	0	224	0	120	60	60	60	15.78	0		0.021900
82	164	5	0	0	120	0	55	45	33	4.16	0		0.008400
82	163	5	0	0	120	33	55	45	33	4.16	0		0.008400
124	256	5	0	0	120	66	55	45	33	4.16	0		0.008400
112	231	5	0	0	120	99	55	45	33	4.16	0		0.008400
108	222	5	0	0	120	132	55	45	33	4.16	0		0.008400
27	53	5	0	55	120	0	55	45	33	4.16	0		0.008400
149	307	6	0	55	120	33	32	54	41	4.89	0		0.014200
132	270	6	0	55	120	74	32	54	41	4.89	0		0.014200
11	22	6	0	55	120	115	32	54	41	4.89	0		0.014200
10	20	9	0	110	120	0	58	30	40	1.60	0		0.004600
88	175	9	0	110	120	40	58	30	40	1.60	0		0.004600
99	198	9	0	110	120	80	58	30	40	1.60	0		0.004600
99	197	9	0	110	120	120	58	30	40	1.60	0		0.004600
27	54	9	0	168	120	0	58	30	40	1.60	0		0.004600
132	271	9	0	168	120	40	58	30	40	1.60	0		0.004600
107	218	1	0	168	120	80	46	39	35	2.42	0		0.006700
68	133	1	0	168	120	115	46	39	35	2.42	0		0.006700
28	56	1	0	168	120	150	46	39	35	2.42	0		0.006700
112	230	1	0	224	60	120	46	39	35	2.42	0		0.006700
10	18	1	0	224	60	155	46	39	35	2.42	0		0.006700
60	118	1	0	226	120	0	46	39	35	2.42	0		0.006700
119	244	1	0	226	120	35	46	39	35	2.42	0		0.006700
119	245	1	0	226	120	70	46	39	35	2.42	0		0.006700
10	19	8	0	55	120	156	33	51	32	4.16	0		0.012400
93	186	8	1	214	120	105	33	51	32	4.16	0		0.012400
8	15	8	1	214	120	137	33	51	32	4.16	0		0.012400
101	202	8	0	272	120	0	33	51	32	4.16	0		0.012400
56	113	10	0	110	120	160	36	40	27	2.74	0		0.009500
27	55	10	0	272	120	32	36	40	27	2.74	0		0.009500
73	144	10	0	272	120	59	36	40	27	2.74	0		0.009500
124	257	10	0	272	120	86	36	40	27	2.74	0		0.009500
124	258	10	0	265	120	113	36	40	27	2.74	0		0.009500
120	246	4	1	87	120	33	28	21	32	3.94	0		0.033500
149	306	4	1	87	120	65	28	21	32	3.94	0		0.033500
114	233	4	1	87	120	97	28	21	32	3.94	0		0.033500
159	326	4	0	110	150	0	28	21	32	3.94	0		0.033500
107	220	4	0	110	150	32	28	21	32	3.94	0		0.033500
170	346	4	0	110	150	64	28	21	32	3.94	0		0.033500
148	305	4	0	110	150	96	28	21	32	3.94	0		0.033500


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		31
No_of_Items:			66
Customer_Sequence:		123 91 134 130 69 48 1 138 34 145 5 37 154 115 121 79 196 90 139 160 65 147 125 193 175 178 19 97 54 179 23 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
138	282	2	0	0	0	0	116	60	60	12.22	0		0.008800
97	194	2	0	0	60	0	116	60	60	12.22	0		0.008800
1	1	2	0	0	0	60	116	60	60	12.22	0		0.008800
79	160	2	0	0	60	60	116	60	60	12.22	0		0.008800
115	236	7	0	0	0	120	108	60	60	2.07	0		0.001600
1	2	7	0	0	60	120	108	60	60	2.07	0		0.001600
175	358	7	0	116	0	0	108	60	60	2.07	0		0.001600
69	136	7	0	116	60	0	108	60	60	2.07	0		0.001600
145	298	7	0	116	0	60	108	60	60	2.07	0		0.001600
179	367	3	0	108	0	120	60	60	60	15.78	0		0.021900
90	179	3	0	116	60	60	60	60	60	15.78	0		0.021900
196	393	3	0	108	60	120	60	60	60	15.78	0		0.021900
65	129	3	0	168	0	120	60	60	60	15.78	0		0.021900
115	234	3	0	176	60	60	60	60	60	15.78	0		0.021900
134	275	3	0	168	60	120	60	60	60	15.78	0		0.021900
115	235	3	0	224	0	0	60	60	60	15.78	0		0.021900
23	48	3	0	224	60	0	60	60	60	15.78	0		0.021900
179	368	3	0	224	0	60	60	60	60	15.78	0		0.021900
154	314	5	0	0	120	0	55	45	33	4.16	0		0.008400
138	284	5	0	0	120	33	55	45	33	4.16	0		0.008400
121	249	5	0	0	120	66	55	45	33	4.16	0		0.008400
138	285	5	0	0	120	99	55	45	33	4.16	0		0.008400
138	286	5	0	0	120	132	55	45	33	4.16	0		0.008400
160	329	5	0	55	120	0	55	45	33	4.16	0		0.008400
160	328	5	0	55	120	33	55	45	33	4.16	0		0.008400
193	389	5	0	55	120	66	55	45	33	4.16	0		0.008400
90	180	6	0	55	120	99	32	54	41	4.89	0		0.014200
34	70	6	0	55	120	140	32	54	41	4.89	0		0.014200
130	268	6	0	110	120	0	32	54	41	4.89	0		0.014200
175	357	6	0	110	120	41	32	54	41	4.89	0		0.014200
134	276	6	0	110	120	82	32	54	41	4.89	0		0.014200
134	277	6	0	110	120	123	32	54	41	4.89	0		0.014200
145	297	4	1	87	120	99	28	21	32	3.94	0		0.033500
123	254	9	0	142	120	0	58	30	40	1.60	0		0.004600
115	237	9	0	142	120	40	58	30	40	1.60	0		0.004600
19	39	9	0	142	120	80	58	30	40	1.60	0		0.004600
178	366	9	0	142	120	120	58	30	40	1.60	0		0.004600
147	304	9	0	200	120	0	58	30	40	1.60	0		0.004600
121	247	1	0	200	120	40	46	39	35	2.42	0		0.006700
90	178	1	0	200	120	75	46	39	35	2.42	0		0.006700
69	134	1	0	200	120	110	46	39	35	2.42	0		0.006700
139	287	1	0	200	120	145	46	39	35	2.42	0		0.006700
123	253	8	0	228	0	120	33	51	32	4.16	0		0.012400
91	181	8	0	228	0	152	33	51	32	4.16	0		0.012400
178	365	8	0	236	60	60	33	51	32	4.16	0		0.012400
65	130	8	0	236	60	92	33	51	32	4.16	0		0.012400
37	79	8	0	236	60	124	33	51	32	4.16	0		0.012400
1	3	8	0	236	60	156	33	51	32	4.16	0		0.012400
48	98	8	0	258	120	0	33	51	32	4.16	0		0.012400
5	10	10	0	142	120	160	36	40	27	2.74	0		0.009500
115	238	10	0	258	120	32	36	40	27	2.74	0		0.009500
154	315	10	0	258	120	59	36	40	27	2.74	0		0.009500
69	138	10	0	258	120	86	36	40	27	2.74	0		0.009500
139	288	10	0	258	120	113	36	40	27	2.74	0		0.009500
69	135	4	1	87	120	131	28	21	32	3.94	0		0.033500
125	261	4	0	142	150	0	28	21	32	3.94	0		0.033500
125	260	4	0	142	150	32	28	21	32	3.94	0		0.033500
130	267	4	0	142	150	64	28	21	32	3.94	0		0.033500
125	259	4	0	142	150	96	28	21	32	3.94	0		0.033500
138	283	4	0	142	150	128	28	21	32	3.94	0		0.033500
121	248	4	0	170	150	0	28	21	32	3.94	0		0.033500
69	137	9	1	261	0	120	58	30	40	1.60	0		0.004600
5	9	4	0	170	150	32	28	21	32	3.94	0		0.033500
54	110	4	0	170	150	64	28	21	32	3.94	0		0.033500
139	289	10	0	258	120	140	36	40	27	2.74	0		0.009500
34	71	10	0	261	0	160	36	40	27	2.74	0		0.009500


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			3
No_of_Customers:		28
No_of_Items:			55
Customer_Sequence:		187 7 127 75 171 29 168 142 53 98 55 76 105 4 41 161 67 122 157 135 57 110 140 181 16 167 194 2 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
55	111	2	0	0	0	0	116	60	60	12.22	0		0.008800
167	338	2	0	0	60	0	116	60	60	12.22	0		0.008800
167	339	2	0	0	0	60	116	60	60	12.22	0		0.008800
122	251	2	0	0	60	60	116	60	60	12.22	0		0.008800
122	250	2	0	0	0	120	116	60	60	12.22	0		0.008800
142	292	7	0	0	60	120	108	60	60	2.07	0		0.001600
53	109	7	0	116	0	0	108	60	60	2.07	0		0.001600
76	152	7	0	116	60	0	108	60	60	2.07	0		0.001600
29	59	7	0	116	0	60	108	60	60	2.07	0		0.001600
127	263	7	0	116	60	60	108	60	60	2.07	0		0.001600
181	371	7	0	108	60	120	108	60	60	2.07	0		0.001600
2	5	7	0	116	0	120	108	60	60	2.07	0		0.001600
110	226	3	0	224	0	0	60	60	60	15.78	0		0.021900
105	213	3	0	224	60	0	60	60	60	15.78	0		0.021900
4	7	3	0	224	0	60	60	60	60	15.78	0		0.021900
187	380	3	0	224	60	60	60	60	60	15.78	0		0.021900
41	84	3	0	216	60	120	60	60	60	15.78	0		0.021900
171	347	3	0	224	0	120	60	60	60	15.78	0		0.021900
7	14	5	0	0	120	0	55	45	33	4.16	0		0.008400
98	195	5	0	0	120	33	55	45	33	4.16	0		0.008400
2	4	5	0	0	120	66	55	45	33	4.16	0		0.008400
135	278	6	0	0	120	99	32	54	41	4.89	0		0.014200
187	381	6	0	0	120	140	32	54	41	4.89	0		0.014200
75	149	6	0	55	120	0	32	54	41	4.89	0		0.014200
57	114	6	0	55	120	41	32	54	41	4.89	0		0.014200
157	322	6	0	55	120	82	32	54	41	4.89	0		0.014200
4	8	6	0	55	120	123	32	54	41	4.89	0		0.014200
76	151	6	0	87	120	0	32	54	41	4.89	0		0.014200
167	340	6	0	87	120	41	32	54	41	4.89	0		0.014200
67	132	9	0	119	120	0	58	30	40	1.60	0		0.004600
167	341	9	0	119	120	40	58	30	40	1.60	0		0.004600
55	112	9	0	119	120	80	58	30	40	1.60	0		0.004600
127	264	9	0	108	120	120	58	30	40	1.60	0		0.004600
135	279	9	0	177	120	0	58	30	40	1.60	0		0.004600
53	108	1	0	177	120	40	46	39	35	2.42	0		0.006700
105	212	1	0	177	120	75	46	39	35	2.42	0		0.006700
16	32	1	0	177	120	110	46	39	35	2.42	0		0.006700
187	382	8	1	166	120	145	33	51	32	4.16	0		0.012400
29	60	8	0	235	120	0	33	51	32	4.16	0		0.012400
171	348	8	0	235	120	32	33	51	32	4.16	0		0.012400
142	293	8	0	235	120	64	33	51	32	4.16	0		0.012400
41	86	8	0	235	120	96	33	51	32	4.16	0		0.012400
157	323	8	0	235	120	128	33	51	32	4.16	0		0.012400
16	34	8	0	268	120	0	33	51	32	4.16	0		0.012400
16	33	8	0	268	120	32	33	51	32	4.16	0		0.012400
194	390	8	0	268	120	64	33	51	32	4.16	0		0.012400
157	324	10	0	108	120	160	36	40	27	2.74	0		0.009500
75	150	10	0	235	120	160	36	40	27	2.74	0		0.009500
168	342	4	1	32	120	99	28	21	32	3.94	0		0.033500
29	58	4	1	32	120	131	28	21	32	3.94	0		0.033500
41	85	4	0	87	120	82	28	21	32	3.94	0		0.033500
161	330	4	0	87	141	82	28	21	32	3.94	0		0.033500
122	252	4	1	87	120	114	28	21	32	3.94	0		0.033500
157	321	4	1	87	120	146	28	21	32	3.94	0		0.033500
140	290	4	0	119	150	0	28	21	32	3.94	0		0.033500


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			4
No_of_Customers:		28
No_of_Items:			62
Customer_Sequence:		173 72 66 45 59 146 102 89 177 58 106 51 104 133 14 86 185 25 42 183 111 74 136 21 198 70 172 40 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
40	83	2	0	0	0	0	116	60	60	12.22	0		0.008800
58	115	2	0	0	60	0	116	60	60	12.22	0		0.008800
42	87	2	0	0	0	60	116	60	60	12.22	0		0.008800
146	301	7	0	0	60	60	108	60	60	2.07	0		0.001600
111	227	2	0	0	0	120	116	60	60	12.22	0		0.008800
45	91	2	0	0	60	120	116	60	60	12.22	0		0.008800
21	45	2	0	116	0	0	116	60	60	12.22	0		0.008800
185	377	7	0	116	60	0	108	60	60	2.07	0		0.001600
173	352	7	0	108	60	60	108	60	60	2.07	0		0.001600
59	116	7	0	116	0	60	108	60	60	2.07	0		0.001600
111	228	2	0	116	0	120	116	60	60	12.22	0		0.008800
74	145	3	0	116	60	120	60	60	60	15.78	0		0.021900
51	104	5	0	0	120	0	55	45	33	4.16	0		0.008400
25	51	5	0	0	120	33	55	45	33	4.16	0		0.008400
146	299	5	0	0	120	66	55	45	33	4.16	0		0.008400
72	141	5	0	0	120	99	55	45	33	4.16	0		0.008400
14	27	5	0	0	120	132	55	45	33	4.16	0		0.008400
89	176	5	0	55	120	0	55	45	33	4.16	0		0.008400
183	374	6	0	55	120	33	32	54	41	4.89	0		0.014200
45	92	6	0	55	120	74	32	54	41	4.89	0		0.014200
146	300	6	0	55	120	115	32	54	41	4.89	0		0.014200
106	214	6	0	110	120	0	32	54	41	4.89	0		0.014200
106	215	6	0	110	120	41	32	54	41	4.89	0		0.014200
177	362	6	0	110	120	82	32	54	41	4.89	0		0.014200
104	209	6	0	110	120	123	32	54	41	4.89	0		0.014200
102	203	9	0	142	120	0	58	30	40	1.60	0		0.004600
106	217	9	0	142	120	40	58	30	40	1.60	0		0.004600
172	349	9	0	142	120	80	58	30	40	1.60	0		0.004600
102	204	9	0	142	120	120	58	30	40	1.60	0		0.004600
45	93	9	1	176	60	120	58	30	40	1.60	0		0.004600
45	94	9	0	200	120	0	58	30	40	1.60	0		0.004600
172	350	9	0	200	120	40	58	30	40	1.60	0		0.004600
70	139	9	0	200	120	80	58	30	40	1.60	0		0.004600
133	273	9	0	200	118	120	58	30	40	1.60	0		0.004600
136	280	9	0	224	60	0	58	30	40	1.60	0		0.004600
111	229	9	0	224	90	0	58	30	40	1.60	0		0.004600
173	351	1	0	224	60	40	46	39	35	2.42	0		0.006700
177	360	1	0	216	60	75	46	39	35	2.42	0		0.006700
