Name:				120_Manual_n200_m400_bt100_5
Problem:			3L-VRPTW
Number_of_used_Vehicles:	8
Total_Travel_Distance:		162.19
Total_Unloading_Effort:		50.88
Total_Travel_Time:		1243.49
Calculation_Time:			3600
Total_Iterations:		49
ConstraintSet:			P22

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		32
No_of_Items:			60
Customer_Sequence:		163 188 184 197 136 193 160 64 98 143 26 121 179 118 130 159 13 155 111 57 199 75 191 77 148 89 169 12 6 41 172 106 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
143	292	46	0	0	0	0	118	60	60	6.14	0		0.004300
106	217	12	0	0	60	0	116	60	60	7.31	0		0.005300
191	384	82	0	0	0	60	103	60	60	19.69	0		0.015900
159	323	31	0	0	60	60	84	60	60	19.37	0		0.019200
160	324	41	0	0	0	120	81	60	60	9.24	0		0.009500
179	361	59	0	0	60	120	81	60	60	2.91	0		0.003000
89	185	27	0	116	60	0	76	60	60	11.09	0		0.012200
136	277	36	0	84	60	60	74	60	60	2.71	0		0.003100
130	262	13	0	81	60	120	74	60	60	13.39	0		0.015100
121	247	14	0	118	0	0	74	60	60	11.58	0		0.013000
163	329	67	0	103	0	60	74	60	60	10.01	0		0.011300
136	276	35	0	81	0	120	67	60	60	16.26	0		0.020200
172	350	44	0	0	120	0	57	49	59	1.74	0		0.003100
197	397	44	0	0	120	59	57	49	59	1.74	0		0.003100
159	322	22	0	0	120	118	59	48	56	3.47	0		0.006100
184	372	60	0	57	120	0	54	36	60	1.90	0		0.004900
130	264	48	1	111	120	0	47	58	42	3.73	0		0.006800
188	377	48	1	111	120	42	47	58	42	3.73	0		0.006800
130	263	33	0	111	120	84	58	40	47	4.69	0		0.010100
163	328	33	0	111	120	131	58	40	47	4.69	0		0.010100
6	13	68	0	192	0	0	55	55	32	4.36	0		0.007200
77	162	97	0	57	120	60	40	36	44	4.23	0		0.014700
121	248	55	0	169	120	0	52	51	36	1.80	0		0.003400
179	360	55	0	169	120	36	52	51	36	1.80	0		0.003400
155	316	26	0	158	60	60	44	45	45	1.73	0		0.004400
118	240	26	0	158	60	105	44	45	45	1.73	0		0.004400
199	399	89	0	169	120	72	50	41	42	2.90	0		0.007100
26	56	95	0	158	60	150	40	55	38	1.67	0		0.003800
193	388	88	1	148	0	120	57	29	47	2.84	0		0.008600
118	239	15	0	169	120	114	29	46	53	4.80	0		0.018000
6	12	11	0	192	55	0	58	60	20	4.58	0		0.006600
12	27	4	0	192	0	32	52	31	42	2.48	0		0.007700
155	315	9	0	192	0	74	42	33	48	1.77	0		0.006400
121	246	9	0	192	0	122	42	33	48	1.77	0		0.006400
111	225	66	1	192	33	32	25	45	57	4.93	0		0.021900
143	293	68	0	192	58	20	55	55	32	4.36	0		0.007200
118	241	97	0	221	120	0	40	36	44	4.23	0		0.014700
193	389	97	0	221	113	44	40	36	44	4.23	0		0.014700
111	226	97	0	221	113	88	40	36	44	4.23	0		0.014700
26	55	40	1	247	0	0	36	58	30	3.88	0		0.009300
148	302	38	1	247	0	30	41	52	29	3.59	0		0.008400
57	116	74	0	221	113	132	37	39	42	4.48	0		0.015500
188	378	81	0	192	33	89	45	22	59	3.91	0		0.019800
41	86	81	1	198	120	114	45	22	59	3.91	0		0.019800
77	161	50	0	244	0	59	56	20	48	2.31	0		0.010300
197	396	23	0	244	20	59	42	25	49	2.18	0		0.010400
169	345	87	0	192	33	148	58	20	42	4.52	0		0.019500
179	362	100	0	250	55	0	46	40	25	2.29	0		0.006200
184	371	47	0	244	20	108	50	25	36	2.65	0		0.010600
