Name:				21_Manual_n50_m300_bt10_1
Problem:			3L-VRPTW
Number_of_used_Vehicles:	4
Total_Travel_Distance:		89.0361
Total_Unloading_Effort:		39.09
Total_Travel_Time:		385.171
Calculation_Time:			3600
Total_Iterations:		418
ConstraintSet:			P22

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		15
No_of_Items:			88
Customer_Sequence:		17 15 9 33 27 23 10 46 41 14 36 49 11 48 22 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
22	105	3	0	0	0	0	55	48	55	3.29	0		0.006200
36	188	3	0	0	48	0	55	48	55	3.29	0		0.006200
9	36	3	0	0	96	0	55	48	55	3.29	0		0.006200
36	189	3	0	0	0	55	55	48	55	3.29	0		0.006200
27	138	3	0	0	48	55	55	48	55	3.29	0		0.006200
23	114	3	0	0	96	55	55	48	55	3.29	0		0.006200
10	39	3	0	0	0	110	55	48	55	3.29	0		0.006200
41	228	3	0	0	48	110	55	48	55	3.29	0		0.006200
41	229	3	0	0	96	110	55	48	55	3.29	0		0.006200
11	44	6	0	55	0	0	48	41	57	1.32	0		0.003400
22	106	6	0	55	41	0	48	41	57	1.32	0		0.003400
14	64	6	0	55	82	0	48	41	57	1.32	0		0.003400
41	231	6	0	55	123	0	48	41	57	1.32	0		0.003400
41	232	6	0	55	0	57	48	41	57	1.32	0		0.003400
46	264	6	0	55	41	57	48	41	57	1.32	0		0.003400
14	62	2	0	0	144	0	51	22	27	1.66	0		0.007400
27	139	6	0	55	82	57	48	41	57	1.32	0		0.003400
9	37	6	0	55	123	57	48	41	57	1.32	0		0.003400
15	69	6	0	55	0	114	48	41	57	1.32	0		0.003400
48	285	6	0	55	41	114	48	41	57	1.32	0		0.003400
22	107	6	0	55	82	114	48	41	57	1.32	0		0.003400
17	78	1	0	55	123	114	57	31	42	2.45	0		0.006900
49	290	1	0	103	0	0	57	31	42	2.45	0		0.006900
27	136	1	0	103	31	0	57	31	42	2.45	0		0.006900
48	282	1	0	103	62	0	57	31	42	2.45	0		0.006900
48	281	1	0	103	93	0	57	31	42	2.45	0		0.006900
41	230	5	0	103	124	0	31	45	52	4.08	0		0.014600
49	293	5	0	103	0	42	31	45	52	4.08	0		0.014600
48	284	5	0	103	45	42	31	45	52	4.08	0		0.014600
33	171	5	1	103	90	42	31	45	52	4.08	0		0.014600
46	263	5	0	103	124	52	31	45	52	4.08	0		0.014600
27	140	8	0	134	124	0	49	47	31	4.57	0		0.009900
41	234	8	0	134	124	31	49	47	31	4.57	0		0.009900
10	42	8	0	134	121	62	49	47	31	4.57	0		0.009900
17	81	8	0	134	121	93	49	47	31	4.57	0		0.009900
27	141	8	0	134	121	124	49	47	31	4.57	0		0.009900
22	109	8	0	134	121	155	49	47	31	4.57	0		0.009900
9	38	8	0	160	0	0	49	47	31	4.57	0		0.009900
17	80	8	0	160	47	0	49	47	31	4.57	0		0.009900
49	295	8	0	160	0	31	49	47	31	4.57	0		0.009900
36	192	8	0	160	47	31	49	47	31	4.57	0		0.009900
27	143	10	0	103	0	94	40	30	57	2.99	0		0.012500
41	236	10	0	103	30	94	40	30	57	2.99	0		0.012500
46	267	10	0	103	60	94	40	30	57	2.99	0		0.012500
48	289	10	0	103	90	94	40	30	57	2.99	0		0.012500
11	43	4	1	0	144	27	20	39	51	4.16	0		0.026600
23	116	4	1	0	144	78	20	39	51	4.16	0		0.026600
46	266	9	0	148	0	62	60	45	51	2.94	1		0.001100
49	291	4	1	0	144	129	20	39	51	4.16	0		0.026600
48	283	4	0	134	45	42	20	39	51	4.16	0		0.026600
36	190	4	0	160	47	62	20	39	51	4.16	0		0.026600
49	292	4	0	160	47	113	20	39	51	4.16	0		0.026600
33	170	4	0	180	45	62	20	39	51	4.16	0		0.026600
36	187	2	0	55	123	156	51	22	27	1.66	0		0.007400
9	35	2	0	103	0	151	51	22	27	1.66	0		0.007400
27	137	2	0	103	22	151	51	22	27	1.66	0		0.007400
46	265	6	0	183	124	0	48	41	57	1.32	0		0.003400
46	262	2	0	103	44	151	51	22	27	1.66	0		0.007400
46	261	2	0	103	66	151	51	22	27	1.66	0		0.007400
14	63	2	0	103	88	151	51	22	27	1.66	0		0.007400
15	68	2	0	160	94	0	51	22	27	1.66	0		0.007400
17	79	2	0	160	94	27	51	22	27	1.66	0		0.007400
23	117	7	0	0	0	165	37	31	25	2.68	0		0.011700
48	288	7	0	0	31	165	37	31	25	2.68	0		0.011700
49	294	7	0	0	62	165	37	31	25	2.68	0		0.011700
22	108	7	0	0	93	165	37	31	25	2.68	0		0.011700
11	45	7	0	183	124	57	37	31	25	2.68	0		0.011700
23	119	7	0	183	124	82	37	31	25	2.68	0		0.011700
48	286	7	0	183	124	107	37	31	25	2.68	0		0.011700
14	65	7	0	183	124	132	37	31	25	2.68	0		0.011700
48	287	7	0	183	124	157	37	31	25	2.68	0		0.011700
41	233	7	0	209	0	0	37	31	25	2.68	0		0.011700
36	191	7	0	209	31	0	37	31	25	2.68	0		0.011700
10	40	7	0	209	62	0	37	31	25	2.68	0		0.011700
10	41	7	0	209	0	25	37	31	25	2.68	0		0.011700
23	118	7	0	209	31	25	37	31	25	2.68	0		0.011700
22	112	9	0	154	0	113	60	45	51	2.94	1		0.001100
27	142	9	1	209	0	50	60	45	51	2.94	1		0.001100
22	113	9	0	231	124	0	60	45	51	2.94	1		0.001100
23	115	4	1	160	94	54	20	39	51	4.16	0		0.026600
14	67	9	0	231	124	51	60	45	51	2.94	1		0.001100
41	235	9	0	231	124	102	60	45	51	2.94	1		0.001100
22	110	9	0	246	62	0	60	45	51	2.94	1		0.001100
15	70	9	0	246	62	51	60	45	51	2.94	1		0.001100
11	46	9	0	246	62	102	60	45	51	2.94	1		0.001100
22	111	9	1	254	0	0	60	45	51	2.94	1		0.001100
14	66	9	1	254	0	51	60	45	51	2.94	1		0.001100
23	120	9	1	254	0	102	60	45	51	2.94	1		0.001100


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		16
No_of_Items:			86
Customer_Sequence:		37 34 44 1 5 26 31 50 4 30 24 18 43 25 2 28 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
37	194	1	0	0	0	0	57	31	42	2.45	0		0.006900
28	146	3	0	0	31	0	55	48	55	3.29	0		0.006200
28	147	3	0	0	79	0	55	48	55	3.29	0		0.006200
31	159	3	0	0	31	55	55	48	55	3.29	0		0.006200
2	5	3	0	0	79	55	55	48	55	3.29	0		0.006200
31	160	3	0	0	31	110	55	48	55	3.29	0		0.006200
18	83	3	0	0	79	110	55	48	55	3.29	0		0.006200
50	297	3	0	55	31	0	55	48	55	3.29	0		0.006200
50	298	3	0	55	79	0	55	48	55	3.29	0		0.006200
37	196	6	0	0	127	0	48	41	57	1.32	0		0.003400
44	249	6	0	0	127	57	48	41	57	1.32	0		0.003400
43	247	6	0	0	127	114	48	41	57	1.32	0		0.003400
24	124	6	0	48	127	0	48	41	57	1.32	0		0.003400
24	125	6	0	48	127	57	48	41	57	1.32	0		0.003400
2	7	6	0	48	127	114	48	41	57	1.32	0		0.003400
30	155	6	0	55	31	55	48	41	57	1.32	0		0.003400
4	16	3	0	55	72	55	55	48	55	3.29	0		0.006200
4	18	8	0	55	72	110	49	47	31	4.57	0		0.009900
37	193	1	0	0	0	42	57	31	42	2.45	0		0.006900
30	152	1	0	0	0	84	57	31	42	2.45	0		0.006900
4	15	1	0	0	0	126	57	31	42	2.45	0		0.006900
18	82	1	0	55	31	112	57	31	42	2.45	0		0.006900
5	19	1	0	55	72	141	57	31	42	2.45	0		0.006900
43	243	1	0	57	0	0	57	31	42	2.45	0		0.006900
25	128	1	0	57	0	42	57	31	42	2.45	0		0.006900
28	144	1	0	57	0	84	57	31	42	2.45	0		0.006900
31	162	5	1	57	0	126	31	45	52	4.08	0		0.014600
1	1	5	0	96	127	0	31	45	52	4.08	0		0.014600
2	6	5	0	96	127	52	31	45	52	4.08	0		0.014600
26	131	8	0	110	31	0	49	47	31	4.57	0		0.009900
26	132	8	0	110	78	0	49	47	31	4.57	0		0.009900
37	195	1	0	110	31	31	57	31	42	2.45	0		0.006900
4	17	8	0	110	62	31	49	47	31	4.57	0		0.009900
26	133	8	0	110	62	62	49	47	31	4.57	0		0.009900
26	134	8	0	110	62	93	49	47	31	4.57	0		0.009900
30	157	8	0	127	127	0	49	47	31	4.57	0		0.009900
28	148	8	0	127	109	31	49	47	31	4.57	0		0.009900
37	197	8	0	127	109	62	49	47	31	4.57	0		0.009900
18	87	8	0	127	109	93	49	47	31	4.57	0		0.009900
37	202	10	1	96	120	104	40	30	57	2.99	0		0.012500
34	177	10	0	114	0	0	40	30	57	2.99	0		0.012500
37	201	10	0	114	0	57	40	30	57	2.99	0		0.012500
24	127	10	0	114	0	114	40	30	57	2.99	0		0.012500
44	252	10	0	127	109	124	40	30	57	2.99	0		0.012500
30	158	10	0	154	0	0	40	30	57	2.99	0		0.012500
31	164	10	0	154	0	57	40	30	57	2.99	0		0.012500
18	84	4	1	126	139	124	20	39	51	4.16	0		0.026600
43	245	4	1	154	0	114	20	39	51	4.16	0		0.026600
44	248	4	0	159	62	0	20	39	51	4.16	0		0.026600
43	246	4	0	159	62	51	20	39	51	4.16	0		0.026600
31	161	4	0	159	62	102	20	39	51	4.16	0		0.026600
18	85	4	0	176	127	0	20	39	51	4.16	0		0.026600
24	123	4	0	176	127	51	20	39	51	4.16	0		0.026600
34	174	4	0	176	127	102	20	39	51	4.16	0		0.026600
1	4	9	0	179	30	0	60	45	51	2.94	1		0.001100
34	173	2	0	55	31	154	51	22	27	1.66	0		0.007400
28	145	2	1	96	120	161	51	22	27	1.66	0		0.007400
43	244	2	0	103	31	73	51	22	27	1.66	0		0.007400
26	129	2	0	179	75	0	51	22	27	1.66	0		0.007400
24	121	2	0	179	97	0	51	22	27	1.66	0		0.007400
24	122	2	0	179	75	27	51	22	27	1.66	0		0.007400
30	153	2	0	179	97	27	51	22	27	1.66	0		0.007400
30	154	2	0	179	75	54	51	22	27	1.66	0		0.007400
50	296	2	0	179	97	54	51	22	27	1.66	0		0.007400
30	156	7	0	0	31	165	37	31	25	2.68	0		0.011700
2	8	7	0	0	62	165	37	31	25	2.68	0		0.011700
2	9	7	0	0	93	165	37	31	25	2.68	0		0.011700
18	86	7	0	179	75	81	37	31	25	2.68	0		0.011700
24	126	7	0	179	75	106	37	31	25	2.68	0		0.011700
26	130	7	0	179	75	131	37	31	25	2.68	0		0.011700
44	250	7	0	179	75	156	37	31	25	2.68	0		0.011700
50	299	7	0	196	127	0	37	31	25	2.68	0		0.011700
1	3	7	1	196	119	25	37	31	25	2.68	0		0.011700
1	2	7	0	196	119	50	37	31	25	2.68	0		0.011700
34	172	2	0	194	0	0	51	22	27	1.66	0		0.007400
5	20	9	0	179	30	51	60	45	51	2.94	1		0.001100
37	200	9	0	179	30	102	60	45	51	2.94	1		0.001100
37	199	9	0	233	75	0	60	45	51	2.94	1		0.001100
37	198	9	0	233	120	0	60	45	51	2.94	1		0.001100
5	21	9	0	233	75	51	60	45	51	2.94	1		0.001100
31	163	9	0	233	120	51	60	45	51	2.94	1		0.001100
50	300	9	0	233	75	102	60	45	51	2.94	1		0.001100
34	176	9	0	233	120	102	60	45	51	2.94	1		0.001100
34	175	9	0	239	22	0	60	45	51	2.94	1		0.001100
26	135	9	0	239	22	51	60	45	51	2.94	1		0.001100
44	251	9	0	239	22	102	60	45	51	2.94	1		0.001100


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			3
No_of_Customers:		7
