Name:				5_Manual_n50_m100_bt10_5
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		60.5431
Total_Unloading_Effort:		12.054
Total_Travel_Time:		322.86
Calculation_Time:			2103.99
Total_Iterations:		8170
ConstraintSet:			P22

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		50
No_of_Items:			100
Customer_Sequence:		45 40 4 26 34 2 11 23 43 24 48 17 50 46 37 15 38 20 35 12 31 33 49 6 41 25 27 18 47 13 14 22 16 1 5 32 44 29 42 7 9 30 19 21 39 28 36 10 3 8 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
3	4	1	0	0	0	0	85	60	60	21.64	0		0.021200
29	56	1	0	0	60	0	85	60	60	21.64	0		0.021200
44	87	1	0	0	0	60	85	60	60	21.64	0		0.021200
32	61	1	0	0	60	60	85	60	60	21.64	0		0.021200
22	45	1	0	0	0	120	85	60	60	21.64	0		0.021200
13	23	1	0	0	60	120	85	60	60	21.64	0		0.021200
49	94	1	0	85	0	0	85	60	60	21.64	0		0.021200
24	49	6	0	0	120	0	50	21	37	1.70	0		0.008100
36	67	1	0	85	60	0	85	60	60	21.64	0		0.021200
50	96	5	0	0	141	0	46	32	57	1.53	0		0.005200
40	80	5	0	0	141	57	46	32	57	1.53	0		0.005200
4	6	2	1	0	141	114	25	51	29	1.19	0		0.004700
22	46	5	0	46	141	0	46	32	57	1.53	0		0.005200
14	28	5	0	46	141	57	46	32	57	1.53	0		0.005200
18	36	5	0	51	141	114	46	32	57	1.53	0		0.005200
21	42	5	0	85	0	60	46	32	57	1.53	0		0.005200
50	97	5	0	85	32	60	46	32	57	1.53	0		0.005200
18	37	9	0	85	64	60	53	33	35	2.77	0		0.007900
11	19	9	0	85	64	95	53	33	35	2.77	0		0.007900
49	95	9	0	85	0	117	53	33	35	2.77	0		0.007900
23	48	9	0	85	64	130	53	33	35	2.77	0		0.007900
38	74	9	0	85	0	152	53	33	35	2.77	0		0.007900
5	8	9	0	92	120	0	53	33	35	2.77	0		0.007900
2	3	9	0	92	120	35	53	33	35	2.77	0		0.007900
25	51	9	0	92	120	70	53	33	35	2.77	0		0.007900
19	38	9	1	131	0	60	53	33	35	2.77	0		0.007900
9	14	9	1	138	64	60	53	33	35	2.77	0		0.007900
21	44	9	1	138	0	95	53	33	35	2.77	0		0.007900
7	11	9	1	138	53	95	53	33	35	2.77	0		0.007900
20	41	10	1	85	33	117	30	33	48	4.47	0		0.022600
13	26	10	0	138	0	130	30	33	48	4.47	0		0.022600
46	90	10	0	138	33	130	30	33	48	4.47	0		0.022600
27	54	10	0	138	66	130	30	33	48	4.47	0		0.022600
9	15	10	0	145	120	0	30	33	48	4.47	0		0.022600
8	12	10	0	145	120	48	30	33	48	4.47	0		0.022600
