Name:				6_Manual_n50_m100_bt100_1
Problem:			3L-VRPTW
Number_of_used_Vehicles:	2
Total_Travel_Distance:		65.6645
Total_Unloading_Effort:		13.056
Total_Travel_Time:		328.72
Calculation_Time:			2501.63
Total_Iterations:		8187
ConstraintSet:			P22

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		30
No_of_Items:			51
Customer_Sequence:		3 22 45 31 14 7 25 26 34 37 46 17 12 18 32 29 41 48 42 13 50 43 1 15 47 24 23 44 8 30 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
42	85	43	0	0	0	0	119	60	60	6.62	0		0.004600
23	45	24	0	0	60	0	114	60	60	12.76	0		0.009300
25	49	6	0	0	0	60	112	60	60	16.69	0		0.012400
14	24	2	0	0	60	60	108	60	60	16.03	0		0.012400
1	1	2	0	0	0	120	108	60	60	16.03	0		0.012400
24	47	20	0	0	60	120	76	60	60	21.11	0		0.023100
43	89	90	0	114	60	0	69	60	60	19.29	0		0.023300
44	90	45	0	0	120	0	58	49	50	3.81	0		0.006700
26	52	51	0	0	120	50	46	54	57	1.52	0		0.003100
50	99	51	0	0	120	107	46	54	57	1.52	0		0.003100
43	87	18	1	58	120	0	41	60	45	1.35	0		0.002700
17	30	18	1	58	120	45	41	60	45	1.35	0		0.002700
46	92	47	0	58	120	90	39	46	59	2.29	0		0.006400
18	33	95	1	76	60	120	58	33	52	1.27	0		0.003300
34	70	10	0	58	120	149	50	47	41	4.35	0		0.009300
7	12	8	0	108	60	60	47	57	33	3.25	0		0.006100
1	2	56	0	118	120	0	37	43	55	3.40	0		0.010700
14	25	15	0	119	0	0	56	24	60	3.99	0		0.014800
31	61	15	0	112	0	60	56	24	60	3.99	0		0.014800
18	31	19	0	155	120	0	53	43	35	1.45	0		0.003200
3	4	4	1	108	0	120	30	47	55	4.85	0		0.017200
32	65	82	0	118	120	55	42	42	43	2.59	0		0.007400
31	62	16	0	108	60	93	58	58	21	1.82	0		0.002700
15	26	16	0	175	0	0	58	58	21	1.82	0		0.002700
48	95	49	0	118	120	98	43	43	37	1.55	0		0.004200
15	27	49	0	118	120	135	43	43	37	1.55	0		0.004200
45	91	46	0	119	24	0	48	36	39	4.58	0		0.013300
42	86	46	0	119	24	39	48	36	39	4.58	0		0.013300
12	21	13	0	160	120	35	42	38	40	4.90	0		0.015300
