Name:				6_Manual_n50_m100_bt100_1
Problem:			3L-VRPTW
Number_of_used_Vehicles:	2
Total_Travel_Distance:		66.4049
Total_Unloading_Effort:		13.236
Total_Travel_Time:		329.641
Calculation_Time:			3600
Total_Iterations:		12501
ConstraintSet:			P22

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		19
No_of_Items:			47
Customer_Sequence:		2 10 36 9 11 4 49 20 33 19 21 35 28 38 39 27 6 5 40 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
19	38	99	0	0	0	0	120	60	60	5.99	0		0.004200
36	76	43	0	0	60	0	119	60	60	6.62	0		0.004600
11	20	50	0	0	120	0	39	22	41	4.35	0		0.025400
9	15	20	0	0	0	60	76	60	60	21.11	0		0.023100
19	34	20	0	120	0	0	76	60	60	21.11	0		0.023100
4	9	84	0	196	0	0	59	51	53	2.79	0		0.004600
2	3	3	0	0	60	60	40	55	54	4.53	0		0.010300
10	18	19	0	0	0	120	53	43	35	1.45	0		0.003200
9	14	10	0	39	120	0	50	47	41	4.35	0		0.009300
11	19	12	0	255	0	0	58	33	38	1.90	0		0.005000
4	8	55	0	0	60	114	49	51	29	3.81	0		0.007600
49	96	49	0	0	60	143	43	43	37	1.55	0		0.004200
27	55	65	0	0	142	0	37	31	59	2.91	0		0.012700
9	16	98	0	39	120	41	53	26	42	2.80	0		0.010100
38	78	30	0	0	142	59	32	30	55	3.28	0		0.017100
38	79	39	0	0	0	155	37	41	32	1.86	0		0.006100
39	82	81	0	37	146	41	48	25	38	1.80	0		0.007500
4	5	5	0	0	142	114	30	25	59	2.86	0		0.019100
36	75	37	1	39	120	83	31	48	26	4.35	0		0.014600
6	11	7	0	0	120	41	31	20	60	2.30	0		0.018500
49	97	50	0	32	151	79	39	22	41	4.35	0		0.025400
20	40	21	0	76	0	60	97	60	60	5.00	0		0.004300
10	17	11	1	39	120	109	27	36	24	2.59	0		0.013300
4	7	42	1	32	151	120	23	33	20	3.57	0		0.023500
27	54	62	0	40	60	60	40	57	32	1.68	1		0.000700
36	74	9	0	0	115	101	25	21	33	4.51	0		0.043000
21	42	74	0	32	151	140	35	20	29	3.18	0		0.022700
27	53	28	0	0	111	134	25	22	26	3.38	0		0.030800
28	58	40	0	53	0	120	120	60	60	14.58	1		0.002000
39	81	40	0	119	60	0	120	60	60	14.58	1		0.002000
27	56	74	0	39	120	133	35	20	29	3.18	0		0.022700
33	69	60	0	80	60	60	55	44	33	4.95	1		0.002000
33	68	60	0	80	60	93	55	44	33	4.95	1		0.002000
35	73	36	0	135	60	60	114	60	60	18.58	1		0.002700
4	6	14	0	135	60	120	85	60	60	18.28	1		0.003600
38	80	47	0	92	120	0	39	46	59	2.29	0		0.006400
20	39	10	0	92	120	59	50	47	41	4.35	0		0.009300
49	98	100	0	87	120	100	43	44	49	1.32	0		0.003500
28	57	29	0	131	120	0	27	54	58	3.57	0		0.012200
33	67	58	0	158	120	0	43	38	53	2.55	0		0.007800
19	37	70	1	158	120	53	27	55	57	4.45	0		0.015000
19	35	56	0	196	0	53	37	43	55	3.40	0		0.010700
19	36	66	0	196	0	108	38	51	52	4.43	0		0.011400
33	66	34	1	158	120	110	27	57	50	4.95	0		0.016100
5	10	6	1	239	51	0	112	60	60	16.69	0		0.012400
21	41	22	1	249	60	60	82	60	60	2.04	0		0.002100
40	83	41	0	249	60	120	61	60	60	17.58	0		0.024000


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		31
No_of_Items:			53
Customer_Sequence:		16 30 8 23 24 47 15 1 43 50 13 42 48 44 32 41 29 18 12 17 37 34 25 7 26 46 14 31 45 22 3 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
42	85	43	0	0	0	0	119	60	60	6.62	0		0.004600
23	45	24	0	0	60	0	114	60	60	12.76	0		0.009300
1	1	2	0	0	0	60	108	60	60	16.03	0		0.012400
24	47	20	0	0	0	120	76	60	60	21.11	0		0.023100
43	89	90	0	119	0	0	69	60	60	19.29	0		0.023300
16	28	17	0	0	60	60	69	60	60	16.57	0		0.020000
44	90	45	0	0	120	0	58	49	50	3.81	0		0.006700
50	99	51	0	0	120	50	46	54	57	1.52	0		0.003100
43	87	18	1	0	120	107	41	60	45	1.35	0		0.002700
1	2	56	0	60	120	0	37	43	55	3.40	0		0.010700
16	29	19	0	0	60	120	53	43	35	1.45	0		0.003200
18	31	19	0	0	120	152	53	43	35	1.45	0		0.003200
3	4	4	0	60	120	55	30	47	55	4.85	0		0.017200
32	65	82	0	69	60	60	42	42	43	2.59	0		0.007400
31	62	16	0	108	0	60	58	58	21	1.82	0		0.002700
15	26	16	0	108	0	81	58	58	21	1.82	0		0.002700
48	95	49	0	69	60	103	43	43	37	1.55	0		0.004200
15	27	49	0	69	60	140	43	43	37	1.55	0		0.004200
42	86	46	1	60	120	110	48	36	39	4.58	0		0.013300
45	91	46	0	60	120	149	48	36	39	4.58	0		0.013300
12	21	13	0	76	0	120	42	38	40	4.90	0		0.015300
34	72	35	0	97	120	0	57	28	36	4.06	0		0.012700
12	22	57	0	0	60	155	57	31	30	2.81	0		0.007900
29	59	30	0	97	120	36	32	30	55	3.28	0		0.017100
47	93	48	0	114	60	0	46	29	38	3.86	0		0.014500
37	77	38	1	114	60	38	35	40	33	1.77	0		0.006300
50	100	81	0	114	89	0	48	25	38	1.80	0		0.007500
18	32	80	0	76	0	160	55	28	27	2.69	0		0.008700
24	48	25	1	97	150	0	23	30	57	3.36	0		0.024300
32	64	33	1	114	95	38	24	49	31	3.02	0		0.012800
25	50	26	0	118	0	102	57	30	21	3.28	0		0.009600
26	51	27	1	97	150	57	23	25	56	1.41	0		0.012300
22	43	23	1	111	95	69	23	46	27	2.96	0		0.014000
43	88	44	0	97	120	91	23	26	33	1.96	0		0.016400
22	44	44	1	97	150	113	23	26	33	1.96	0		0.016400
24	46	9	0	76	38	120	25	21	33	4.51	0		0.043000
8	13	9	0	76	38	153	25	21	33	4.51	0		0.043000
