Name:				83_Manual_n150_m300_bt10_3
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		133.862
Total_Unloading_Effort:		33.756
Total_Travel_Time:		927.695
Calculation_Time:			3600
Total_Iterations:		132
ConstraintSet:			P22

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		33
No_of_Items:			63
Customer_Sequence:		54 29 104 50 99 68 127 90 147 13 20 6 71 146 148 36 59 30 70 118 78 149 39 132 12 35 41 109 80 126 75 52 76 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
127	250	1	0	0	0	0	115	60	60	6.55	0		0.004700
99	195	1	0	0	60	0	115	60	60	6.55	0		0.004700
54	107	1	0	0	0	60	115	60	60	6.55	0		0.004700
36	74	1	0	0	60	60	115	60	60	6.55	0		0.004700
13	25	1	0	0	0	120	115	60	60	6.55	0		0.004700
59	119	1	0	0	60	120	115	60	60	6.55	0		0.004700
70	138	1	0	115	0	0	115	60	60	6.55	0		0.004700
39	81	6	0	115	60	0	75	60	60	15.41	0		0.017100
78	153	6	0	115	0	60	75	60	60	15.41	0		0.017100
6	13	6	0	115	60	60	75	60	60	15.41	0		0.017100
70	139	6	0	115	0	120	75	60	60	15.41	0		0.017100
41	83	6	0	115	60	120	75	60	60	15.41	0		0.017100
36	76	6	0	190	60	0	75	60	60	15.41	0		0.017100
75	145	6	0	190	60	60	75	60	60	15.41	0		0.017100
147	293	6	0	190	60	120	75	60	60	15.41	0		0.017100
68	133	7	1	0	120	0	54	59	57	4.54	0		0.007100
75	146	7	1	0	120	57	54	59	57	4.54	0		0.007100
148	295	10	0	0	120	114	60	44	51	1.83	0		0.003500
50	98	10	0	59	120	0	60	44	51	1.83	0		0.003500
29	60	10	0	59	120	51	60	44	51	1.83	0		0.003500
29	61	10	0	119	120	0	60	44	51	1.83	0		0.003500
109	216	10	0	119	120	51	60	44	51	1.83	0		0.003500
29	62	10	0	119	120	102	60	44	51	1.83	0		0.003500
146	290	2	0	179	120	0	39	46	47	2.40	0		0.006700
6	11	2	0	179	120	47	39	46	47	2.40	0		0.006700
30	63	2	0	179	120	94	39	46	47	2.40	0		0.006700
126	248	2	0	179	120	141	39	46	47	2.40	0		0.006700
76	147	4	0	190	0	60	52	20	42	1.20	0		0.005800
20	44	4	0	190	20	60	52	20	42	1.20	0		0.005800
90	178	4	0	190	40	60	52	20	42	1.20	0		0.005800
54	108	4	0	190	0	102	52	20	42	1.20	0		0.005800
149	296	4	0	190	20	102	52	20	42	1.20	0		0.005800
35	73	4	0	190	40	102	52	20	42	1.20	0		0.005800
50	97	8	0	190	0	144	34	27	38	3.82	0		0.020800
126	249	8	0	190	27	144	34	27	38	3.82	0		0.020800
68	134	8	0	218	120	0	34	27	38	3.82	0		0.020800
12	24	8	0	218	147	0	34	27	38	3.82	0		0.020800
118	233	5	0	119	120	153	22	50	29	1.62	0		0.007400
76	148	5	0	141	120	153	22	50	29	1.62	0		0.007400
