Name:				103_Manual_n200_m300_bt10_3_255
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		69.61
Calculation_Time:		0.70
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		13
No_of_Items:			19
Customer_Sequence:		19 3 1 10 4 20 9 17 14 13 7 15 18 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
18	23	10	0	0	0	0	52	38	45	3.99	0		0.010100
15	18	6	0	0	38	0	89	60	60	9.73	0		0.009100
15	17	3	0	0	98	0	59	26	27	2.56	0		0.008300
7	8	5	0	0	38	60	113	60	60	6.96	0		0.005100
7	9	9	0	0	124	0	29	28	20	4.85	0		0.029900
13	15	5	0	0	38	120	113	60	60	6.96	0		0.005100
14	16	7	0	59	98	0	84	60	60	17.24	1		0.003400
17	22	6	0	113	0	0	89	60	60	9.73	0		0.009100
17	21	2	0	0	0	45	53	33	47	3.91	0		0.011200
9	11	1	0	113	0	60	116	60	60	5.62	1		0.000800
20	25	4	0	143	98	0	84	60	60	21.53	0		0.021400
20	27	10	0	113	60	0	52	38	45	3.99	0		0.010100
20	26	9	0	113	60	45	29	28	20	4.85	0		0.029900
4	5	6	0	143	98	60	89	60	60	9.73	0		0.009100
4	4	2	0	143	98	120	53	33	47	3.91	0		0.011200
10	12	1	0	113	0	120	116	60	60	5.62	1		0.000800
1	1	9	0	113	60	65	29	28	20	4.85	0		0.029900
3	3	1	1	232	0	0	116	60	60	5.62	1		0.000800
19	24	2	0	143	131	120	53	33	47	3.91	0		0.011200


