Name:				105_Manual_n200_m300_bt10_5_107
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		76.28
Calculation_Time:		0.37
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		14
No_of_Items:			19
Customer_Sequence:		8 17 6 2 16 10 23 14 9 13 18 12 19 3 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
3	4	7	0	0	0	0	103	60	60	17.28	0		0.014000
3	3	5	0	0	60	0	29	21	23	4.69	0		0.038500
19	24	9	0	0	81	0	92	60	60	15.08	0		0.013700
12	15	7	0	0	0	60	103	60	60	17.28	0		0.014000
12	16	9	0	0	81	60	92	60	60	15.08	0		0.013700
18	22	2	1	0	0	120	44	59	44	4.19	0		0.008100
18	23	10	0	0	81	120	44	45	53	2.90	0		0.007300
13	17	7	0	92	60	0	103	60	60	17.28	0		0.014000
9	10	10	0	59	0	120	44	45	53	2.90	0		0.007300
14	18	7	0	92	60	60	103	60	60	17.28	0		0.014000
23	32	9	0	92	60	120	92	60	60	15.08	0		0.013700
23	31	4	0	0	141	0	35	24	55	2.08	0		0.012400
23	30	1	1	0	141	55	25	43	29	1.03	0		0.004800
10	11	9	0	103	0	0	92	60	60	15.08	0		0.013700
16	20	1	1	0	141	84	25	43	29	1.03	0		0.004800
2	2	7	0	103	0	60	103	60	60	17.28	0		0.014000
6	7	9	0	103	0	120	92	60	60	15.08	0		0.013700
17	21	10	0	92	120	0	44	45	53	2.90	0		0.007300
8	9	2	1	136	120	0	44	59	44	4.19	0		0.008100


