Name:				37_Manual_n50_m400_bt100_2_465
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		26.81
Calculation_Time:		0.84
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		3
No_of_Items:			29
Customer_Sequence:		31 26 10 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
10	61	9	0	0	0	0	120	60	60	3.30	0		0.002300
10	62	24	0	0	60	0	81	60	60	13.33	0		0.013700
10	66	69	0	0	120	0	35	27	41	2.64	0		0.014000
10	60	8	0	0	147	0	42	26	26	1.34	0		0.006100
10	64	33	1	0	147	26	23	36	26	2.55	0		0.015400
10	65	33	1	0	120	41	23	36	26	2.55	0		0.015400
10	63	31	0	0	147	52	22	21	22	1.32	0		0.014300
26	194	42	0	0	0	60	99	60	60	20.55	0		0.017300
26	196	98	0	0	60	60	65	60	60	2.21	0		0.002800
26	188	4	0	0	60	120	60	60	60	5.44	0		0.007600
26	195	93	1	42	120	0	53	55	47	1.30	0		0.002200
26	189	23	1	36	120	47	34	57	44	2.08	0		0.005400
26	190	23	1	36	120	91	34	57	44	2.08	0		0.005400
26	193	39	0	36	120	135	40	35	36	4.75	0		0.017000
26	187	3	0	60	0	120	41	31	39	3.84	0		0.015100
26	192	32	0	81	60	0	32	58	25	2.11	0		0.005700
26	191	26	1	81	60	25	57	22	47	1.62	1		0.001300
31	239	94	0	113	60	0	96	60	60	8.65	0		0.007500
31	235	58	0	113	60	60	95	60	60	5.37	0		0.004700
31	230	18	0	113	60	120	84	60	60	1.26	0		0.001300
31	238	68	0	120	0	0	74	60	60	16.34	0		0.018400
31	240	98	0	101	0	60	65	60	60	2.21	0		0.002800
31	241	98	0	101	0	120	65	60	60	2.21	0		0.002800
31	236	63	1	97	120	0	45	56	60	4.57	0		0.009100
31	232	36	0	60	31	120	33	36	49	1.04	0		0.004400
31	231	35	0	93	120	60	33	29	56	4.90	0		0.025600
31	237	65	1	126	120	60	47	20	34	4.65	0		0.024700
31	233	41	0	93	120	116	22	24	40	4.05	0		0.038400
31	234	53	1	81	60	72	59	28	35	3.22	1		0.001900


