Name:				48_Manual_n100_m200_bt100_3_304
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		44.78
Calculation_Time:		0.97
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		10
No_of_Items:			24
Customer_Sequence:		7 15 3 9 5 1 8 19 4 17 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
17	30	73	0	0	0	0	54	53	50	1.23	0		0.002200
17	33	99	0	0	53	0	35	21	46	3.17	0		0.021600
17	31	75	0	0	74	0	93	60	60	6.18	1		0.001100
17	32	76	1	0	134	0	34	48	45	4.72	1		0.002900
4	5	3	0	54	0	0	109	60	60	15.27	0		0.011700
19	36	9	0	54	0	60	95	60	60	12.85	0		0.011300
19	37	40	0	48	134	0	50	30	41	2.38	0		0.007900
19	38	72	1	48	134	41	27	56	24	4.48	0		0.014800
8	12	5	0	54	0	120	90	60	60	5.24	0		0.004800
8	13	25	0	48	134	65	35	31	39	4.79	0		0.022100
1	1	38	0	93	74	0	102	60	60	9.59	0		0.007800
5	7	37	0	48	134	104	42	29	53	2.64	0		0.010800
5	6	24	0	48	134	157	27	31	23	4.71	0		0.028100
5	8	97	0	163	0	0	33	24	21	3.08	0		0.019400
9	14	19	0	93	74	60	111	60	60	12.54	0		0.009400
9	15	34	0	163	24	0	29	27	30	3.12	0		0.019900
3	4	49	0	93	74	120	116	60	60	21.44	0		0.015400
3	3	37	0	192	24	0	42	29	53	2.64	0		0.010800
15	23	3	1	234	0	0	109	60	60	15.27	0		0.011700
15	26	70	0	209	109	0	37	58	42	3.75	0		0.008700
15	25	25	0	192	24	53	35	31	39	4.79	0		0.022100
15	24	10	0	192	24	92	28	29	52	2.77	1		0.003400
7	10	7	1	234	0	60	97	60	60	13.45	0		0.011600
7	11	81	1	209	109	42	51	37	44	3.36	0		0.008900


