Name:				5_Manual_n50_m100_bt10_5_183
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		163.00
Calculation_Time:		6.21
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		26
No_of_Items:			55
Customer_Sequence:		12 18 17 13 19 23 2 16 4 27 3 5 14 32 26 25 21 8 20 11 7 9 29 24 22 15 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
15	30	7	0	0	0	0	25	50	35	3.66	0		0.014700
15	31	7	0	0	50	0	25	50	35	3.66	0		0.014700
22	45	1	0	0	100	0	85	60	60	21.64	0		0.021200
22	46	5	1	0	0	35	46	32	57	1.53	0		0.005200
24	50	7	0	0	46	35	25	50	35	3.66	0		0.014700
24	49	6	0	0	100	60	50	21	37	1.70	0		0.008100
29	56	1	0	32	0	0	85	60	60	21.64	0		0.021200
29	57	6	0	0	121	60	50	21	37	1.70	0		0.008100
29	58	8	0	0	100	97	45	34	43	4.59	1		0.003000
9	14	9	0	25	60	0	53	33	35	2.77	0		0.007900
9	15	10	0	25	60	35	30	33	48	4.47	0		0.022600
9	13	4	0	0	100	140	41	34	47	2.62	1		0.001900
7	11	9	0	32	0	60	53	33	35	2.77	0		0.007900
7	10	8	0	32	0	95	45	34	43	4.59	1		0.003000
11	19	9	1	50	100	60	53	33	35	2.77	0		0.007900
11	18	2	0	50	100	95	25	51	29	1.19	0		0.004700
20	41	10	0	25	60	83	30	33	48	4.47	0		0.022600
20	39	3	1	50	100	124	52	23	35	1.43	0		0.006000
20	40	6	0	78	60	0	50	21	37	1.70	0		0.008100
8	12	10	0	83	33	60	30	33	48	4.47	0		0.022600
21	42	5	0	85	100	0	46	32	57	1.53	0		0.005200
21	44	9	0	85	132	0	53	33	35	2.77	0		0.007900
21	43	6	0	85	132	35	50	21	37	1.70	0		0.008100
25	51	9	0	117	0	0	53	33	35	2.77	0		0.007900
26	53	10	0	83	33	108	30	33	48	4.47	0		0.022600
26	52	3	0	85	100	57	52	23	35	1.43	0		0.006000
32	61	1	0	137	33	0	85	60	60	21.64	0		0.021200
32	62	6	0	85	132	72	50	21	37	1.70	0		0.008100
14	28	5	0	117	0	35	46	32	57	1.53	0		0.005200
14	27	3	0	85	100	92	52	23	35	1.43	0		0.006000
14	29	8	0	137	93	0	45	34	43	4.59	1		0.003000
5	8	9	0	117	0	92	53	33	35	2.77	0		0.007900
5	7	3	0	85	132	109	52	23	35	1.43	0		0.006000
3	4	1	0	137	33	60	85	60	60	21.64	0		0.021200
3	5	8	0	137	93	43	45	34	43	4.59	1		0.003000
27	54	10	0	117	0	127	30	33	48	4.47	0		0.022600
4	6	2	1	85	100	127	25	51	29	1.19	0		0.004700
16	33	7	1	85	132	144	25	50	35	3.66	0		0.014700
16	32	6	0	137	33	120	50	21	37	1.70	0		0.008100
16	34	8	0	137	93	86	45	34	43	4.59	1		0.003000
2	2	5	0	137	54	120	46	32	57	1.53	0		0.005200
2	3	9	0	138	132	0	53	33	35	2.77	0		0.007900
23	48	9	0	137	127	35	53	33	35	2.77	0		0.007900
23	47	3	0	137	127	70	52	23	35	1.43	0		0.006000
19	38	9	0	170	0	0	53	33	35	2.77	0		0.007900
13	23	1	0	191	93	0	85	60	60	21.64	0		0.021200
13	26	10	1	137	127	105	30	33	48	4.47	0		0.022600
13	24	3	0	170	0	35	52	23	35	1.43	0		0.006000
13	25	6	0	170	0	70	50	21	37	1.70	0		0.008100
17	35	2	1	170	0	107	25	51	29	1.19	0		0.004700
18	36	5	0	183	54	120	46	32	57	1.53	0		0.005200
18	37	9	0	190	93	60	53	33	35	2.77	0		0.007900
12	22	7	1	170	0	136	25	50	35	3.66	0		0.014700
12	20	3	0	182	93	95	52	23	35	1.43	0		0.006000
12	21	6	0	182	93	130	50	21	37	1.70	0		0.008100


