Name:				72_Manual_n150_m200_bt10_2_277
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		201.88
Calculation_Time:		3.61
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		38
No_of_Items:			49
Customer_Sequence:		25 29 20 12 35 26 11 37 18 6 23 24 40 1 33 27 31 9 13 14 5 19 32 21 43 38 7 28 15 4 8 41 16 22 17 34 2 30 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
30	39	6	0	0	0	0	26	26	41	4.82	1		0.007100
2	4	10	0	0	26	0	90	60	60	7.44	0		0.006900
2	3	7	0	0	86	0	48	59	33	4.68	0		0.008300
34	44	9	1	0	145	0	29	52	23	1.50	0		0.005000
17	23	7	0	0	86	33	48	59	33	4.68	0		0.008300
22	30	2	0	0	145	23	49	29	31	2.69	0		0.009500
16	22	10	0	0	26	60	90	60	60	7.44	0		0.006900
16	21	6	0	0	0	41	26	26	41	4.82	1		0.007100
41	52	3	0	0	86	66	45	36	36	2.81	0		0.008700
8	10	5	0	0	26	120	58	39	34	4.54	0		0.010000
4	6	7	1	0	26	154	48	59	33	4.68	0		0.008300
15	20	7	0	48	86	0	48	59	33	4.68	0		0.008300
28	36	2	0	0	145	54	49	29	31	2.69	0		0.009500
28	37	4	0	48	86	33	30	39	36	3.77	0		0.016100
7	9	9	1	0	145	85	29	52	23	1.50	0		0.005000
38	49	9	1	0	86	102	29	52	23	1.50	0		0.005000
43	54	7	0	90	0	0	48	59	33	4.68	0		0.008300
21	28	2	0	0	145	108	49	29	31	2.69	0		0.009500
21	29	9	1	0	86	125	29	52	23	1.50	0		0.005000
32	42	8	0	0	145	139	24	20	31	2.19	0		0.022800
19	25	2	0	0	86	148	49	29	31	2.69	0		0.009500
5	7	3	0	90	0	33	45	36	36	2.81	0		0.008700
14	19	5	0	96	86	0	58	39	34	4.54	0		0.010000
14	18	4	0	52	86	69	30	39	36	3.77	0		0.016100
13	17	10	0	138	0	0	90	60	60	7.44	0		0.006900
9	11	1	0	135	0	60	102	60	60	1.48	0		0.001200
9	13	5	0	96	125	0	58	39	34	4.54	0		0.010000
9	12	3	0	96	86	34	45	36	36	2.81	0		0.008700
31	40	2	0	96	122	34	49	29	31	2.69	0		0.009500
31	41	6	0	90	60	0	26	26	41	4.82	1		0.007100
27	35	9	1	96	122	65	29	52	23	1.50	0		0.005000
33	43	8	0	96	86	70	24	20	31	2.19	0		0.022800
1	1	4	1	96	122	88	30	39	36	3.77	0		0.016100
1	2	4	0	96	122	124	30	39	36	3.77	0		0.016100
40	51	3	0	154	60	0	45	36	36	2.81	0		0.008700
24	32	6	0	154	96	0	26	26	41	4.82	1		0.007100
23	31	6	0	154	122	0	26	26	41	4.82	1		0.007100
6	8	3	0	154	60	36	45	36	36	2.81	0		0.008700
18	24	4	0	154	60	72	30	39	36	3.77	0		0.016100
37	48	9	1	135	0	120	29	52	23	1.50	0		0.005000
37	47	6	0	148	99	41	26	26	41	4.82	1		0.007100
11	15	8	0	154	148	0	24	20	31	2.19	0		0.022800
26	34	9	1	135	29	120	29	52	23	1.50	0		0.005000
35	45	3	0	180	122	0	45	36	36	2.81	0		0.008700
12	16	1	0	199	60	0	102	60	60	1.48	0		0.001200
20	27	5	0	135	0	143	58	39	34	4.54	0		0.010000
20	26	2	0	180	122	36	49	29	31	2.69	0		0.009500
29	38	3	0	180	122	67	45	36	36	2.81	0		0.008700
25	33	10	0	199	60	60	90	60	60	7.44	0		0.006900


