Name:				74_Manual_n150_m200_bt10_4_5
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		314.64
Calculation_Time:		9.19
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		58
No_of_Items:			78
Customer_Sequence:		9 36 23 62 48 46 5 53 45 51 14 20 19 18 7 47 4 34 26 54 8 27 55 61 38 1 16 41 50 3 59 29 42 28 11 31 37 49 33 25 21 24 40 58 17 52 43 60 35 10 22 44 6 39 30 15 57 12 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
12	16	3	0	0	0	0	22	32	22	4.19	0		0.029700
57	73	1	0	0	32	0	20	39	45	2.90	0		0.018600
57	74	3	0	0	71	0	22	32	22	4.19	0		0.029700
57	75	3	0	0	103	0	22	32	22	4.19	0		0.029700
15	20	8	0	0	135	0	54	36	40	1.36	0		0.003500
15	19	1	0	0	71	22	20	39	45	2.90	0		0.018600
30	39	10	1	0	135	40	34	50	47	3.93	0		0.011500
39	50	1	0	0	32	45	20	39	45	2.90	0		0.018600
6	8	8	0	0	135	87	54	36	40	1.36	0		0.003500
6	7	3	0	0	0	22	22	32	22	4.19	0		0.029700
44	57	9	0	22	0	0	50	53	31	1.36	0		0.002600
22	27	9	0	22	53	0	50	53	31	1.36	0		0.002600
22	28	10	1	0	135	127	34	50	47	3.93	0		0.011500
10	14	8	0	20	32	31	54	36	40	1.36	0		0.003500
10	13	2	0	20	32	71	50	21	57	1.63	0		0.007700
35	45	6	0	0	71	67	23	45	37	2.72	0		0.013100
60	79	4	0	23	68	31	45	33	56	3.45	0		0.011600
43	56	6	0	0	71	104	23	45	37	2.72	0		0.013100
52	67	10	1	23	68	87	34	50	47	3.93	0		0.011500
17	22	10	1	23	68	134	34	50	47	3.93	0		0.011500
58	76	1	1	20	32	128	20	39	45	2.90	0		0.018600
40	52	6	1	54	135	0	23	45	37	2.72	0		0.013100
40	51	3	0	0	0	44	22	32	22	4.19	0		0.029700
24	32	10	0	73	68	0	34	50	47	3.93	0		0.011500
24	31	2	0	22	0	31	50	21	57	1.63	0		0.007700
21	26	10	0	73	68	47	34	50	47	3.93	0		0.011500
25	33	1	1	22	0	88	20	39	45	2.90	0		0.018600
33	43	8	1	73	68	94	54	36	40	1.36	0		0.003500
49	64	5	1	73	68	134	51	34	33	4.67	0		0.013500
37	48	9	0	74	0	0	50	53	31	1.36	0		0.002600
31	40	5	0	74	0	31	51	34	33	4.67	0		0.013500
31	41	6	1	54	135	37	23	45	37	2.72	0		0.013100
11	15	7	0	54	135	74	23	30	45	2.35	0		0.017000
28	37	7	0	54	135	119	23	30	45	2.35	0		0.017000
42	54	1	1	74	34	31	20	39	45	2.90	0		0.018600
42	55	1	1	74	0	64	20	39	45	2.90	0		0.018600
29	38	3	0	54	135	164	22	32	22	4.19	0		0.029700
59	77	4	0	99	122	0	45	33	56	3.45	0		0.011600
59	78	10	1	99	122	56	34	50	47	3.93	0		0.011500
3	3	2	0	99	122	103	50	21	57	1.63	0		0.007700
3	4	3	0	73	68	167	22	32	22	4.19	0		0.029700
50	65	10	0	125	0	0	34	50	47	3.93	0		0.011500
41	53	4	0	124	50	0	45	33	56	3.45	0		0.011600
16	21	6	1	74	34	76	23	45	37	2.72	0		0.013100
1	1	2	0	74	34	113	50	21	57	1.63	0		0.007700
38	49	1	1	74	0	109	20	39	45	2.90	0		0.018600
61	80	2	0	124	50	56	50	21	57	1.63	0		0.007700
55	71	1	0	124	83	0	20	39	45	2.90	0		0.018600
27	36	6	1	124	50	113	23	45	37	2.72	0		0.013100
27	35	3	1	73	100	167	22	32	22	4.19	0		0.029700
8	11	7	0	124	83	45	23	30	45	2.35	0		0.017000
54	69	2	1	125	0	47	50	21	57	1.63	0		0.007700
54	70	3	1	99	122	160	22	32	22	4.19	0		0.029700
26	34	6	1	124	50	150	23	45	37	2.72	0		0.013100
34	44	7	0	124	83	90	23	30	45	2.35	0		0.017000
4	5	7	0	124	83	135	23	30	45	2.35	0		0.017000
47	60	4	0	147	83	0	45	33	56	3.45	0		0.011600
47	61	10	1	147	73	56	34	50	47	3.93	0		0.011500
7	9	1	0	125	0	104	20	39	45	2.90	0		0.018600
7	10	1	0	147	73	103	20	39	45	2.90	0		0.018600
18	23	6	0	124	0	149	23	45	37	2.72	0		0.013100
19	24	8	0	159	0	0	54	36	40	1.36	0		0.003500
20	25	2	0	159	0	40	50	21	57	1.63	0		0.007700
14	18	5	0	213	0	0	51	34	33	4.67	0		0.013500
51	66	7	0	167	73	103	23	30	45	2.35	0		0.017000
45	58	4	0	213	34	0	45	33	56	3.45	0		0.011600
53	68	4	0	197	67	0	45	33	56	3.45	0		0.011600
5	6	8	0	197	100	0	54	36	40	1.36	0		0.003500
46	59	9	0	251	67	0	50	53	31	1.36	0		0.002600
48	62	7	0	149	136	0	23	30	45	2.35	0		0.017000
48	63	7	0	149	136	45	23	30	45	2.35	0		0.017000
62	81	4	0	172	136	0	45	33	56	3.45	0		0.011600
62	82	7	0	149	136	90	23	30	45	2.35	0		0.017000
23	30	8	0	172	136	56	54	36	40	1.36	0		0.003500
23	29	2	0	172	136	96	50	21	57	1.63	0		0.007700
36	47	9	0	251	120	0	50	53	31	1.36	0		0.002600
36	46	8	0	197	100	40	54	36	40	1.36	0		0.003500
9	12	5	0	213	0	33	51	34	33	4.67	0		0.013500


