Name:				74_Manual_n150_m200_bt10_4_62
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		315.27
Calculation_Time:		11.06
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		59
No_of_Items:			79
Customer_Sequence:		34 30 48 44 53 11 24 4 42 51 13 35 14 31 58 62 20 27 9 21 8 49 33 41 16 29 40 60 36 12 59 55 26 52 3 54 39 7 19 18 6 25 57 38 17 50 1 10 37 22 47 43 45 5 23 15 61 46 2 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
2	2	3	0	0	0	0	22	32	22	4.19	0		0.029700
46	59	9	0	0	32	0	50	53	31	1.36	0		0.002600
61	80	2	0	0	85	0	50	21	57	1.63	0		0.007700
15	20	8	0	0	106	0	54	36	40	1.36	0		0.003500
15	19	1	1	0	142	0	20	39	45	2.90	0		0.018600
23	30	8	0	0	32	31	54	36	40	1.36	0		0.003500
23	29	2	0	0	106	40	50	21	57	1.63	0		0.007700
5	6	8	0	0	32	71	54	36	40	1.36	0		0.003500
45	58	4	0	0	32	111	45	33	56	3.45	0		0.011600
43	56	6	1	0	142	45	23	45	37	2.72	0		0.013100
47	60	4	0	54	0	0	45	33	56	3.45	0		0.011600
47	61	10	0	54	33	0	34	50	47	3.93	0		0.011500
22	27	9	0	54	83	0	50	53	31	1.36	0		0.002600
22	28	10	1	54	136	0	34	50	47	3.93	0		0.011500
37	48	9	0	54	83	31	50	53	31	1.36	0		0.002600
10	14	8	0	54	136	47	54	36	40	1.36	0		0.003500
10	13	2	1	54	33	47	50	21	57	1.63	0		0.007700
1	1	2	0	54	0	56	50	21	57	1.63	0		0.007700
50	65	10	0	54	83	62	34	50	47	3.93	0		0.011500
17	22	10	1	54	136	87	34	50	47	3.93	0		0.011500
38	49	1	0	54	33	104	20	39	45	2.90	0		0.018600
57	73	1	0	54	83	109	20	39	45	2.90	0		0.018600
57	74	3	1	54	0	113	22	32	22	4.19	0		0.029700
57	75	3	0	54	136	134	22	32	22	4.19	0		0.029700
25	33	1	1	54	0	135	20	39	45	2.90	0		0.018600
6	8	8	0	88	33	0	54	36	40	1.36	0		0.003500
6	7	3	0	54	33	149	22	32	22	4.19	0		0.029700
18	23	6	0	88	33	40	23	45	37	2.72	0		0.013100
19	24	8	0	104	83	0	54	36	40	1.36	0		0.003500
7	9	1	0	88	83	62	20	39	45	2.90	0		0.018600
7	10	1	0	88	33	77	20	39	45	2.90	0		0.018600
39	50	1	0	88	83	107	20	39	45	2.90	0		0.018600
54	69	2	0	104	0	0	50	21	57	1.63	0		0.007700
54	70	3	0	54	136	156	22	32	22	4.19	0		0.029700
3	3	2	0	104	0	57	50	21	57	1.63	0		0.007700
3	4	3	0	76	136	134	22	32	22	4.19	0		0.029700
52	67	10	1	108	78	40	34	50	47	3.93	0		0.011500
26	34	6	0	88	33	122	23	45	37	2.72	0		0.013100
55	71	1	1	104	0	114	20	39	45	2.90	0		0.018600
59	77	4	0	108	78	87	45	33	56	3.45	0		0.011600
59	78	10	1	108	78	143	34	50	47	3.93	0		0.011500
12	16	3	0	76	136	156	22	32	22	4.19	0		0.029700
36	47	9	0	154	0	0	50	53	31	1.36	0		0.002600
36	46	8	0	154	0	31	54	36	40	1.36	0		0.003500
60	79	4	0	154	0	71	45	33	56	3.45	0		0.011600
40	52	6	1	142	53	0	23	45	37	2.72	0		0.013100
40	51	3	1	142	53	37	22	32	22	4.19	0		0.029700
29	38	3	1	142	53	59	22	32	22	4.19	0		0.029700
16	21	6	1	143	0	127	23	45	37	2.72	0		0.013100
41	53	4	0	158	83	0	45	33	56	3.45	0		0.011600
33	43	8	0	158	116	0	54	36	40	1.36	0		0.003500
49	64	5	0	158	116	40	51	34	33	4.67	0		0.013500
8	11	7	1	142	53	81	23	30	45	2.35	0		0.017000
21	26	10	1	158	116	73	34	50	47	3.93	0		0.011500
9	12	5	0	158	116	120	51	34	33	4.67	0		0.013500
27	36	6	1	158	83	56	23	45	37	2.72	0		0.013100
27	35	3	1	108	152	0	22	32	22	4.19	0		0.029700
20	25	2	0	140	152	0	50	21	57	1.63	0		0.007700
62	81	4	0	203	53	0	45	33	56	3.45	0		0.011600
62	82	7	1	142	53	126	23	30	45	2.35	0		0.017000
58	76	1	1	140	152	57	20	39	45	2.90	0		0.018600
31	40	5	0	158	116	153	51	34	33	4.67	0		0.013500
31	41	6	1	158	83	93	23	45	37	2.72	0		0.013100
14	18	5	0	203	53	56	51	34	33	4.67	0		0.013500
35	45	6	0	203	53	89	23	45	37	2.72	0		0.013100
13	17	3	1	140	152	102	22	32	22	4.19	0		0.029700
51	66	7	0	203	53	126	23	30	45	2.35	0		0.017000
42	54	1	1	140	152	124	20	39	45	2.90	0		0.018600
42	55	1	1	190	152	0	20	39	45	2.90	0		0.018600
4	5	7	1	190	150	45	23	30	45	2.35	0		0.017000
24	32	10	0	208	0	0	34	50	47	3.93	0		0.011500
24	31	2	0	158	83	130	50	21	57	1.63	0		0.007700
11	15	7	1	190	150	90	23	30	45	2.35	0		0.017000
53	68	4	0	208	0	47	45	33	56	3.45	0		0.011600
44	57	9	0	229	87	0	50	53	31	1.36	0		0.002600
48	62	7	1	190	150	135	23	30	45	2.35	0		0.017000
48	63	7	0	208	0	103	23	30	45	2.35	0		0.017000
30	39	10	1	229	140	0	34	50	47	3.93	0		0.011500
34	44	7	0	226	53	89	23	30	45	2.35	0		0.017000


