Name:				76_Manual_n150_m200_bt100_1_473
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		93.43
Calculation_Time:		0.81
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		21
No_of_Items:			27
Customer_Sequence:		16 11 20 10 27 21 22 19 1 15 25 8 5 7 17 18 14 9 4 6 24 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
24	28	13	0	0	0	0	22	45	28	3.33	0		0.016800
24	29	45	0	0	45	0	95	60	60	21.14	1		0.003700
6	6	4	0	0	105	0	64	60	60	4.43	0		0.005800
4	4	3	1	0	45	60	39	57	24	4.21	1		0.001900
9	11	25	0	0	105	60	60	52	57	2.78	0		0.004400
9	10	12	0	0	105	117	48	26	21	2.14	0		0.008600
14	16	8	1	0	131	117	26	49	59	4.69	0		0.018400
18	21	10	0	22	0	0	37	38	48	2.57	0		0.009100
17	20	27	0	64	105	0	118	60	60	21.82	0		0.015400
7	7	34	0	22	0	48	43	39	41	2.67	0		0.008000
5	5	62	0	22	0	89	33	39	24	2.14	0		0.008300
8	8	5	1	22	0	113	49	29	37	4.27	0		0.015000
8	9	5	1	22	0	150	49	29	37	4.27	0		0.015000
25	30	95	0	65	0	0	45	32	55	3.97	0		0.013800
15	17	27	0	60	105	60	118	60	60	21.82	0		0.015400
1	1	46	0	95	45	0	43	53	60	1.32	0		0.002900
19	22	5	0	65	0	55	49	29	37	4.27	0		0.015000
22	26	50	0	60	105	120	90	60	60	5.13	0		0.004800
22	25	12	0	55	0	92	48	26	21	2.14	0		0.008600
21	24	53	0	138	0	0	79	60	60	5.72	0		0.006000
27	32	81	0	114	0	60	73	60	60	11.66	0		0.013300
27	33	89	0	138	60	0	41	30	26	2.83	0		0.011500
10	12	6	0	114	0	120	91	60	60	10.13	0		0.009300
20	23	11	1	179	60	0	45	60	42	2.06	0		0.003800
11	13	56	0	182	105	0	59	49	34	2.27	0		0.003900
16	19	48	1	239	0	0	104	60	60	8.26	0		0.006600
16	18	9	0	179	60	42	22	22	28	2.24	0		0.023100


