Name:				85_Manual_n150_m300_bt10_5_69
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		98.31
Calculation_Time:		1.62
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		15
No_of_Items:			35
Customer_Sequence:		10 2 12 4 20 3 23 8 5 16 7 13 9 21 6 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
6	12	7	0	0	0	0	59	26	31	1.20	0		0.003900
6	13	7	0	0	26	0	59	26	31	1.20	0		0.003900
6	14	7	0	0	52	0	59	26	31	1.20	0		0.003900
6	11	4	0	0	78	0	21	28	49	1.45	0		0.012300
21	40	5	0	0	106	0	88	60	60	3.10	0		0.002900
21	41	5	0	0	106	60	88	60	60	3.10	0		0.002900
21	42	9	0	0	0	31	22	38	46	2.43	0		0.014500
9	19	1	0	0	106	120	74	60	60	12.98	0		0.014600
9	20	2	0	0	38	31	53	34	45	4.37	0		0.012100
9	21	6	0	0	38	76	25	34	45	1.98	0		0.011700
13	27	6	0	0	0	77	25	34	45	1.98	0		0.011700
7	15	1	0	59	0	0	74	60	60	12.98	0		0.014600
16	31	3	0	53	0	60	62	60	60	14.95	0		0.020100
5	10	4	0	0	78	49	21	28	49	1.45	0		0.012300
8	16	2	0	53	0	120	53	34	45	4.37	0		0.012100
8	17	9	1	21	78	0	22	38	46	2.43	0		0.014500
8	18	9	1	21	78	46	22	38	46	2.43	0		0.014500
23	45	5	0	88	106	0	88	60	60	3.10	0		0.002900
23	44	1	0	88	106	60	74	60	60	12.98	0		0.014600
23	46	10	1	21	78	92	20	47	55	1.32	0		0.007000
3	5	3	0	74	106	120	62	60	60	14.95	0		0.020100
3	6	6	1	53	34	120	25	34	45	1.98	0		0.011700
20	38	5	0	133	0	0	88	60	60	3.10	0		0.002900
20	37	2	0	68	60	0	53	34	45	4.37	0		0.012100
20	39	7	0	68	60	45	59	26	31	1.20	0		0.003900
4	7	1	0	115	0	60	74	60	60	12.98	0		0.014600
4	8	3	0	115	0	120	62	60	60	14.95	0		0.020100
4	9	10	1	68	60	76	20	47	55	1.32	0		0.007000
12	24	2	0	127	60	0	53	34	45	4.37	0		0.012100
12	26	10	1	68	60	131	20	47	55	1.32	0		0.007000
12	25	9	0	127	60	45	22	38	46	2.43	0		0.014500
2	3	10	0	136	106	120	20	47	55	1.32	0		0.007000
2	4	10	0	176	106	0	20	47	55	1.32	0		0.007000
2	2	8	1	180	60	0	39	54	21	3.24	0		0.007700
10	22	7	0	180	60	21	59	26	31	1.20	0		0.003900


