Name:				102_Manual_n200_m300_bt10_2_995
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		99.19
Calculation_Time:		1.66
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		18
No_of_Items:			34
Customer_Sequence:		17 18 2 19 20 1 9 22 6 24 15 14 4 16 3 5 11 12 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
12	19	8	0	0	0	0	51	56	34	2.66	0		0.004700
12	18	6	0	0	56	0	21	47	33	2.89	0		0.014600
11	17	4	0	0	103	0	53	44	38	4.79	1		0.002100
5	10	7	0	0	0	34	39	45	32	1.86	0		0.005300
5	9	6	1	0	147	0	21	47	33	2.89	0		0.014600
3	4	3	0	51	0	0	116	60	60	20.64	0		0.014800
3	5	5	0	0	0	66	41	43	55	2	0		0.005700
3	7	7	0	0	0	121	39	45	32	1.86	0		0.005300
3	6	6	0	0	56	33	21	47	33	2.89	0		0.014600
16	25	3	0	51	0	60	116	60	60	20.64	0		0.014800
16	27	6	1	0	147	33	21	47	33	2.89	0		0.014600
16	26	4	0	0	103	38	53	44	38	4.79	1		0.002100
4	8	6	1	0	147	66	21	47	33	2.89	0		0.014600
14	22	1	1	0	147	99	26	50	30	2.18	0		0.008400
15	24	10	0	41	0	120	104	60	60	20.56	0		0.016500
15	23	9	0	0	147	129	36	21	32	1.62	0		0.010700
24	41	10	0	53	60	0	104	60	60	20.56	0		0.016500
24	42	10	0	53	60	60	104	60	60	20.56	0		0.016500
24	40	8	1	53	120	0	51	56	34	2.66	0		0.004700
24	39	6	0	53	120	34	21	47	33	2.89	0		0.014600
6	11	9	1	53	120	67	36	21	32	1.62	0		0.010700
22	35	3	0	41	60	120	116	60	60	20.64	0		0.014800
22	36	8	1	109	120	0	51	56	34	2.66	0		0.004700
22	37	9	1	50	120	99	36	21	32	1.62	0		0.010700
9	15	1	1	74	120	34	26	50	30	2.18	0		0.008400
1	1	3	0	157	60	0	116	60	60	20.64	0		0.014800
1	2	10	0	157	60	60	104	60	60	20.56	0		0.016500
20	33	7	0	124	120	34	39	45	32	1.86	0		0.005300
19	32	8	1	165	120	0	51	56	34	2.66	0		0.004700
2	3	7	0	163	120	34	39	45	32	1.86	0		0.005300
18	30	6	1	124	120	66	21	47	33	2.89	0		0.014600
18	31	6	1	124	141	66	21	47	33	2.89	0		0.014600
17	29	8	0	167	0	0	51	56	34	2.66	0		0.004700
17	28	5	0	167	0	34	41	43	55	2	0		0.005700


