Name:				104_Manual_n200_m300_bt10_4_854
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		101.84
Calculation_Time:		0.61
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		15
No_of_Items:			19
Customer_Sequence:		7 6 18 14 19 13 22 9 5 12 23 20 15 8 10 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
10	15	6	0	0	0	0	120	60	60	6.84	1		0.001000
8	12	8	0	0	60	0	23	34	32	4.86	0		0.031100
15	20	1	0	0	94	0	60	43	60	1.06	0		0.002000
20	25	7	0	60	60	0	62	60	60	15.18	0		0.020400
23	28	6	0	0	0	60	120	60	60	6.84	1		0.001000
12	17	7	0	60	60	60	62	60	60	15.18	0		0.020400
5	7	5	0	120	0	0	105	60	60	14.27	0		0.011300
5	6	4	1	0	137	0	31	58	36	2.14	0		0.006000
9	13	5	0	120	0	60	105	60	60	14.27	0		0.011300
9	14	7	0	60	60	120	62	60	60	15.18	0		0.020400
22	27	6	0	120	0	120	120	60	60	6.84	1		0.001000
13	18	5	0	122	60	0	105	60	60	14.27	0		0.011300
19	24	8	0	0	137	36	23	34	32	4.86	0		0.031100
14	19	9	0	122	60	60	99	60	60	16.53	0		0.013900
18	23	5	0	122	60	120	105	60	60	14.27	0		0.011300
6	8	1	0	60	120	0	60	43	60	1.06	0		0.002000
6	9	3	0	227	60	0	55	58	35	1.56	0		0.002500
7	11	7	0	227	60	35	62	60	60	15.18	0		0.020400
7	10	4	1	60	120	60	31	58	36	2.14	0		0.006000


