Name:				10_Manual_n50_m100_bt100_5_972
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		111.81
Calculation_Time:		6.94
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		16
No_of_Items:			38
Customer_Sequence:		11 9 7 8 19 13 18 2 20 4 14 23 21 10 5 22 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
22	44	15	0	0	0	0	111	60	60	4.29	0		0.003200
22	45	23	0	0	60	0	41	24	59	3.29	0		0.016700
5	7	6	0	0	84	0	105	60	60	13.59	0		0.010800
10	20	11	1	0	144	0	29	55	59	3.93	0		0.012300
10	21	13	0	0	144	59	30	28	26	1.02	0		0.006100
21	42	77	0	0	0	60	106	60	60	3.97	0		0.003100
19	36	40	0	0	84	60	56	51	41	2.24	0		0.003900
21	41	33	0	105	60	0	53	36	37	4.63	0		0.012100
21	43	80	1	0	60	59	24	52	25	2.79	0		0.011200
21	40	22	1	0	144	85	25	35	25	3.99	0		0.022800
23	46	24	0	105	96	0	31	36	59	2.26	1		0.002000
14	29	15	0	0	0	120	111	60	60	4.29	0		0.003200
14	30	92	0	0	144	110	45	23	56	2.28	0		0.011000
4	5	5	0	105	132	0	41	40	55	3.99	0		0.012200
4	6	94	0	111	0	0	31	49	31	1.79	0		0.005900
20	37	6	0	142	0	0	105	60	60	13.59	0		0.010800
20	38	21	0	111	0	31	29	50	28	1.97	1		0.001400
21	39	19	0	158	60	0	44	32	53	3.40	0		0.012100
2	3	18	0	136	96	0	58	31	28	1.49	0		0.004100
18	34	19	0	146	132	0	44	32	53	3.40	0		0.012100
13	26	3	0	142	0	60	61	60	60	17.92	0		0.024500
13	28	100	0	190	127	0	52	27	37	2.62	0		0.009300
13	27	14	1	136	96	28	33	43	21	1.11	0		0.003900
2	2	3	0	247	0	0	61	60	60	17.92	0		0.024500
19	35	20	0	202	60	0	51	57	21	1.36	0		0.002300
8	16	67	0	203	0	60	98	60	60	1.50	0		0.001300
8	14	9	1	190	127	37	24	60	39	4.80	0		0.016700
8	15	57	1	190	154	0	20	28	54	4.77	0		0.042500
7	13	61	0	202	60	21	46	53	50	1.92	0		0.003900
7	9	8	0	202	60	71	35	57	56	4.20	0		0.010500
7	10	10	1	190	127	76	20	40	47	2.81	0		0.017500
7	11	14	0	202	60	127	33	43	21	1.11	0		0.003900
7	12	59	1	190	127	123	24	36	24	2.06	0		0.011900
9	18	19	0	250	117	0	44	32	53	3.40	0		0.012100
9	17	10	1	218	154	0	20	40	47	2.81	0		0.017500
11	23	92	0	218	151	47	45	23	56	2.28	0		0.011000
11	22	12	0	202	60	148	44	42	31	1.05	0		0.002800
9	19	30	0	203	0	120	99	60	60	7.37	0		0.006200


