Name:				114_Manual_n200_m400_bt10_4_763
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		87.95
Calculation_Time:		3.59
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		19
No_of_Items:			45
Customer_Sequence:		8 12 17 13 14 9 16 6 26 4 7 3 5 20 15 11 1 2 22 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
22	46	3	0	0	0	0	109	60	60	7.22	0		0.005500
22	47	3	0	0	60	0	109	60	60	7.22	0		0.005500
22	45	2	0	0	120	0	34	46	57	1.22	0		0.003900
22	49	10	0	0	120	57	42	42	37	3.90	0		0.011000
22	48	5	0	0	120	94	48	22	20	4.05	0		0.019200
2	3	2	0	48	120	0	34	46	57	1.22	0		0.003900
1	1	2	0	48	120	57	34	46	57	1.22	0		0.003900
1	2	9	1	0	142	94	26	37	26	1.61	1		0.001700
11	22	3	0	0	0	60	109	60	60	7.22	0		0.005500
11	23	4	0	48	120	114	40	27	40	4.69	0		0.021700
15	31	7	1	0	60	60	25	59	36	1.89	0		0.006400
20	40	2	0	59	60	60	34	46	57	1.22	0		0.003900
20	41	6	0	59	60	117	35	47	42	2.23	0		0.006800
20	39	1	1	48	120	154	21	48	25	2.80	0		0.013900
20	42	8	0	88	120	0	52	42	45	3.21	1		0.001500
20	43	8	0	88	120	45	52	42	45	3.21	1		0.001500
5	10	2	0	109	0	0	34	46	57	1.22	0		0.003900
5	11	2	0	109	46	0	34	46	57	1.22	0		0.003900
5	12	9	0	59	60	159	26	37	26	1.61	1		0.001700
5	13	9	1	109	92	0	26	37	26	1.61	1		0.001700
3	5	3	0	0	0	120	109	60	60	7.22	0		0.005500
3	4	2	0	109	0	57	34	46	57	1.22	0		0.003900
3	7	10	0	109	46	57	42	42	37	3.90	0		0.011000
3	6	7	0	109	0	114	25	59	36	1.89	0		0.006400
7	16	3	0	146	92	0	109	60	60	7.22	0		0.005500
4	8	7	0	109	0	150	25	59	36	1.89	0		0.006400
4	9	8	0	143	0	0	52	42	45	3.21	1		0.001500
26	55	3	0	140	88	60	109	60	60	7.22	0		0.005500
26	56	9	1	109	59	94	26	37	26	1.61	1		0.001700
26	57	9	1	109	59	120	26	37	26	1.61	1		0.001700
6	15	4	0	195	0	0	40	27	40	4.69	0		0.021700
6	14	1	1	140	152	0	21	48	25	2.80	0		0.013900
16	32	2	0	195	27	0	34	46	57	1.22	0		0.003900
16	33	8	0	143	0	45	52	42	45	3.21	1		0.001500
9	18	1	1	140	152	25	21	48	25	2.80	0		0.013900
9	19	9	1	195	0	40	26	37	26	1.61	1		0.001700
14	30	6	0	195	27	57	35	47	42	2.23	0		0.006800
13	26	5	0	140	152	50	48	22	20	4.05	0		0.019200
13	27	8	1	195	27	99	52	42	45	3.21	1		0.001500
13	28	8	0	195	27	144	52	42	45	3.21	1		0.001500
13	29	8	0	230	27	0	52	42	45	3.21	1		0.001500
17	34	8	0	255	92	0	52	42	45	3.21	1		0.001500
12	24	2	1	255	134	0	34	46	57	1.22	0		0.003900
12	25	4	0	235	0	0	40	27	40	4.69	0		0.021700
8	17	4	0	232	0	40	40	27	40	4.69	0		0.021700


