Name:				21_Manual_n50_m300_bt10_1_593
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		55.03
Calculation_Time:		5.83
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		9
No_of_Items:			55
Customer_Sequence:		8 14 18 12 6 22 13 5 16 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
16	72	3	0	0	0	0	55	48	55	3.29	0		0.006200
16	73	6	0	0	48	0	48	41	57	1.32	0		0.003400
16	74	6	0	0	89	0	48	41	57	1.32	0		0.003400
16	77	10	0	0	130	0	40	30	57	2.99	0		0.012500
16	71	2	0	0	0	55	51	22	27	1.66	0		0.007400
16	75	7	0	0	48	57	37	31	25	2.68	0		0.011700
16	76	9	0	0	79	57	60	45	51	2.94	1		0.001100
5	19	1	0	40	130	0	57	31	42	2.45	0		0.006900
5	20	9	0	0	79	108	60	45	51	2.94	1		0.001100
5	21	9	0	55	0	0	60	45	51	2.94	1		0.001100
13	57	8	0	115	0	0	49	47	31	4.57	0		0.009900
13	58	8	0	97	47	0	49	47	31	4.57	0		0.009900
13	59	8	0	97	94	0	49	47	31	4.57	0		0.009900
13	60	8	0	97	45	31	49	47	31	4.57	0		0.009900
13	55	4	1	0	48	82	20	39	51	4.16	0		0.026600
13	56	7	0	40	130	42	37	31	25	2.68	0		0.011700
13	61	9	0	55	0	51	60	45	51	2.94	1		0.001100
22	105	3	0	97	92	31	55	48	55	3.29	0		0.006200
22	106	6	0	97	45	62	48	41	57	1.32	0		0.003400
22	107	6	0	97	92	86	48	41	57	1.32	0		0.003400
22	109	8	0	97	45	119	49	47	31	4.57	0		0.009900
22	108	7	0	97	141	0	37	31	25	2.68	0		0.011700
22	110	9	0	55	0	102	60	45	51	2.94	1		0.001100
22	111	9	0	115	0	31	60	45	51	2.94	1		0.001100
22	112	9	0	115	0	82	60	45	51	2.94	1		0.001100
22	113	9	0	115	0	133	60	45	51	2.94	1		0.001100
6	23	6	0	146	47	0	48	41	57	1.32	0		0.003400
6	22	1	0	97	92	143	57	31	42	2.45	0		0.006900
6	24	8	0	97	45	150	49	47	31	4.57	0		0.009900
12	49	3	0	154	88	0	55	48	55	3.29	0		0.006200
12	47	1	0	134	141	0	57	31	42	2.45	0		0.006900
12	48	1	0	134	141	42	57	31	42	2.45	0		0.006900
12	52	8	0	146	45	57	49	47	31	4.57	0		0.009900
12	53	8	0	146	45	88	49	47	31	4.57	0		0.009900
12	54	10	0	134	141	84	40	30	57	2.99	0		0.012500
12	50	4	0	146	45	119	20	39	51	4.16	0		0.026600
12	51	7	0	97	141	25	37	31	25	2.68	0		0.011700
18	83	3	0	209	0	0	55	48	55	3.29	0		0.006200
18	82	1	1	166	45	119	57	31	42	2.45	0		0.006900
18	87	8	0	197	0	55	49	47	31	4.57	0		0.009900
18	84	4	0	154	102	55	20	39	51	4.16	0		0.026600
18	85	4	0	154	102	106	20	39	51	4.16	0		0.026600
18	86	7	0	134	141	141	37	31	25	2.68	0		0.011700
14	64	6	0	195	0	86	48	41	57	1.32	0		0.003400
14	62	2	0	191	136	0	51	22	27	1.66	0		0.007400
14	63	2	0	191	136	27	51	22	27	1.66	0		0.007400
14	65	7	0	174	102	55	37	31	25	2.68	0		0.011700
14	66	9	0	209	48	0	60	45	51	2.94	1		0.001100
14	67	9	0	209	48	51	60	45	51	2.94	1		0.001100
8	30	8	0	264	0	0	49	47	31	4.57	0		0.009900
8	31	8	0	264	0	31	49	47	31	4.57	0		0.009900
8	33	10	0	174	102	80	40	30	57	2.99	0		0.012500
8	34	10	0	214	93	0	40	30	57	2.99	0		0.012500
8	29	4	0	174	102	137	20	39	51	4.16	0		0.026600
8	32	9	0	209	48	102	60	45	51	2.94	1		0.001100


