Name:				31_Manual_n50_m400_bt10_1_760
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		44.42
Calculation_Time:		14.57
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		8
No_of_Items:			83
Customer_Sequence:		6 7 20 5 13 17 1 8 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
8	67	10	0	0	0	0	35	55	55	1.65	0		0.004300
8	63	4	0	0	55	0	49	54	35	3.49	0		0.006600
8	64	4	0	0	109	0	49	54	35	3.49	0		0.006600
8	66	7	0	0	55	35	53	41	29	2.22	0		0.005100
8	65	6	0	0	96	35	44	20	27	3.49	0		0.019800
8	62	3	0	0	116	35	21	29	31	1.95	0		0.016000
1	12	10	0	0	0	55	35	55	55	1.65	0		0.004300
1	13	10	1	0	55	64	35	55	55	1.65	0		0.004300
1	3	4	0	35	0	0	49	54	35	3.49	0		0.006600
1	4	4	0	35	0	35	49	54	35	3.49	0		0.006600
1	5	4	0	35	0	70	49	54	35	3.49	0		0.006600
1	6	4	0	35	0	105	49	54	35	3.49	0		0.006600
1	7	4	0	35	0	140	49	54	35	3.49	0		0.006600
1	1	2	1	0	54	119	27	60	49	4.30	0		0.013300
1	2	2	0	49	109	0	27	60	49	4.30	0		0.013300
1	8	7	0	60	54	0	53	41	29	2.22	0		0.005100
1	9	8	1	0	116	66	29	27	56	4.40	0		0.028100
1	10	9	1	0	145	35	22	28	29	4.23	0		0.034300
1	11	9	0	0	145	64	22	28	29	4.23	0		0.034300
17	138	10	0	49	109	49	35	55	55	1.65	0		0.004300
17	139	10	0	49	109	104	35	55	55	1.65	0		0.004300
17	140	10	1	60	54	29	35	55	55	1.65	0		0.004300
17	127	2	1	60	54	84	27	60	49	4.30	0		0.013300
17	128	2	1	60	54	133	27	60	49	4.30	0		0.013300
17	135	7	1	49	109	159	53	41	29	2.22	0		0.005100
17	136	7	0	76	109	0	53	41	29	2.22	0		0.005100
17	133	6	0	0	96	62	44	20	27	3.49	0		0.019800
17	134	6	0	0	96	89	44	20	27	3.49	0		0.019800
17	130	5	1	0	145	93	25	28	27	2.33	0		0.016600
17	131	5	1	0	145	120	25	28	27	2.33	0		0.016600
17	132	5	1	0	116	122	25	28	27	2.33	0		0.016600
