Name:				72_Manual_n150_m200_bt10_2_547
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		235.57
Calculation_Time:		7.09
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		44
No_of_Items:			56
Customer_Sequence:		8 27 18 1 45 35 15 26 37 6 36 19 20 23 11 7 31 13 4 41 3 30 9 12 38 2 5 40 24 22 25 28 21 34 14 32 39 10 29 42 16 17 49 43 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
43	54	7	0	0	0	0	48	59	33	4.68	0		0.008300
49	62	1	0	0	59	0	102	60	60	1.48	0		0.001200
49	63	4	0	0	119	0	30	39	36	3.77	0		0.016100
17	23	7	0	0	0	33	48	59	33	4.68	0		0.008300
16	22	10	0	0	59	60	90	60	60	7.44	0		0.006900
16	21	6	0	0	119	36	26	26	41	4.82	1		0.007100
42	53	5	0	0	0	66	58	39	34	4.54	0		0.010000
29	38	3	0	0	0	100	45	36	36	2.81	0		0.008700
10	14	6	0	0	119	77	26	26	41	4.82	1		0.007100
39	50	8	0	0	39	66	24	20	31	2.19	0		0.022800
32	42	8	0	0	39	97	24	20	31	2.19	0		0.022800
14	19	5	0	0	59	120	58	39	34	4.54	0		0.010000
14	18	4	0	0	0	136	30	39	36	3.77	0		0.016100
34	44	9	1	0	59	154	29	52	23	1.50	0		0.005000
21	28	2	0	30	119	0	49	29	31	2.69	0		0.009500
21	29	9	1	30	119	31	29	52	23	1.50	0		0.005000
28	36	2	0	26	119	54	49	29	31	2.69	0		0.009500
28	37	4	1	26	119	85	30	39	36	3.77	0		0.016100
25	33	10	0	102	0	0	90	60	60	7.44	0		0.006900
22	30	2	0	26	119	121	49	29	31	2.69	0		0.009500
24	32	6	0	82	119	0	26	26	41	4.82	1		0.007100
40	51	3	0	26	119	152	45	36	36	2.81	0		0.008700
5	7	3	0	102	60	0	45	36	36	2.81	0		0.008700
2	4	10	0	90	0	60	90	60	60	7.44	0		0.006900
2	3	7	1	90	0	120	48	59	33	4.68	0		0.008300
38	49	9	1	82	145	0	29	52	23	1.50	0		0.005000
12	16	1	0	134	96	0	102	60	60	1.48	0		0.001200
9	11	1	0	134	96	60	102	60	60	1.48	0		0.001200
9	13	5	0	90	0	153	58	39	34	4.54	0		0.010000
9	12	3	0	102	60	36	45	36	36	2.81	0		0.008700
30	39	6	0	102	60	72	26	26	41	4.82	1		0.007100
3	5	4	1	147	60	0	30	39	36	3.77	0		0.016100
41	52	3	1	149	0	120	45	36	36	2.81	0		0.008700
4	6	7	1	134	96	120	48	59	33	4.68	0		0.008300
13	17	10	0	192	0	0	90	60	60	7.44	0		0.006900
31	40	2	0	147	60	36	49	29	31	2.69	0		0.009500
31	41	6	0	147	60	67	26	26	41	4.82	1		0.007100
7	9	9	1	134	96	153	29	52	23	1.50	0		0.005000
11	15	8	0	173	60	67	24	20	31	2.19	0		0.022800
23	31	6	0	147	60	108	26	26	41	4.82	1		0.007100
20	27	5	0	185	0	60	58	39	34	4.54	0		0.010000
20	26	2	0	185	0	94	49	29	31	2.69	0		0.009500
19	25	2	0	185	0	125	49	29	31	2.69	0		0.009500
36	46	8	0	173	60	98	24	20	31	2.19	0		0.022800
6	8	3	0	193	96	120	45	36	36	2.81	0		0.008700
37	48	9	1	185	0	156	29	52	23	1.50	0		0.005000
37	47	6	0	147	60	149	26	26	41	4.82	1		0.007100
26	34	9	1	193	96	156	29	52	23	1.50	0		0.005000
15	20	7	0	243	0	60	48	59	33	4.68	0		0.008300
35	45	3	0	197	60	0	45	36	36	2.81	0		0.008700
45	56	5	0	243	0	93	58	39	34	4.54	0		0.010000
1	1	4	1	193	132	120	30	39	36	3.77	0		0.016100
1	2	4	1	197	60	36	30	39	36	3.77	0		0.016100
18	24	4	1	197	59	72	30	39	36	3.77	0		0.016100
27	35	9	1	193	125	156	29	52	23	1.50	0		0.005000
8	10	5	0	243	0	127	58	39	34	4.54	0		0.010000


