Name:				73_Manual_n150_m200_bt10_3_907
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		171.36
Calculation_Time:		5.16
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		30
No_of_Items:			41
Customer_Sequence:		26 11 15 17 30 20 31 4 8 6 12 5 9 22 27 2 7 21 14 1 28 24 16 25 10 23 36 19 34 3 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
3	3	4	0	0	0	0	35	52	20	3.25	0		0.008900
34	45	2	0	0	52	0	113	60	60	1.36	0		0.001000
28	39	7	0	0	112	0	33	26	46	3.66	0		0.021300
36	47	1	0	0	52	60	99	60	60	2.61	0		0.002200
23	33	7	0	0	138	0	33	26	46	3.66	0		0.021300
10	16	6	0	0	0	20	39	25	58	2.97	0		0.015200
25	36	6	0	0	25	20	39	25	58	2.97	0		0.015200
16	26	10	0	39	0	0	57	49	30	2.17	0		0.003900
16	25	4	0	0	0	78	35	52	20	3.25	0		0.008900
24	34	2	0	0	52	120	113	60	60	1.36	0		0.001000
24	35	8	0	0	138	46	36	26	43	2.66	0		0.014200
19	29	5	0	113	52	0	22	47	37	1.48	0		0.007200
1	1	5	1	0	138	89	22	47	37	1.48	0		0.007200
14	22	1	0	47	112	0	99	60	60	2.61	0		0.002200
21	31	2	0	47	112	60	113	60	60	1.36	0		0.001000
7	12	3	0	39	0	30	57	40	20	3.90	0		0.008600
2	2	6	0	39	0	50	39	25	58	2.97	0		0.015200
27	38	5	1	39	0	108	22	47	37	1.48	0		0.007200
22	32	7	0	96	0	0	33	26	46	3.66	0		0.021300
9	15	6	0	96	26	0	39	25	58	2.97	0		0.015200
5	7	2	0	47	112	120	113	60	60	1.36	0		0.001000
5	9	10	0	135	0	0	57	49	30	2.17	0		0.003900
5	8	9	0	135	49	0	32	59	34	3.94	0		0.010400
12	20	9	1	135	0	30	32	59	34	3.94	0		0.010400
12	19	7	1	113	52	37	33	26	46	3.66	0		0.021300
12	18	5	1	135	0	64	22	47	37	1.48	0		0.007200
6	11	6	1	113	52	83	39	25	58	2.97	0		0.015200
6	10	5	0	113	52	141	22	47	37	1.48	0		0.007200
8	14	10	0	167	49	0	57	49	30	2.17	0		0.003900
8	13	9	0	167	98	0	32	59	34	3.94	0		0.010400
4	5	8	0	135	0	101	36	26	43	2.66	0		0.014200
4	6	8	0	135	0	144	36	26	43	2.66	0		0.014200
4	4	7	0	167	32	30	33	26	46	3.66	0		0.021300
31	42	1	0	199	98	0	99	60	60	2.61	0		0.002200
20	30	2	0	199	98	60	113	60	60	1.36	0		0.001000
30	41	3	0	167	58	30	57	40	20	3.90	0		0.008600
17	27	3	0	167	58	50	57	40	20	3.90	0		0.008600
15	24	9	1	167	58	70	32	59	34	3.94	0		0.010400
15	23	7	0	167	32	76	33	26	46	3.66	0		0.021300
11	17	9	1	167	58	104	32	59	34	3.94	0		0.010400
26	37	9	1	167	58	138	32	59	34	3.94	0		0.010400


