Name:				74_Manual_n150_m200_bt10_4_903
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		349.73
Calculation_Time:		16.27
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		67
No_of_Items:			89
Customer_Sequence:		4 57 7 38 1 64 59 52 45 53 39 17 56 47 24 41 15 43 9 3 48 14 37 18 61 58 34 31 11 29 25 21 23 5 33 22 12 36 40 26 69 35 27 10 8 63 49 30 51 20 42 67 46 60 50 65 71 19 2 62 70 44 55 54 28 6 66 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
66	86	3	0	0	0	0	22	32	22	4.19	0		0.029700
6	8	8	0	0	32	0	54	36	40	1.36	0		0.003500
6	7	3	0	0	68	0	22	32	22	4.19	0		0.029700
28	37	7	0	0	100	0	23	30	45	2.35	0		0.017000
54	69	2	0	0	130	0	50	21	57	1.63	0		0.007700
54	70	3	1	0	151	0	22	32	22	4.19	0		0.029700
55	71	1	1	0	151	22	20	39	45	2.90	0		0.018600
44	57	9	0	23	68	0	50	53	31	1.36	0		0.002600
70	91	4	0	0	32	40	45	33	56	3.45	0		0.011600
70	92	5	0	0	32	96	51	34	33	4.67	0		0.013500
62	81	4	0	0	32	129	45	33	56	3.45	0		0.011600
62	82	7	0	0	0	22	23	30	45	2.35	0		0.017000
2	2	3	0	0	0	67	22	32	22	4.19	0		0.029700
19	24	8	0	23	68	31	54	36	40	1.36	0		0.003500
71	93	8	0	23	68	71	54	36	40	1.36	0		0.003500
65	85	1	1	0	130	57	20	39	45	2.90	0		0.018600
50	65	10	1	23	68	111	34	50	47	3.93	0		0.011500
60	79	4	0	50	130	0	45	33	56	3.45	0		0.011600
46	59	9	0	54	0	0	50	53	31	1.36	0		0.002600
67	87	1	1	23	104	31	20	39	45	2.90	0		0.018600
42	54	1	1	23	104	76	20	39	45	2.90	0		0.018600
42	55	1	1	23	104	121	20	39	45	2.90	0		0.018600
20	25	2	0	50	130	56	50	21	57	1.63	0		0.007700
51	66	7	1	50	130	113	23	30	45	2.35	0		0.017000
30	39	10	0	54	0	31	34	50	47	3.93	0		0.011500
49	64	5	1	54	0	78	51	34	33	4.67	0		0.013500
63	83	1	0	51	0	111	20	39	45	2.90	0		0.018600
8	11	7	0	100	53	0	23	30	45	2.35	0		0.017000
10	14	8	0	100	83	0	54	36	40	1.36	0		0.003500
10	13	2	1	71	0	111	50	21	57	1.63	0		0.007700
27	36	6	1	0	151	67	23	45	37	2.72	0		0.013100
27	35	3	1	50	130	158	22	32	22	4.19	0		0.029700
35	45	6	0	100	119	0	23	45	37	2.72	0		0.013100
69	89	2	1	100	119	37	50	21	57	1.63	0		0.007700
69	90	6	1	100	83	40	23	45	37	2.72	0		0.013100
26	34	6	1	100	83	77	23	45	37	2.72	0		0.013100
40	52	6	0	100	119	94	23	45	37	2.72	0		0.013100
40	51	3	0	71	0	168	22	32	22	4.19	0		0.029700
36	47	9	0	104	0	0	50	53	31	1.36	0		0.002600
36	46	8	0	93	0	31	54	36	40	1.36	0		0.003500
12	16	3	0	93	0	71	22	32	22	4.19	0		0.029700
22	27	9	0	123	119	0	50	53	31	1.36	0		0.002600
22	28	10	0	123	119	31	34	50	47	3.93	0		0.011500
33	43	8	1	123	119	78	54	36	40	1.36	0		0.003500
5	6	8	1	123	119	118	54	36	40	1.36	0		0.003500
23	30	8	0	154	0	0	54	36	40	1.36	0		0.003500
23	29	2	0	100	83	114	50	21	57	1.63	0		0.007700
21	26	10	1	147	0	40	34	50	47	3.93	0		0.011500
25	33	1	1	123	53	0	20	39	45	2.90	0		0.018600
29	38	3	1	100	53	45	22	32	22	4.19	0		0.029700
11	15	7	1	100	53	67	23	30	45	2.35	0		0.017000
31	40	5	0	147	0	87	51	34	33	4.67	0		0.013500
31	41	6	0	147	0	120	23	45	37	2.72	0		0.013100
34	44	7	0	100	53	112	23	30	45	2.35	0		0.017000
58	76	1	1	132	53	45	20	39	45	2.90	0		0.018600
61	80	2	0	154	83	0	50	21	57	1.63	0		0.007700
18	23	6	1	132	53	90	23	45	37	2.72	0		0.013100
