Name:				99_Manual_n150_m400_bt100_4_529
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		33.92
Calculation_Time:		0.65
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		7
No_of_Items:			24
Customer_Sequence:		17 8 10 5 20 4 15 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
15	42	58	0	0	0	0	96	60	60	2.26	0		0.002000
15	44	97	0	0	60	0	22	42	49	2.62	0		0.014200
15	43	72	0	0	102	0	34	29	32	3.65	0		0.018500
4	10	78	0	0	0	60	117	60	60	4.20	0		0.003000
4	9	63	0	34	60	0	53	53	59	3.48	0		0.006200
4	8	2	0	0	0	120	105	60	60	10.44	1		0.001700
20	54	90	0	34	113	0	114	60	60	2.36	0		0.001700
20	53	6	0	34	60	59	32	46	46	4.82	0		0.016400
5	13	90	0	34	113	60	114	60	60	2.36	0		0.001700
5	12	67	0	34	113	120	113	60	60	18.51	0		0.013700
5	11	12	0	87	60	0	54	24	34	2.72	0		0.010500
10	26	20	0	117	0	0	60	60	60	19.79	0		0.027500
10	27	20	0	117	0	60	60	60	60	19.79	0		0.027500
10	29	63	0	105	0	120	53	53	59	3.48	0		0.006200
10	31	91	0	141	60	0	53	49	52	4.06	0		0.007800
10	28	60	0	141	60	52	40	39	26	4.74	0		0.015200
10	30	87	0	66	60	59	26	41	28	2.42	0		0.011300
8	23	70	0	148	113	0	77	60	60	17.57	0		0.019000
8	20	3	0	148	99	60	64	60	60	2.75	0		0.003600
8	21	21	1	141	60	78	38	52	38	4.99	0		0.012600
8	22	34	1	141	60	116	25	49	39	2.14	0		0.008700
17	48	3	0	147	113	120	64	60	60	2.75	0		0.003600
17	49	23	0	177	0	0	42	29	49	2.58	0		0.010600
17	47	2	1	219	0	0	105	60	60	10.44	1		0.001700


