Name:				107_Manual_n200_m300_bt100_2_1379
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		71.24
Calculation_Time:		1.00
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		12
No_of_Items:			26
Customer_Sequence:		13 16 6 19 10 20 8 7 15 3 9 5 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
5	7	64	0	0	0	0	111	60	60	2.83	0		0.002100
5	8	75	0	0	60	0	88	60	60	17.94	0		0.017000
5	6	2	0	0	120	0	59	49	39	1.92	0		0.003300
9	14	3	0	0	0	60	88	60	60	7.61	0		0.007200
9	15	4	0	0	60	60	87	60	60	12.65	0		0.012100
3	3	2	0	0	120	39	59	49	39	1.92	0		0.003300
3	4	91	0	0	120	78	58	23	43	2.22	0		0.008300
15	24	1	0	0	0	120	111	60	60	16.07	0		0.012100
15	25	6	1	0	143	78	25	36	40	1.29	0		0.007200
7	11	59	0	0	60	120	116	60	60	16.41	0		0.011800
8	12	35	0	111	0	0	99	60	60	13.12	0		0.011000
8	13	53	0	59	120	0	38	36	25	1.49	0		0.005400
20	37	84	0	111	0	60	78	60	60	1.15	0		0.001200
20	35	22	0	59	120	25	33	37	53	1.67	0		0.006900
20	36	34	1	36	143	78	24	37	50	1.63	0		0.009200
10	17	97	0	97	120	0	52	30	30	3.29	0		0.010500
10	16	47	0	111	0	120	95	60	60	11.47	1		0.002000
19	33	56	1	97	120	30	40	47	59	3.72	0		0.009900
19	32	7	0	97	120	89	21	42	58	4.55	0		0.025800
19	34	86	1	97	120	147	40	28	25	4.13	0		0.018400
6	9	3	0	149	60	0	88	60	60	7.61	0		0.007200
6	10	13	0	149	120	0	31	33	45	3.82	0		0.018700
16	26	73	0	149	60	60	85	60	60	13.96	0		0.013700
13	20	27	0	149	60	120	112	60	60	6.33	0		0.004700
13	21	48	0	210	0	0	103	60	60	19.40	0		0.015700
13	22	54	0	180	120	0	32	43	20	1.44	0		0.005200


