Name:				5_Manual_n50_m100_bt10_5_1117
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		183.41
Calculation_Time:		7.01
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		33
No_of_Items:			67
Customer_Sequence:		2 29 22 13 19 5 16 15 18 10 36 28 7 3 31 1 12 21 38 32 11 20 24 30 9 6 27 33 8 17 23 4 14 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
14	28	5	0	0	0	0	46	32	57	1.53	0		0.005200
14	27	3	0	0	32	0	52	23	35	1.43	0		0.006000
14	29	8	0	0	55	0	45	34	43	4.59	1		0.003000
4	6	2	0	0	89	0	25	51	29	1.19	0		0.004700
23	48	9	0	0	140	0	53	33	35	2.77	0		0.007900
23	47	3	0	0	32	35	52	23	35	1.43	0		0.006000
17	35	2	0	0	89	29	25	51	29	1.19	0		0.004700
8	12	10	0	0	140	35	30	33	48	4.47	0		0.022600
33	63	6	0	0	0	57	50	21	37	1.70	0		0.008100
27	54	10	0	0	89	58	30	33	48	4.47	0		0.022600
6	9	2	1	0	32	70	25	51	29	1.19	0		0.004700
9	14	9	0	30	89	0	53	33	35	2.77	0		0.007900
9	15	10	0	0	140	83	30	33	48	4.47	0		0.022600
9	13	4	0	30	89	35	41	34	47	2.62	1		0.001900
30	59	4	0	30	89	82	41	34	47	2.62	1		0.001900
24	50	7	1	0	0	94	25	50	35	3.66	0		0.014700
24	49	6	0	0	32	99	50	21	37	1.70	0		0.008100
20	41	10	1	0	0	129	30	33	48	4.47	0		0.022600
20	39	3	0	0	32	136	52	23	35	1.43	0		0.006000
20	40	6	0	50	0	0	50	21	37	1.70	0		0.008100
11	19	9	0	52	32	0	53	33	35	2.77	0		0.007900
11	18	2	1	50	0	37	25	51	29	1.19	0		0.004700
32	61	1	0	83	89	0	85	60	60	21.64	0		0.021200
32	62	6	0	50	0	66	50	21	37	1.70	0		0.008100
38	72	1	0	83	89	60	85	60	60	21.64	0		0.021200
38	74	9	0	52	32	35	53	33	35	2.77	0		0.007900
38	73	3	0	45	65	0	52	23	35	1.43	0		0.006000
21	42	5	0	52	32	70	46	32	57	1.53	0		0.005200
21	44	9	0	52	32	127	53	33	35	2.77	0		0.007900
21	43	6	0	45	65	35	50	21	37	1.70	0		0.008100
12	22	7	1	50	0	103	25	50	35	3.66	0		0.014700
12	20	3	0	45	65	72	52	23	35	1.43	0		0.006000
12	21	6	0	45	65	107	50	21	37	1.70	0		0.008100
1	1	6	0	45	65	144	50	21	37	1.70	0		0.008100
31	60	7	1	50	0	138	25	50	35	3.66	0		0.014700
3	4	1	0	83	89	120	85	60	60	21.64	0		0.021200
3	5	8	0	105	0	0	45	34	43	4.59	1		0.003000
7	11	9	0	105	34	0	53	33	35	2.77	0		0.007900
7	10	8	0	105	34	35	45	34	43	4.59	1		0.003000
28	55	2	1	53	149	0	25	51	29	1.19	0		0.004700
36	67	1	0	158	0	0	85	60	60	21.64	0		0.021200
36	68	2	1	53	149	29	25	51	29	1.19	0		0.004700
36	69	8	0	105	0	43	45	34	43	4.59	1		0.003000
36	70	8	0	105	34	78	45	34	43	4.59	1		0.003000
10	17	3	0	53	149	58	52	23	35	1.43	0		0.006000
10	16	2	1	53	149	93	25	51	29	1.19	0		0.004700
18	36	5	0	150	0	60	46	32	57	1.53	0		0.005200
18	37	9	0	168	89	0	53	33	35	2.77	0		0.007900
15	30	7	1	53	149	122	25	50	35	3.66	0		0.014700
15	31	7	1	105	149	0	25	50	35	3.66	0		0.014700
16	33	7	1	105	149	35	25	50	35	3.66	0		0.014700
16	32	6	0	97	68	0	50	21	37	1.70	0		0.008100
16	34	8	0	168	122	0	45	34	43	4.59	1		0.003000
5	8	9	0	168	89	35	53	33	35	2.77	0		0.007900
5	7	3	0	150	32	60	52	23	35	1.43	0		0.006000
19	38	9	0	168	89	70	53	33	35	2.77	0		0.007900
13	23	1	0	221	60	0	85	60	60	21.64	0		0.021200
13	26	10	0	168	89	105	30	33	48	4.47	0		0.022600
13	24	3	0	150	32	95	52	23	35	1.43	0		0.006000
13	25	6	0	97	68	37	50	21	37	1.70	0		0.008100
22	45	1	0	221	60	60	85	60	60	21.64	0		0.021200
22	46	5	0	150	0	117	46	32	57	1.53	0		0.005200
29	56	1	0	221	60	120	85	60	60	21.64	0		0.021200
29	57	6	0	150	32	130	50	21	37	1.70	0		0.008100
29	58	8	0	168	122	43	45	34	43	4.59	1		0.003000
2	2	5	0	196	0	60	46	32	57	1.53	0		0.005200
2	3	9	0	213	122	0	53	33	35	2.77	0		0.007900


