Name:				72_Manual_n150_m200_bt10_2_1149
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		268.83
Calculation_Time:		7.39
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		46
No_of_Items:			60
Customer_Sequence:		19 41 6 45 33 34 11 42 36 30 2 23 22 5 16 39 24 10 21 8 17 7 49 13 28 29 14 27 38 40 37 46 12 32 25 26 3 4 35 31 9 44 15 18 51 20 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
20	27	5	0	0	0	0	58	39	34	4.54	0		0.010000
20	26	2	0	0	39	0	49	29	31	2.69	0		0.009500
51	65	1	0	0	68	0	102	60	60	1.48	0		0.001200
51	66	7	1	0	0	34	48	59	33	4.68	0		0.008300
18	24	4	0	0	128	0	30	39	36	3.77	0		0.016100
15	20	7	1	0	68	60	48	59	33	4.68	0		0.008300
44	55	6	0	0	128	36	26	26	41	4.82	1		0.007100
9	11	1	0	59	0	0	102	60	60	1.48	0		0.001200
9	13	5	0	0	0	67	58	39	34	4.54	0		0.010000
9	12	3	0	0	0	101	45	36	36	2.81	0		0.008700
31	40	2	0	30	128	0	49	29	31	2.69	0		0.009500
31	41	6	0	0	128	77	26	26	41	4.82	1		0.007100
35	45	3	0	30	128	31	45	36	36	2.81	0		0.008700
4	6	7	1	0	68	93	48	59	33	4.68	0		0.008300
3	5	4	0	30	128	67	30	39	36	3.77	0		0.016100
26	34	9	1	0	68	126	29	52	23	1.50	0		0.005000
25	33	10	0	59	0	60	90	60	60	7.44	0		0.006900
32	42	8	0	30	128	103	24	20	31	2.19	0		0.022800
12	16	1	0	45	0	120	102	60	60	1.48	0		0.001200
46	58	7	0	59	60	60	48	59	33	4.68	0		0.008300
46	57	2	0	59	60	93	49	29	31	2.69	0		0.009500
46	59	8	0	26	148	103	24	20	31	2.19	0		0.022800
37	48	9	1	59	89	93	29	52	23	1.50	0		0.005000
37	47	6	0	30	128	134	26	26	41	4.82	1		0.007100
40	51	3	0	59	89	116	45	36	36	2.81	0		0.008700
38	49	9	1	59	60	124	29	52	23	1.50	0		0.005000
27	35	9	1	52	60	147	29	52	23	1.50	0		0.005000
14	19	5	0	79	128	0	58	39	34	4.54	0		0.010000
14	18	4	0	59	89	152	30	39	36	3.77	0		0.016100
29	38	3	0	75	128	34	45	36	36	2.81	0		0.008700
28	36	2	0	75	128	70	49	29	31	2.69	0		0.009500
28	37	4	1	75	128	101	30	39	36	3.77	0		0.016100
13	17	10	0	111	60	0	90	60	60	7.44	0		0.006900
49	62	1	0	111	60	60	102	60	60	1.48	0		0.001200
49	63	4	0	75	128	137	30	39	36	3.77	0		0.016100
7	9	9	1	111	60	120	29	52	23	1.50	0		0.005000
17	23	7	0	161	0	0	48	59	33	4.68	0		0.008300
8	10	5	0	111	89	120	58	39	34	4.54	0		0.010000
21	28	2	0	137	128	0	49	29	31	2.69	0		0.009500
21	29	9	1	111	60	143	29	52	23	1.50	0		0.005000
10	14	6	0	137	128	31	26	26	41	4.82	1		0.007100
24	32	6	0	137	128	72	26	26	41	4.82	1		0.007100
39	50	8	0	161	0	33	24	20	31	2.19	0		0.022800
16	22	10	0	209	0	0	90	60	60	7.44	0		0.006900
16	21	6	0	137	128	113	26	26	41	4.82	1		0.007100
5	7	3	0	169	89	120	45	36	36	2.81	0		0.008700
22	30	2	0	163	60	120	49	29	31	2.69	0		0.009500
23	31	6	0	163	128	31	26	26	41	4.82	1		0.007100
2	4	10	0	209	0	60	90	60	60	7.44	0		0.006900
2	3	7	1	189	125	0	48	59	33	4.68	0		0.008300
30	39	6	0	189	125	33	26	26	41	4.82	1		0.007100
36	46	8	0	163	60	151	24	20	31	2.19	0		0.022800
42	53	5	0	209	0	120	58	39	34	4.54	0		0.010000
11	15	8	0	169	89	156	24	20	31	2.19	0		0.022800
34	44	9	1	209	0	154	29	52	23	1.50	0		0.005000
33	43	8	0	187	60	151	24	20	31	2.19	0		0.022800
45	56	5	0	214	60	0	58	39	34	4.54	0		0.010000
6	8	3	0	214	60	34	45	36	36	2.81	0		0.008700
41	52	3	0	214	60	70	45	36	36	2.81	0		0.008700
19	25	2	0	213	60	106	49	29	31	2.69	0		0.009500


