Name:				73_Manual_n150_m200_bt10_3_1289
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		205.47
Calculation_Time:		4.09
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		36
No_of_Items:			49
Customer_Sequence:		24 32 21 22 34 19 27 8 23 25 14 15 5 9 39 31 4 11 12 37 35 10 36 20 1 18 17 16 33 6 2 13 26 3 38 29 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
29	40	9	0	0	0	0	32	59	34	3.94	0		0.010400
38	51	8	0	0	59	0	36	26	43	2.66	0		0.014200
38	50	4	0	0	85	0	35	52	20	3.25	0		0.008900
3	3	4	1	0	137	0	35	52	20	3.25	0		0.008900
26	37	9	0	0	85	20	32	59	34	3.94	0		0.010400
13	21	8	0	0	144	20	36	26	43	2.66	0		0.014200
2	2	6	0	0	0	34	39	25	58	2.97	0		0.015200
6	11	6	0	0	25	34	39	25	58	2.97	0		0.015200
6	10	5	1	0	59	43	22	47	37	1.48	0		0.007200
33	44	4	0	0	85	54	35	52	20	3.25	0		0.008900
16	26	10	0	35	85	0	57	49	30	2.17	0		0.003900
16	25	4	0	0	81	74	35	52	20	3.25	0		0.008900
17	27	3	1	0	0	92	57	40	20	3.90	0		0.008600
18	28	9	0	0	0	112	32	59	34	3.94	0		0.010400
1	1	5	1	0	144	63	22	47	37	1.48	0		0.007200
20	30	2	0	47	0	0	113	60	60	1.36	0		0.001000
36	47	1	0	47	0	60	99	60	60	2.61	0		0.002200
10	16	6	0	0	144	100	39	25	58	2.97	0		0.015200
35	46	6	0	35	85	30	39	25	58	2.97	0		0.015200
37	49	6	0	35	110	30	39	25	58	2.97	0		0.015200
37	48	4	0	35	85	88	35	52	20	3.25	0		0.008900
12	20	9	0	35	85	108	32	59	34	3.94	0		0.010400
12	19	7	0	35	85	142	33	26	46	3.66	0		0.021300
12	18	5	1	47	60	0	22	47	37	1.48	0		0.007200
11	17	9	0	92	85	0	32	59	34	3.94	0		0.010400
4	5	8	0	52	144	0	36	26	43	2.66	0		0.014200
4	6	8	0	52	144	43	36	26	43	2.66	0		0.014200
4	4	7	0	47	144	86	33	26	46	3.66	0		0.021300
31	42	1	0	32	0	120	99	60	60	2.61	0		0.002200
39	52	9	0	92	85	34	32	59	34	3.94	0		0.010400
9	15	6	0	39	144	132	39	25	58	2.97	0		0.015200
5	7	2	0	124	60	0	113	60	60	1.36	0		0.001000
5	9	10	0	124	120	0	57	49	30	2.17	0		0.003900
5	8	9	0	92	85	68	32	59	34	3.94	0		0.010400
15	24	9	1	124	120	30	32	59	34	3.94	0		0.010400
15	23	7	0	124	120	64	33	26	46	3.66	0		0.021300
14	22	1	0	124	60	60	99	60	60	2.61	0		0.002200
25	36	6	0	124	120	110	39	25	58	2.97	0		0.015200
23	33	7	0	160	0	0	33	26	46	3.66	0		0.021300
8	14	10	0	183	120	0	57	49	30	2.17	0		0.003900
8	13	9	1	160	26	0	32	59	34	3.94	0		0.010400
27	38	5	1	160	26	34	22	47	37	1.48	0		0.007200
19	29	5	1	160	26	71	22	47	37	1.48	0		0.007200
34	45	2	0	124	60	120	113	60	60	1.36	0		0.001000
22	32	7	0	160	0	46	33	26	46	3.66	0		0.021300
21	31	2	1	237	0	0	113	60	60	1.36	0		0.001000
32	43	4	0	183	120	30	35	52	20	3.25	0		0.008900
24	34	2	1	237	0	60	113	60	60	1.36	0		0.001000
24	35	8	0	183	120	50	36	26	43	2.66	0		0.014200


