Name:				74_Manual_n150_m200_bt10_4_1179
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		441.01
Calculation_Time:		17.12
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		75
No_of_Items:			100
Customer_Sequence:		56 44 61 59 54 25 64 72 42 33 31 30 70 6 8 52 62 67 57 9 50 73 40 43 16 11 21 48 14 23 28 20 35 53 7 29 41 3 2 45 5 17 38 10 79 78 55 65 76 32 34 4 69 63 22 26 19 46 60 18 12 71 24 13 74 58 68 15 49 36 47 39 37 1 27 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
47	60	4	0	0	0	0	45	33	56	3.45	0		0.011600
59	77	4	0	0	33	0	45	33	56	3.45	0		0.011600
41	53	4	0	0	66	0	45	33	56	3.45	0		0.011600
45	58	4	0	0	99	0	45	33	56	3.45	0		0.011600
70	91	4	0	0	132	0	45	33	56	3.45	0		0.011600
62	81	4	0	0	0	56	45	33	56	3.45	0		0.011600
60	79	4	0	0	33	56	45	33	56	3.45	0		0.011600
53	68	4	0	0	66	56	45	33	56	3.45	0		0.011600
22	27	9	0	0	99	56	50	53	31	1.36	0		0.002600
37	48	9	0	0	99	87	50	53	31	1.36	0		0.002600
44	57	9	0	0	0	112	50	53	31	1.36	0		0.002600
36	47	9	0	0	99	118	50	53	31	1.36	0		0.002600
46	59	9	0	0	0	143	50	53	31	1.36	0		0.002600
22	28	10	1	0	53	112	34	50	47	3.93	0		0.011500
59	78	10	0	45	0	0	34	50	47	3.93	0		0.011500
17	22	10	0	79	0	0	34	50	47	3.93	0		0.011500
47	61	10	1	45	50	0	34	50	47	3.93	0		0.011500
79	104	10	0	79	0	47	34	50	47	3.93	0		0.011500
64	84	10	1	50	50	47	34	50	47	3.93	0		0.011500
30	39	10	0	50	84	0	34	50	47	3.93	0		0.011500
52	67	10	1	50	134	0	34	50	47	3.93	0		0.011500
24	32	10	0	45	0	47	34	50	47	3.93	0		0.011500
78	102	10	0	50	84	47	34	50	47	3.93	0		0.011500
50	65	10	1	50	134	47	34	50	47	3.93	0		0.011500
21	26	10	0	50	0	94	34	50	47	3.93	0		0.011500
36	46	8	0	0	99	149	54	36	40	1.36	0		0.003500
23	30	8	0	50	50	94	54	36	40	1.36	0		0.003500
5	6	8	0	50	50	134	54	36	40	1.36	0		0.003500
15	20	8	0	84	84	0	54	36	40	1.36	0		0.003500
71	93	8	0	84	84	40	54	36	40	1.36	0		0.003500
19	24	8	0	100	134	0	54	36	40	1.36	0		0.003500
74	97	8	0	100	134	40	54	36	40	1.36	0		0.003500
76	99	8	0	100	134	80	54	36	40	1.36	0		0.003500
10	14	8	0	100	134	120	54	36	40	1.36	0		0.003500
33	43	8	0	113	0	0	54	36	40	1.36	0		0.003500
6	8	8	0	113	36	0	54	36	40	1.36	0		0.003500
69	89	2	1	84	0	94	50	21	57	1.63	0		0.007700
10	13	2	0	113	0	40	50	21	57	1.63	0		0.007700
23	29	2	0	105	0	97	50	21	57	1.63	0		0.007700
3	3	2	0	113	21	40	50	21	57	1.63	0		0.007700
24	31	2	0	105	21	97	50	21	57	1.63	0		0.007700
20	25	2	0	113	42	40	50	21	57	1.63	0		0.007700
54	69	2	0	105	42	97	50	21	57	1.63	0		0.007700
1	1	2	0	138	84	0	50	21	57	1.63	0		0.007700
61	80	2	0	138	105	0	50	21	57	1.63	0		0.007700
9	12	5	0	104	0	154	51	34	33	4.67	0		0.013500
14	18	5	0	104	34	154	51	34	33	4.67	0		0.013500
70	92	5	0	138	84	57	51	34	33	4.67	0		0.013500
68	88	5	0	138	84	90	51	34	33	4.67	0		0.013500
31	40	5	0	138	84	123	51	34	33	4.67	0		0.013500
72	94	5	0	138	84	156	51	34	33	4.67	0		0.013500
49	64	5	0	154	134	0	51	34	33	4.67	0		0.013500
27	36	6	0	50	86	94	23	45	37	2.72	0		0.013100
69	90	6	0	154	126	33	23	45	37	2.72	0		0.013100
