Name:				106_Manual_n200_m300_bt100_1_1691
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		154.01
Calculation_Time:		1.29
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		24
No_of_Items:			30
Customer_Sequence:		17 13 16 19 1 20 27 23 21 10 30 28 25 14 29 18 5 4 7 15 3 9 8 24 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
24	29	9	0	0	0	0	101	60	60	12.64	0		0.010400
8	10	7	0	0	60	0	56	59	60	3.32	0		0.005000
8	11	39	0	0	119	0	56	51	54	3.55	0		0.006200
8	12	53	0	0	119	54	21	32	35	4.65	0		0.034600
9	13	4	0	0	0	60	85	60	60	14.42	1		0.002800
3	5	2	0	0	60	60	46	54	20	2.79	0		0.005600
15	20	6	0	0	151	54	60	23	46	1.82	0		0.006600
7	9	33	1	0	60	80	34	60	47	1.44	0		0.003500
4	6	48	0	0	60	127	38	43	34	4.17	0		0.012800
5	7	73	0	60	60	0	77	60	60	12.06	0		0.013000
18	23	7	0	60	60	60	56	59	60	3.32	0		0.005000
29	35	4	0	0	0	120	85	60	60	14.42	1		0.002800
14	19	88	0	101	0	0	80	60	60	1.31	0		0.001400
14	18	35	0	60	120	0	58	51	48	4.49	0		0.007600
25	30	60	0	60	60	120	68	60	60	5.67	0		0.007000
25	31	72	1	56	120	48	21	51	29	3.67	0		0.017100
28	34	88	0	85	0	60	80	60	60	1.31	0		0.001400
30	36	11	0	56	120	77	53	25	23	3.62	0		0.013700
30	37	32	0	85	0	120	106	60	60	3.57	1		0.000600
10	14	35	0	118	120	0	58	51	48	4.49	0		0.007600
21	26	8	0	109	120	48	23	54	59	1.08	0		0.004400
23	28	42	0	137	60	0	101	60	60	10.02	1		0.001700
27	33	10	0	137	60	60	110	60	60	16.52	1		0.002500
20	25	77	1	109	120	107	46	21	33	1.94	0		0.010000
1	1	71	0	132	120	48	49	39	60	3.66	0		0.009600
1	2	96	1	130	120	108	35	60	42	2.04	0		0.004900
19	24	97	0	191	0	0	109	60	60	11.69	0		0.008900
16	21	10	0	128	60	120	110	60	60	16.52	1		0.002500
13	17	29	1	190	120	0	51	58	29	2.14	0		0.003600
17	22	35	0	190	120	29	58	51	48	4.49	0		0.007600


